sensitivity_type,resource,multiplier,budget_value,objective,solver_success
budget,police,0.5,60.0,,False
budget,police,0.8,96.0,,False
budget,police,1.0,120.0,,False
budget,police,1.2,144.0,,False
budget,police,1.5,180.0,,False
budget,barricades,0.5,50.0,,False
budget,barricades,0.8,80.0,,False
budget,barricades,1.0,100.0,,False
budget,barricades,1.2,120.0,,False
budget,barricades,1.5,150.0,,False
budget,tow,0.5,7.0,,False
budget,tow,0.8,12.0,,False
budget,tow,1.0,15.0,,False
budget,tow,1.2,18.0,,False
budget,tow,1.5,22.0,,False
budget,qru,0.5,5.0,,False
budget,qru,0.8,8.0,,False
budget,qru,1.0,10.0,,False
budget,qru,1.2,12.0,,False
budget,qru,1.5,15.0,,False
cvar_alpha,all,0.75,,,False
cvar_alpha,all,0.8,,,False
cvar_alpha,all,0.85,,,False
cvar_alpha,all,0.9,,,False
cvar_alpha,all,0.95,,,False
cvar_alpha,all,0.99,,,False
