bin_idx,bin_lo,bin_hi,n_events,n_successes,n_failures,mean_raw_pred,fraction_positive,beta_a_prior,beta_b_prior,beta_a_posterior,beta_b_posterior,posterior_mean,ci95_lo,ci95_hi,calibration_shift,ece_before_update,ece_after_update,brier_raw,brier_calibrated,brier_raw_uncal,n_feedback_total
0,0.0,0.1,450,5,445,0.011111,0.011111,1.0,1.0,6.0,446.0,0.013274,0.004897,0.025681,0.002163,0.0,0.163465,0.108406,0.211169,0.115624,1094
1,0.1,0.2,0,0,0,0.15,,1.0,1.0,1.0,1.0,0.5,0.025,0.975,0.35,0.0,0.163465,0.108406,0.211169,0.115624,1094
2,0.2,0.30000000000000004,557,137,420,0.245961,0.245961,1.0,1.0,138.0,421.0,0.246869,0.212036,0.283419,0.000909,0.0,0.163465,0.108406,0.211169,0.115624,1094
3,0.30000000000000004,0.4,0,0,0,0.35,,1.0,1.0,1.0,1.0,0.5,0.025,0.975,0.15,0.0,0.163465,0.108406,0.211169,0.115624,1094
4,0.4,0.5,23,10,13,0.434783,0.434783,1.0,1.0,11.0,14.0,0.44,0.25553,0.633569,0.005217,0.0,0.163465,0.108406,0.211169,0.115624,1094
5,0.5,0.6000000000000001,0,0,0,0.55,,1.0,1.0,1.0,1.0,0.5,0.025,0.975,-0.05,0.0,0.163465,0.108406,0.211169,0.115624,1094
6,0.6000000000000001,0.7000000000000001,0,0,0,0.65,,1.0,1.0,1.0,1.0,0.5,0.025,0.975,-0.15,0.0,0.163465,0.108406,0.211169,0.115624,1094
7,0.7000000000000001,0.8,0,0,0,0.75,,1.0,1.0,1.0,1.0,0.5,0.025,0.975,-0.25,0.0,0.163465,0.108406,0.211169,0.115624,1094
8,0.8,0.9,33,27,6,0.818182,0.818182,1.0,1.0,28.0,7.0,0.8,0.654685,0.912979,-0.018182,0.0,0.163465,0.108406,0.211169,0.115624,1094
9,0.9,1.0,31,31,0,1.0,1.0,1.0,1.0,32.0,1.0,0.969697,0.891119,0.999209,-0.030303,0.0,0.163465,0.108406,0.211169,0.115624,1094
