group,coverage,mean_width,sharpness_efficiency
global,0.8658,6.694,0.129333
support_LOW,0.7341,7.6054,0.096529
support_MEDIUM,0.8971,6.234,0.143905
support_HIGH,0.9481,6.3656,0.148934
cause_accident,0.5625,3.8794,0.144997
cause_congestion,0.75,3.5412,0.211796
cause_construction,0.8784,10.0398,0.087489
cause_debris,1.0,4.2201,0.236961
cause_others,0.8298,10.5247,0.078842
cause_pot_holes,0.7818,7.6259,0.102522
cause_procession,0.875,6.7122,0.130361
cause_protest,1.0,15.4753,0.064619
cause_public_event,0.5556,4.7105,0.117939
cause_road_conditions,0.6667,9.3242,0.071498
cause_test_demo,0.0,,
cause_tree_fall,0.9195,9.4761,0.097029
cause_vehicle_breakdown,0.9004,3.4295,0.262549
cause_water_logging,0.8441,9.3485,0.090291
