stratum_cause,stratum_corridor,prior_level,prior_mu_log,prior_sigma_log,n_eff_feedback,feedback_mu_log,posterior_mu_log,posterior_sigma_log,ci95_lo_log,ci95_hi_log,posterior_median_min,posterior_p80_min,posterior_p95_min
accident,Bellary Road 1,stratum,3.758924,0.901223,1.87,3.913465,3.913215,0.036279,3.842108,3.984321,49.06,50.61,52.14
accident,Bellary Road 2,stratum,3.482835,0.533436,2.0,4.414814,4.292214,0.193475,3.913004,4.671425,72.13,85.06,99.53
accident,Hosur Road,stratum,3.813739,1.379345,1.97,3.749902,3.756421,0.440783,2.892486,4.620355,41.79,61.02,87.36
accident,Non-corridor,stratum,4.207892,1.749476,4.82,2.961546,3.072706,0.522472,2.048662,4.09675,20.6,32.53,50.01
accident,ORR North 1,stratum,3.602027,0.423788,1.99,3.751178,3.735591,0.136998,3.467076,4.004106,40.91,46.03,51.51
accident,Old Madras Road,cause,3.857952,1.23217,1.0,3.751186,3.751186,0.001,3.749226,3.753146,41.57,41.61,41.64
accident,Tumkur Road,stratum,3.652924,0.23338,1.98,3.697708,3.670565,0.181688,3.314457,4.026674,38.27,44.76,51.95
congestion,Hennur Main Road,stratum,4.410531,0.375206,1.99,4.999986,4.988796,0.051694,4.887475,5.090118,145.76,152.29,158.78
congestion,Non-corridor,stratum,3.706557,1.053916,2.85,2.890095,3.268495,0.717486,1.862221,4.674768,25.27,47.06,84.51
congestion,ORR North 1,cause,3.943214,1.076465,2.97,4.188212,4.165641,0.326735,3.525241,4.806041,63.43,83.83,109.29
construction,Bellary Road 1,stratum,6.201213,3.403128,1.99,7.921601,7.722812,1.15681,5.455465,9.990159,2258.3,5980.39,15146.56
construction,IRR(Thanisandra road),stratum,5.40253,3.963169,1.0,8.371616,8.371616,0.001,8.369656,8.373576,4321.62,4325.25,4328.73
construction,Mysore Road,stratum,3.501066,4.05247,1.0,0.267926,0.267926,0.001,0.265966,0.269886,0.31,0.31,0.31
construction,Non-corridor,stratum,6.227536,3.318299,31.25,,,,,,,,
construction,ORR East 1,stratum,5.555622,5.00301,1.0,7.363717,7.363717,0.001,7.361757,7.365677,1576.69,1578.02,1579.29
construction,ORR East 2,stratum,6.443168,1.343864,25.59,6.455187,6.454649,0.284278,5.897465,7.011833,634.65,806.47,1013.59
