stratum_cause,stratum_corridor,prior_level,n_eff_feedback,ci95_width_logspace,posterior_sigma_log,prior_sigma_log,prior_influence_lambda,prior_dominated,uncertainty_flag,notes
accident,Bellary Road 1,stratum,1.87,0.1422,0.036279,0.901223,0.0016,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
accident,Bellary Road 2,stratum,2.0,0.7584,0.193475,0.533436,0.1315,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
accident,Hosur Road,stratum,1.0,0.0039,0.001,1.379345,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
accident,Non-corridor,stratum,3.87,2.1071,0.537513,0.856099,0.3942,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
accident,ORR North 1,stratum,1.99,0.537,0.136998,0.423788,0.1045,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
accident,Old Madras Road,cause,1.0,0.0039,0.001,0.748361,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
accident,Tumkur Road,stratum,1.98,0.7122,0.181688,0.23338,0.6061,True,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
congestion,Hennur Main Road,stratum,1.99,0.2026,0.051694,0.375206,0.019,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
congestion,Non-corridor,stratum,2.0,3.2335,0.82488,1.053916,0.6126,True,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
congestion,ORR North 1,cause,2.97,1.2808,0.326735,1.076465,0.0921,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,Bellary Road 1,stratum,1.0,0.0039,0.001,1.946885,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,IRR(Thanisandra road),cause,1.0,0.0039,0.001,2.274135,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,Mysore Road,stratum,1.0,0.0039,0.001,3.649244,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,Non-corridor,stratum,19.96,2.0039,0.5112,2.744246,0.0347,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,ORR East 1,stratum,1.0,0.0039,0.001,0.430933,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,ORR East 2,stratum,14.19,0.0312,0.007971,0.041344,0.0372,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,ORR North 1,stratum,1.0,0.0039,0.001,1.738071,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,ORR North 2,stratum,3.0,6.5009,1.658386,3.356424,0.2441,False,high,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,ORR West 1,cause,1.0,0.0039,0.001,2.274135,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
construction,West of Chord Road,cause,1.0,0.0039,0.001,2.274135,0.0,False,ok,ESS = Kish ESS from exponential-forgetting weights; prior_dominated = lambda>0.5
