level,stratum,n_obs,mu_prior,sigma_prior,mu_posterior,sigma_posterior,observed_mean,posterior_predictive_mean,posterior_predictive_std,posterior_mean_error,ppc_coverage_50pct,ppc_coverage_80pct,ppc_coverage_95pct,ppc_tail_discrepancy_5pct,kl_prior_to_posterior,same_level_comparable,notes,generated_at
stratum,accident__Bellary Road 1,2,3.7589,0.9012,3.9132,0.0363,3.9268,3.9122,0.0359,0.0136,0.0,0.5,1.0,0.025,313.8799,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=313.8799,2026-06-19T09:44:52Z
stratum,accident__Bellary Road 2,2,3.4828,0.5334,4.2922,0.1935,4.4249,4.2765,0.1962,0.1327,0.0,0.5,0.5,0.025,11.037,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=11.0370,2026-06-19T09:44:52Z
stratum,accident__Hosur Road,1,3.8137,1.3793,3.01,0.001,3.01,3.01,0.001,-0.0,1.0,1.0,1.0,0.025,1000000.0,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=1000000.0000,2026-06-19T09:44:52Z
stratum,accident__Non-corridor,4,3.6332,0.8561,3.1449,0.5375,2.7675,3.1442,0.5245,-0.3774,0.0,0.25,0.5,0.225,0.7155,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=0.7155,2026-06-19T09:44:52Z
stratum,accident__ORR North 1,2,3.602,0.4238,3.7356,0.137,3.7663,3.7327,0.1367,0.0307,0.0,0.5,1.0,0.025,3.6305,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=3.6305,2026-06-19T09:44:52Z
stratum,accident__Tumkur Road,2,3.6529,0.2334,3.6706,0.1817,3.7371,3.6795,0.1852,0.0665,0.0,0.0,0.5,0.025,0.0793,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=0.0793,2026-06-19T09:44:52Z
stratum,congestion__Hennur Main Road,2,4.4105,0.3752,4.9888,0.0517,4.994,4.9895,0.053,0.0052,0.0,0.0,1.0,0.025,86.4254,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=86.4254,2026-06-19T09:44:52Z
stratum,congestion__Non-corridor,2,3.7066,1.0539,3.4209,0.8249,2.9693,3.3856,0.8033,-0.4516,0.0,0.0,0.5,0.475,0.1311,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=0.1311,2026-06-19T09:44:52Z
stratum,construction__Bellary Road 1,1,3.3068,1.9469,6.3033,0.001,6.3033,6.3033,0.001,0.0,1.0,1.0,1.0,0.025,1000000.0,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=1000000.0000,2026-06-19T09:44:52Z
stratum,construction__Mysore Road,1,3.009,3.6492,0.2679,0.001,0.2679,0.2679,0.001,-0.0,1.0,1.0,1.0,0.025,1000000.0,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=1000000.0000,2026-06-19T09:44:52Z
stratum,construction__Non-corridor,21,5.3721,2.7442,6.0897,0.5112,5.9433,6.083,0.5133,-0.1464,0.0952,0.0952,0.1429,0.3083,13.2137,True,PPC uses full posterior (not sequential LOO); KL(prior||posterior)=13.2137,2026-06-19T09:44:52Z
