event_id,event_cause,corridor_fill,start_local,log_duration_actual,duration_min_actual,mu_seq_logspace,sigma_seq_logspace,dur_pred_seq_min,resid_seq_logspace,absresid_seq_logspace,resid_std_seq,in_50pct_interval,in_80pct_interval,in_95pct_interval,interval_width_95,crps_seq,n_earlier_stratum,prior_level,mu_prior_logspace,sigma_prior_logspace,dur_pred_prior_min,resid_prior_logspace,crps_prior,hi_prob_pred,hi_actual,brier_i,ewma_resid_logspace,dur_pred_l45_p50,year_week
FKID002240,vehicle_breakdown,Non-corridor,2024-03-01 01:06:21.229000+05:30,3.7481,41.44,3.6949,0.9277,39.24,0.0532,0.0532,0.0574,True,True,True,3.6365,0.218011,0,stratum,3.6949,0.9277,39.24,0.0532,0.218011,0.241,0,0.058088,0.0532,32.41,2024-W09
FKID002241,accident,Bellary Road 1,2024-03-01 01:38:23.924000+05:30,3.9783,52.42,3.7589,0.9012,41.9,0.2193,0.2193,0.2434,True,True,True,3.5328,0.231805,0,stratum,3.7589,0.9012,41.9,0.2193,0.231805,0.241,0,0.058088,0.1031,43.98,2024-W09
FKID002250,vehicle_breakdown,ORR West 1,2024-03-01 01:44:38.693000+05:30,3.0995,21.19,3.846,0.8182,45.81,-0.7465,0.7465,-0.9123,False,True,True,3.2074,0.445531,0,stratum,3.846,0.8182,45.81,-0.7465,0.445531,0.241,0,0.058088,-0.1518,40.67,2024-W09
FKID002239,others,Non-corridor,2024-03-01 02:03:23.863000+05:30,7.6136,2024.5,6.7457,3.1072,849.37,0.8679,0.8679,0.2793,True,True,True,12.1802,0.822225,0,stratum,6.7457,3.1072,849.37,0.8679,0.822225,0.0,0,0.0,0.1541,64.89,2024-W09
FKID002251,vehicle_breakdown,Old Madras Road,2024-03-01 02:15:21.394000+05:30,4.1779,64.23,3.3824,0.9415,28.44,0.7955,0.7955,0.8449,False,True,True,3.6908,0.473285,0,stratum,3.3824,0.9415,28.44,0.7955,0.473285,0.241,0,0.058088,0.3465,36.29,2024-W09
FKID002257,road_conditions,Bellary Road 2,2024-03-01 05:53:58.053000+05:30,9.7496,17146.48,8.3385,2.8061,4180.71,1.4111,1.4111,0.5029,True,True,True,10.9999,0.933054,0,cause,8.3385,2.8061,4180.71,1.4111,0.933054,0.0,0,0.0,0.6659,2282.53,2024-W09
FKID002267,vehicle_breakdown,Non-corridor,2024-03-01 06:17:32.516000+05:30,4.3087,73.34,3.7481,0.001,41.44,0.5606,0.5606,560.576,False,False,False,0.0039,0.560012,1,stratum,3.6949,0.9277,39.24,0.6138,0.373158,0.241,1,0.576059,0.6343,32.12,2024-W09
FKID002283,vehicle_breakdown,Non-corridor,2024-03-01 09:42:54.795000+05:30,4.7238,111.59,4.0138,0.1938,54.36,0.7099,0.7099,3.6629,False,False,False,0.7598,0.600605,2,stratum,3.6949,0.9277,39.24,1.0289,0.630559,0.241,1,0.576059,0.657,31.62,2024-W09
FKID002284,others,Varthur Road,2024-03-01 10:53:06.968000+05:30,4.6064,99.13,6.7859,2.9461,884.28,-2.1795,2.1795,-0.7398,False,True,True,11.5486,1.303908,0,cause,6.7859,2.9461,884.28,-2.1795,1.303908,0.0,0,0.0,-0.1939,86.04,2024-W09
FKID002285,vehicle_breakdown,Hennur Main Road,2024-03-01 11:03:45.481000+05:30,3.8581,46.37,3.9527,0.6717,51.08,-0.0946,0.0946,-0.1409,True,True,True,2.633,0.162279,0,stratum,3.9527,0.6717,51.08,-0.0946,0.162279,0.241,0,0.058088,-0.1642,31.98,2024-W09
FKID002291,vehicle_breakdown,Non-corridor,2024-03-01 13:25:45.336000+05:30,3.182,23.09,4.2272,0.224,67.53,-1.0452,1.0452,-4.6664,False,False,False,0.878,0.91886,3,stratum,3.6949,0.9277,39.24,-0.5129,0.327114,0.241,0,0.058088,-0.4285,29.6,2024-W09
