event_id,event_cause,corridor_fill,start_local,log_duration_actual,duration_min_actual,mu_seq_logspace,posterior_mean,posterior_sd,obs_sd,predictive_sd,sigma_seq_logspace,predictive_scale_source,obs_variance_source,predictive_scale_valid,predictive_scale_is_parameter_only,resid_seq_logspace,resid_std_seq,absresid_seq_logspace,in_50pct_interval,in_80pct_interval,in_95pct_interval,in_95pct_interval_param_only,predictive_interval_lower,predictive_interval_upper,interval_width_95,pred_p80_min,pred_p95_min,crps_seq,prior_level,n_earlier_stratum,source,evaluation_method
FKID002240,vehicle_breakdown,Non-corridor,2024-03-01 01:06:21.229000+05:30,3.7481,41.44,3.6949,3.6949,0.9277,0.9201,1.3066,1.3066,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.0532,0.0407,0.0532,True,True,True,True,1.134,6.2558,5.1218,119.85,344.16,0.306208,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002241,accident,Bellary Road 1,2024-03-01 01:38:23.924000+05:30,3.9783,52.42,3.7589,3.7589,0.9012,0.0515,0.9027,0.9027,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.2193,0.243,0.2193,True,True,True,True,1.9896,5.5282,3.5385,90.71,188.37,0.232114,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002250,vehicle_breakdown,ORR West 1,2024-03-01 01:44:38.693000+05:30,3.0995,21.19,3.846,3.846,0.8182,0.6005,1.0149,1.0149,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.7465,-0.7355,0.7465,False,True,True,True,1.8568,5.8352,3.9785,108.97,247.48,0.446861,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002239,others,Non-corridor,2024-03-01 02:03:23.863000+05:30,7.6136,2024.5,6.7457,6.7457,3.1072,2.4827,3.9772,3.9772,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.8679,0.2182,0.8679,True,True,True,True,-1.0497,14.541,15.5907,24172.06,589854.14,1.004715,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002251,vehicle_breakdown,Old Madras Road,2024-03-01 02:15:21.394000+05:30,4.1779,64.23,3.3824,3.3824,0.9415,0.6,1.1165,1.1165,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.7955,0.7125,0.7955,False,True,True,True,1.1941,5.5707,4.3766,74.35,183.73,0.477933,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002257,road_conditions,Bellary Road 2,2024-03-01 05:53:58.053000+05:30,9.7496,17146.48,8.3385,8.3385,2.8061,2.8299,3.9853,3.9853,posterior_sd_plus_obs_sd,pooled_stratum,True,False,1.4111,0.3541,1.4111,True,True,True,True,0.5272,16.1497,15.6225,119682.85,2939498.74,1.128627,cause,0,layer6_posterior_scoring,sequential_loo
FKID002267,vehicle_breakdown,Non-corridor,2024-03-01 06:17:32.516000+05:30,4.3087,73.34,3.7481,3.7481,0.001,0.9201,0.9201,0.9201,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.5606,0.6093,0.5606,True,True,True,False,1.9447,5.5515,3.6068,91.06,191.78,0.347212,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002283,vehicle_breakdown,Non-corridor,2024-03-01 09:42:54.795000+05:30,4.7238,111.59,4.0138,4.0138,0.1938,0.2803,0.3408,0.3408,posterior_sd_plus_obs_sd,local_feedback,True,False,0.7099,2.0833,0.7099,False,False,False,False,3.3459,4.6817,1.3358,72.75,95.97,0.522298,stratum,2,layer6_posterior_scoring,sequential_loo
FKID002284,others,Varthur Road,2024-03-01 10:53:06.968000+05:30,4.6064,99.13,6.7859,6.7859,2.9461,0.001,2.9461,2.9461,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-2.1795,-0.7398,2.1795,False,True,True,True,1.0116,12.5602,11.5486,10564.89,112618.35,1.303908,cause,0,layer6_posterior_scoring,sequential_loo
FKID002285,vehicle_breakdown,Hennur Main Road,2024-03-01 11:03:45.481000+05:30,3.8581,46.37,3.9527,3.9527,0.6717,0.0729,0.6756,0.6756,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.0946,-0.1401,0.0946,True,True,True,True,2.6285,5.2769,2.6484,90.96,157.22,0.16317,stratum,0,layer6_posterior_scoring,sequential_loo
