stratum_cause,stratum_corridor,prior_level,posterior_mu_log,posterior_sigma_log,ci95_lo_log,ci95_hi_log,n_eff_feedback,ci95_width_log,uncertainty_flag
accident,Bellary Road 1,stratum,3.913215,0.036279,3.842108,3.984321,1.87,0.14221299999999992,ok
accident,Bellary Road 2,stratum,4.292214,0.193475,3.913004,4.671425,2.0,0.7584210000000002,ok
accident,Hosur Road,stratum,3.00997,0.001,3.00801,3.01193,1.0,0.0039199999999999235,ok
accident,Non-corridor,stratum,3.144947,0.537513,2.091422,4.198472,3.87,2.1070499999999996,ok
accident,ORR North 1,stratum,3.735591,0.136998,3.467076,4.004106,1.99,0.5370300000000001,ok
accident,Old Madras Road,cause,3.751186,0.001,3.749226,3.753146,1.0,0.0039199999999999235,ok
accident,Tumkur Road,stratum,3.670565,0.181688,3.314457,4.026674,1.98,0.7122169999999999,ok
congestion,Hennur Main Road,stratum,4.988796,0.051694,4.887475,5.090118,1.99,0.20264300000000013,ok
congestion,Non-corridor,stratum,3.42094,0.82488,1.804176,5.037704,2.0,3.2335279999999997,ok
congestion,ORR North 1,cause,4.165641,0.326735,3.525241,4.806041,2.97,1.2807999999999997,ok
construction,Bellary Road 1,stratum,6.303302,0.001,6.301342,6.305262,1.0,0.0039199999999999235,ok
construction,IRR(Thanisandra road),cause,8.371616,0.001,8.369656,8.373576,1.0,0.003919999999999035,ok
construction,Mysore Road,stratum,0.267926,0.001,0.265966,0.269886,1.0,0.003920000000000035,ok
construction,Non-corridor,stratum,6.08969,0.5112,5.087738,7.091641,19.96,2.003903,ok
construction,ORR East 1,stratum,7.36368,0.001,7.36172,7.36564,1.0,0.0039199999999999235,ok
construction,ORR East 2,stratum,6.639101,0.007971,6.623478,6.654725,14.19,0.03124699999999958,ok
construction,ORR North 1,stratum,4.741196,0.001,4.739236,4.743156,1.0,0.0039199999999999235,ok
construction,ORR North 2,stratum,3.158716,1.658386,-0.091721,6.409152,3.0,6.5008729999999995,high
construction,ORR West 1,cause,1.077588,0.001,1.075628,1.079548,1.0,0.0039199999999999235,ok
construction,West of Chord Road,cause,0.331461,0.001,0.329501,0.333421,1.0,0.003920000000000035,ok
others,Bellary Road 1,stratum,3.816204,0.276834,3.273609,4.358799,6.56,1.0851900000000003,ok
others,Bellary Road 2,stratum,5.14066,0.392052,4.372238,5.909082,1.9,1.5368439999999994,ok
others,Hennur Main Road,cause,3.803868,0.001,3.801908,3.805828,1.0,0.0039199999999999235,ok
others,Hosur Road,stratum,5.802664,0.001,5.800704,5.804624,1.0,0.0039199999999999235,ok
others,IRR(Thanisandra road),cause,4.190926,0.001,4.188966,4.192886,1.0,0.0039199999999999235,ok
others,Magadi Road,stratum,3.455844,0.45348,2.567023,4.344664,3.61,1.777641,ok
others,Mysore Road,stratum,3.90214,0.552179,2.819869,4.984411,4.84,2.1645419999999995,ok
others,Non-corridor,stratum,4.500676,0.305509,3.901878,5.099474,25.98,1.1975959999999999,ok
others,ORR East 2,stratum,4.254174,0.191244,3.879336,4.629013,2.0,0.7496769999999997,ok
others,ORR North 1,cause,0.709919,0.001,0.707959,0.711879,1.0,0.003920000000000035,ok
others,ORR North 2,stratum,3.446977,0.001,3.445017,3.448937,1.0,0.0039199999999999235,ok
others,ORR West 1,cause,3.369803,0.198019,2.981687,3.75792,2.0,0.776233,ok
others,Old Airport Road,stratum,0.957586,0.001,0.955626,0.959546,1.0,0.003920000000000035,ok
others,Old Madras Road,stratum,6.436386,0.001,6.434426,6.438346,1.0,0.0039199999999999235,ok
others,Tumkur Road,stratum,5.320798,0.494597,4.351388,6.290207,4.69,1.9388189999999996,ok
others,Varthur Road,cause,4.606441,0.001,4.604481,4.608401,1.0,0.0039199999999999235,ok
others,West of Chord Road,stratum,4.133166,0.420163,3.309647,4.956684,2.78,1.647037,ok
pot_holes,Bellary Road 1,stratum,8.899777,0.44488,8.027813,9.771741,2.98,1.7439280000000004,ok
pot_holes,CBD 1,stratum,3.830482,0.001,3.828522,3.832442,1.0,0.0039199999999999235,ok
pot_holes,CBD 2,cause,0.916986,0.001,0.915026,0.918946,1.0,0.003920000000000035,ok
pot_holes,Magadi Road,stratum,9.515031,0.173357,9.175251,9.854811,2.93,0.6795600000000004,ok
pot_holes,Mysore Road,stratum,9.787309,0.277878,9.242668,10.331949,2.91,1.0892809999999997,ok
pot_holes,Non-corridor,stratum,5.836966,0.532357,4.793547,6.880385,27.92,2.086838,ok
pot_holes,ORR East 1,stratum,7.088895,0.001,7.086935,7.090855,1.0,0.0039199999999999235,ok
pot_holes,ORR North 1,cause,4.916458,0.001,4.914498,4.918418,1.0,0.0039199999999999235,ok
pot_holes,ORR West 1,cause,4.70279,0.001,4.70083,4.70475,1.0,0.0039199999999999235,ok
pot_holes,Old Airport Road,cause,8.708878,0.001,8.706918,8.710838,1.0,0.003920000000000812,ok
pot_holes,Old Madras Road,stratum,9.712641,0.277216,9.169296,10.255985,2.86,1.0866890000000016,ok
pot_holes,Tumkur Road,cause,7.563115,0.001,7.561155,7.565075,1.0,0.0039199999999999235,ok
pot_holes,Varthur Road,cause,7.303257,0.001,7.301297,7.305217,1.0,0.0039199999999999235,ok
pot_holes,West of Chord Road,cause,9.559313,0.264327,9.041232,10.077395,1.98,1.0361629999999984,ok
procession,Mysore Road,cause,4.797331,0.001,4.795371,4.799291,1.0,0.0039199999999999235,ok
procession,Non-corridor,stratum,3.349364,0.567584,2.236898,4.461829,3.63,2.2249309999999998,ok
protest,Non-corridor,stratum,1.302324,0.001,1.300364,1.304284,1.0,0.0039199999999999235,ok
public_event,Mysore Road,cause,0.473934,0.001,0.471974,0.475894,1.0,0.003919999999999979,ok
public_event,Non-corridor,stratum,0.189589,0.001,0.187629,0.191549,1.0,0.003920000000000007,ok
public_event,Old Airport Road,cause,6.002857,0.011617,5.980087,6.025627,5.0,0.045539999999999914,ok
road_conditions,Bellary Road 1,stratum,7.104752,1.161182,4.828834,9.380669,1.96,4.551835,ok
road_conditions,Bellary Road 2,cause,6.583146,1.577783,3.490691,9.675601,1.85,6.18491,high
road_conditions,CBD 2,stratum,10.606297,0.001,10.604337,10.608257,1.0,0.003920000000000812,ok
road_conditions,Magadi Road,cause,9.483892,0.227114,9.038749,9.929036,2.9,0.8902870000000007,ok
road_conditions,Mysore Road,cause,9.931188,0.001,9.929228,9.933148,1.0,0.003919999999999035,ok
road_conditions,Non-corridor,stratum,8.090576,0.931248,6.26533,9.915822,7.81,3.6504920000000007,ok
road_conditions,ORR West 1,stratum,4.147318,0.001,4.145358,4.149278,1.0,0.0039199999999999235,ok
road_conditions,West of Chord Road,cause,10.153086,0.001,10.151126,10.155046,1.0,0.003920000000000812,ok
test_demo,Non-corridor,cause,,,,,1.0,,ok
tree_fall,Airport New South Road,cause,3.622887,0.369053,2.899544,4.34623,2.0,1.4466860000000001,ok
tree_fall,Bannerghata Road,cause,3.435444,0.001,3.433484,3.437404,1.0,0.0039199999999999235,ok
tree_fall,Bellary Road 1,cause,6.224299,0.527798,5.189814,7.258784,7.37,2.06897,ok
tree_fall,Hosur Road,cause,4.146246,0.001,4.144286,4.148206,1.0,0.0039199999999999235,ok
tree_fall,Magadi Road,cause,2.394571,0.001,2.392611,2.396531,1.0,0.0039199999999999235,ok
tree_fall,Mysore Road,cause,6.525354,0.51541,5.51515,7.535557,3.79,2.0204069999999996,ok
tree_fall,Non-corridor,stratum,5.311163,0.239622,4.841504,5.780821,58.2,0.9393170000000008,ok
tree_fall,ORR North 1,cause,4.430834,0.422759,3.602227,5.259442,2.98,1.6572149999999999,ok
tree_fall,ORR West 1,cause,4.374268,0.767116,2.87072,5.877816,3.62,3.007096,ok
tree_fall,Old Madras Road,cause,4.011171,0.001,4.009211,4.013131,1.0,0.0039199999999999235,ok
tree_fall,Tumkur Road,cause,6.234647,0.287691,5.670771,6.798522,4.74,1.127751,ok
