group_type,group_name,n,coverage,mean_width,median_width,p10_width,p25_width,p50_width,p75_width,p90_width,width_sd
global,all_events,1095,0.8658,6.694,5.0614,2.6207,3.5059,5.0614,9.8431,12.0087,3.9411
cause,accident,16,0.5625,3.8794,3.0588,0.9768,1.785,3.0588,6.0626,7.6152,2.7364
cause,congestion,8,0.75,3.5412,3.0244,1.1361,2.1203,3.0244,5.1226,6.4171,2.3704
cause,construction,74,0.8784,10.0398,11.5624,4.4387,5.861,11.5624,13.6909,14.3737,4.5022
cause,debris,1,1.0,4.2201,4.2201,4.2201,4.2201,4.2201,4.2201,4.2201,
cause,others,94,0.8298,10.5247,10.7308,5.608,9.8724,10.7308,11.7112,13.9263,3.4433
cause,pot_holes,55,0.7818,7.6259,7.7256,2.3045,4.6146,7.7256,11.9137,12.9264,4.0155
cause,procession,8,0.875,6.7122,6.3879,4.1264,5.1558,6.3879,7.3686,9.8117,2.5528
cause,protest,1,1.0,15.4753,15.4753,15.4753,15.4753,15.4753,15.4753,15.4753,
cause,public_event,9,0.5556,4.7105,2.0949,0.0216,0.0528,2.0949,10.1179,10.118,5.085
cause,road_conditions,21,0.6667,9.3242,10.9999,3.6314,7.188,10.9999,12.3768,13.5408,4.0653
cause,test_demo,1,0.0,,,,,,,,
cause,tree_fall,149,0.9195,9.4761,9.6559,6.465,9.2291,9.6559,9.9087,12.2586,2.2644
cause,vehicle_breakdown,472,0.9004,3.4295,3.548,2.3253,2.9719,3.548,3.8226,4.3613,0.9003
cause,water_logging,186,0.8441,9.3485,9.6844,6.0224,8.5472,9.6844,10.9139,12.0891,2.7795
corridor,Airport New South Road,3,0.6667,4.888,2.6772,2.2303,2.3979,2.6772,6.2728,8.4301,4.3221
corridor,Bannerghata Road,21,0.8571,8.6279,9.6382,3.2316,3.6359,9.6382,13.4768,14.3268,5.0708
corridor,Bellary Road 1,77,0.8182,6.0502,3.543,2.1076,3.252,3.543,9.4611,11.0398,4.0318
corridor,Bellary Road 2,25,0.68,4.9784,3.132,1.8697,2.8728,3.132,5.0559,11.3677,4.0278
corridor,CBD 1,4,0.75,4.1554,4.3129,1.0496,2.6158,4.3129,5.8526,7.1352,3.334
corridor,CBD 2,9,0.3333,5.0356,4.7572,2.3068,2.8201,4.7572,5.8577,9.5323,3.0933
corridor,Hennur Main Road,10,0.7,5.5021,5.3194,0.2589,0.5918,5.3194,9.7248,10.9024,5.0296
corridor,Hosur Road,27,0.8148,6.1663,4.6599,3.7245,4.1325,4.6599,8.4093,10.022,3.0017
corridor,IRR(Thanisandra road),7,0.8571,6.1769,3.2587,2.8991,3.1639,3.2587,9.7295,11.5007,4.0685
corridor,Magadi Road,38,0.8421,3.8017,2.9609,2.1197,2.5441,2.9609,3.6408,8.1002,2.7784
corridor,Mysore Road,117,0.8803,5.7419,3.3499,2.7383,3.1121,3.3499,9.0651,11.0251,3.5164
corridor,Non-corridor,448,0.9375,7.9817,9.4858,3.6889,3.8543,9.4858,10.2576,12.5392,3.6027
corridor,ORR East 1,24,0.8333,6.9976,5.5618,4.6957,4.8564,5.5618,7.4462,11.3864,3.5315
corridor,ORR East 2,39,0.8205,6.0471,5.6445,4.2061,4.4971,5.6445,6.277,10.6315,2.5539
corridor,ORR North 1,35,0.7429,5.1599,3.2219,1.5609,2.0755,3.2219,5.8937,10.8463,4.9981
corridor,ORR North 2,24,0.875,6.2385,4.0663,3.2944,3.5067,4.0663,7.6325,13.2828,5.0458
corridor,ORR West 1,24,0.75,6.2183,7.2557,2.2754,2.5191,7.2557,8.4803,11.5105,4.0497
corridor,Old Airport Road,18,0.7222,4.733,5.3001,0.0435,2.2068,5.3001,6.3352,8.93,3.3242
corridor,Old Madras Road,31,0.8387,5.5331,3.1246,2.361,2.6078,3.1246,9.4202,12.0792,4.2563
corridor,Tumkur Road,73,0.8904,4.9286,3.6813,1.8659,3.5487,3.6813,6.5575,9.8628,2.9211
corridor,Varthur Road,15,0.7333,5.4505,3.8157,2.2983,2.9687,3.8157,8.4666,10.8871,3.5747
corridor,West of Chord Road,26,0.7692,9.4087,11.3581,2.5235,3.4632,11.3581,13.9059,14.7554,5.1056
support_level,LOW,331,0.7341,7.6054,7.4687,2.124,3.7564,7.4687,11.1404,13.4874,4.4671
support_level,MEDIUM,379,0.8971,6.234,4.4831,2.4014,3.2592,4.4831,10.1121,12.4123,3.9194
support_level,HIGH,385,0.9481,6.3656,3.9148,3.0755,3.6468,3.9148,9.6612,10.002,3.3108
