stratum_cause,stratum_corridor,prior_level,n_eff_feedback,prior_sigma_log,posterior_sigma_log,prior_influence_lambda,posterior_influence,prior_dominated,notes
accident,Bellary Road 1,stratum,1.87,0.901223,0.036279,0.0016,0.9984,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
accident,Bellary Road 2,stratum,2.0,0.533436,0.193475,0.1315,0.8685,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
accident,Hosur Road,stratum,1.0,1.379345,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
accident,Non-corridor,stratum,3.87,0.856099,0.537513,0.3942,0.6058,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
accident,ORR North 1,stratum,1.99,0.423788,0.136998,0.1045,0.8955,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
accident,Old Madras Road,cause,1.0,0.748361,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
accident,Tumkur Road,stratum,1.98,0.23338,0.181688,0.6061,0.3939,True,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
congestion,Hennur Main Road,stratum,1.99,0.375206,0.051694,0.019,0.981,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
congestion,Non-corridor,stratum,2.0,1.053916,0.82488,0.6126,0.3874,True,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
congestion,ORR North 1,cause,2.97,1.076465,0.326735,0.0921,0.9079,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,Bellary Road 1,stratum,1.0,1.946885,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,IRR(Thanisandra road),cause,1.0,2.274135,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,Mysore Road,stratum,1.0,3.649244,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,Non-corridor,stratum,19.96,2.744246,0.5112,0.0347,0.9653,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,ORR East 1,stratum,1.0,0.430933,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,ORR East 2,stratum,14.19,0.041344,0.007971,0.0372,0.9628,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,ORR North 1,stratum,1.0,1.738071,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,ORR North 2,stratum,3.0,3.356424,1.658386,0.2441,0.7559,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,ORR West 1,cause,1.0,2.274135,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
construction,West of Chord Road,cause,1.0,2.274135,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Bellary Road 1,stratum,6.56,1.470084,0.276834,0.0355,0.9645,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Bellary Road 2,stratum,1.9,1.657044,0.392052,0.056,0.944,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Hennur Main Road,cause,1.0,1.650155,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Hosur Road,stratum,1.0,1.373387,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,IRR(Thanisandra road),cause,1.0,1.650155,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Magadi Road,stratum,3.61,1.352761,0.45348,0.1124,0.8876,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Mysore Road,stratum,4.84,1.306169,0.552179,0.1787,0.8213,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Non-corridor,stratum,25.98,1.545494,0.305509,0.0391,0.9609,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,ORR East 2,stratum,2.0,1.813279,0.191244,0.0111,0.9889,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,ORR North 1,cause,1.0,1.650155,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,ORR North 2,stratum,1.0,1.307122,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,ORR West 1,cause,2.0,1.650155,0.198019,0.0144,0.9856,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Old Airport Road,stratum,1.0,0.716829,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Old Madras Road,stratum,1.0,0.44387,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Tumkur Road,stratum,4.69,1.593887,0.494597,0.0963,0.9037,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,Varthur Road,cause,1.0,1.650155,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
others,West of Chord Road,stratum,2.78,0.531979,0.420163,0.6238,0.3762,True,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Bellary Road 1,stratum,2.98,1.590109,0.44488,0.0783,0.9217,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,CBD 1,stratum,1.0,1.311226,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,CBD 2,cause,1.0,2.128108,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Magadi Road,stratum,2.93,1.055312,0.173357,0.027,0.973,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Mysore Road,stratum,2.91,1.067217,0.277878,0.0678,0.9322,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Non-corridor,stratum,27.92,2.139018,0.532357,0.0619,0.9381,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,ORR East 1,stratum,1.0,0.663847,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,ORR North 1,cause,1.0,2.128108,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,ORR West 1,cause,1.0,2.128108,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Old Airport Road,cause,1.0,2.128108,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Old Madras Road,stratum,2.86,0.408235,0.277216,0.4611,0.5389,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Tumkur Road,cause,1.0,2.128108,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,Varthur Road,cause,1.0,2.128108,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
pot_holes,West of Chord Road,cause,1.98,2.128108,0.264327,0.0154,0.9846,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
procession,Mysore Road,cause,1.0,1.781776,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
procession,Non-corridor,stratum,3.63,1.722629,0.567584,0.1086,0.8914,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
protest,Non-corridor,stratum,1.0,1.554257,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
public_event,Mysore Road,cause,1.0,1.839605,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
public_event,Non-corridor,stratum,1.0,1.398965,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
public_event,Old Airport Road,cause,5.0,1.839605,0.011617,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,Bellary Road 1,stratum,1.96,2.333023,1.161182,0.2477,0.7523,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,Bellary Road 2,cause,1.85,2.578965,1.577783,0.3743,0.6257,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,CBD 2,stratum,1.0,2.400044,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,Magadi Road,cause,2.9,2.578965,0.227114,0.0078,0.9922,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,Mysore Road,cause,1.0,2.578965,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
