event_id,source_batch,is_censored,duration_min,event_cause,corridor_fill,duration_anomaly,iso_flagged,quarantine_reasons,quarantined,excluded_from_posterior,used_for_diagnostics,generated_at
FKID000003,feedback_Mar_Apr_2024,False,9465.174807333333,tree_fall,Non-corridor,True,True,flagged_duration_anomaly|flagged_iso_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000010,feedback_Mar_Apr_2024,False,9348.299649083334,water_logging,ORR East 2,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000018,feedback_Mar_Apr_2024,False,293.3450075,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000020,feedback_Mar_Apr_2024,False,27.2487523,vehicle_breakdown,Hosur Road,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000021,feedback_Mar_Apr_2024,False,2928.5208131000004,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000025,feedback_Mar_Apr_2024,False,843.3240253,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000033,feedback_Mar_Apr_2024,False,2907.6902057166667,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000041,feedback_Mar_Apr_2024,False,106.41915116666668,others,Bellary Road 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000047,feedback_Mar_Apr_2024,False,133.52983253333335,others,Tumkur Road,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000048,feedback_Mar_Apr_2024,False,1829.3005564666666,tree_fall,Bellary Road 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000058,feedback_Mar_Apr_2024,False,1819.0784875333334,tree_fall,Bellary Road 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000059,feedback_Mar_Apr_2024,False,1823.1111353833332,tree_fall,Bellary Road 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000060,feedback_Mar_Apr_2024,False,1825.6380844833334,tree_fall,Bellary Road 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000062,feedback_Mar_Apr_2024,False,22124.802723566667,tree_fall,Non-corridor,True,True,flagged_duration_anomaly|flagged_iso_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000066,feedback_Mar_Apr_2024,False,321.23818236666665,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000076,feedback_Mar_Apr_2024,False,5754.0936329333335,pot_holes,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000080,feedback_Mar_Apr_2024,False,15.88912515,others,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000081,feedback_Mar_Apr_2024,False,116.8119772,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000082,feedback_Mar_Apr_2024,False,762.4895166666666,construction,ORR East 2,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000083,feedback_Mar_Apr_2024,False,13265.728999266667,others,Mysore Road,True,True,flagged_duration_anomaly|flagged_iso_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000084,feedback_Mar_Apr_2024,False,17229.866743983333,others,Non-corridor,True,False,flagged_duration_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000085,feedback_Mar_Apr_2024,False,44592.990813649994,pot_holes,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000088,feedback_Mar_Apr_2024,False,74.82553706666666,vehicle_breakdown,ORR North 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000095,feedback_Mar_Apr_2024,False,8.620181266666666,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000099,feedback_Mar_Apr_2024,False,8761.173063133332,tree_fall,Non-corridor,True,False,flagged_duration_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000100,feedback_Mar_Apr_2024,False,13245.791290366667,tree_fall,Mysore Road,True,True,flagged_duration_anomaly|flagged_iso_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000109,feedback_Mar_Apr_2024,False,13203.4163744,tree_fall,Mysore Road,True,False,flagged_duration_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000110,feedback_Mar_Apr_2024,False,13212.042736283332,tree_fall,Non-corridor,True,False,flagged_duration_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000113,feedback_Mar_Apr_2024,False,545.3734030166667,construction,Bellary Road 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000122,feedback_Mar_Apr_2024,False,61.79462865,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000142,feedback_Mar_Apr_2024,False,49.972616783333336,water_logging,ORR East 1,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000143,feedback_Mar_Apr_2024,False,111.6212591,vehicle_breakdown,Mysore Road,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000144,feedback_Mar_Apr_2024,False,13118.919869416666,tree_fall,Mysore Road,True,True,flagged_duration_anomaly|flagged_iso_anomaly,True,True,True,2026-06-19T10:34:30Z
FKID000157,feedback_Mar_Apr_2024,False,52.83199456666667,vehicle_breakdown,Hosur Road,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000161,feedback_Mar_Apr_2024,False,81.46960444999999,others,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000163,feedback_Mar_Apr_2024,False,178.15932105,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000172,feedback_Mar_Apr_2024,False,24.504338233333332,vehicle_breakdown,Magadi Road,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000174,feedback_Mar_Apr_2024,False,1228.0686473666667,tree_fall,Non-corridor,False,False,,False,False,True,2026-06-19T10:34:30Z
FKID000185,feedback_Mar_Apr_2024,False,36.504006333333336,vehicle_breakdown,Tumkur Road,False,False,,False,False,True,2026-06-19T10:34:30Z
