action_id,category,candidate_count,selected_count,selection_rate,share_selected,mean_benefit,median_benefit,mean_cost,median_cost,mean_control_score,median_control_score,wins_against_signal,wins_against_diversion,wins_against_queue_relief,wins_against_dispatch,dominance_flag,generated_at
QUEUE_RELIEF,queue_relief,39,25,0.641,0.5,0.590949,0.595698,2.0,2.0,0.490949,0.495698,39,8,0,28,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
DISPATCH_TOW,dispatch,28,13,0.4643,0.26,0.630625,0.615831,3.0,3.0,0.480625,0.46583,27,8,11,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
SIGNAL_OFFSET_ADJUST,signal,50,9,0.18,0.18,0.317306,0.320705,1.0,1.0,0.267306,0.270705,0,4,0,18,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
ACTIVATE_DIVERSION,diversion,10,3,0.3,0.06,0.654979,0.63105,3.0,3.0,0.504979,0.48105,10,0,5,3,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
DEACTIVATE_DIVERSION,diversion,4,0,0.0,0.0,0.220995,0.232592,1.0,1.0,0.170994,0.182592,0,0,0,1,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
DISPATCH_QRU,dispatch,3,0,0.0,0.0,0.62514,0.633049,5.0,5.0,0.37514,0.383049,3,0,0,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
DISPATCH_POLICE,dispatch,23,0,0.0,0.0,0.543966,0.541487,4.0,4.0,0.343966,0.341487,10,0,0,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
DISPATCH_MARSHAL,dispatch,50,0,0.0,0.0,0.308678,0.314368,2.0,2.0,0.208678,0.214369,0,3,0,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
OPERATOR_ESCALATION,information,9,0,0.0,0.0,0.077248,0.07592,0.5,0.5,0.052248,0.05092,0,0,0,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
ROADWORK_ALERT,information,50,0,0.0,0.0,0.143424,0.145675,0.5,0.5,0.118424,0.120675,0,0,0,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
SIGNAL_EXTEND_GREEN,signal,39,0,0.0,0.0,0.426716,0.440777,1.0,1.0,0.376716,0.390777,0,3,0,14,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
SIGNAL_REDUCE_GREEN,signal,29,0,0.0,0.0,0.17213,0.172087,1.0,1.0,0.12213,0.122087,0,0,0,0,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
VMS_MESSAGE,information,50,0,0.0,0.0,0.264784,0.268262,0.5,0.5,0.239785,0.243262,0,4,0,17,NO_DOMINANCE_DETECTED,2026-06-20T02:56:49.483591+00:00
