action_id,category,n,mean_efficiency,median_efficiency,mean_benefit,mean_cost,generated_at
VMS_MESSAGE,information,50,0.529569,0.536524,0.264784,0.5,2026-06-20T02:56:49.483591+00:00
SIGNAL_EXTEND_GREEN,signal,39,0.426716,0.440777,0.426716,1.0,2026-06-20T02:56:49.483591+00:00
SIGNAL_OFFSET_ADJUST,signal,50,0.317306,0.320705,0.317306,1.0,2026-06-20T02:56:49.483591+00:00
QUEUE_RELIEF,queue_relief,39,0.295474,0.297849,0.590949,2.0,2026-06-20T02:56:49.483591+00:00
ROADWORK_ALERT,information,50,0.286848,0.291349,0.143424,0.5,2026-06-20T02:56:49.483591+00:00
DEACTIVATE_DIVERSION,diversion,4,0.220995,0.232592,0.220995,1.0,2026-06-20T02:56:49.483591+00:00
ACTIVATE_DIVERSION,diversion,10,0.218326,0.21035,0.654979,3.0,2026-06-20T02:56:49.483591+00:00
DISPATCH_TOW,dispatch,28,0.210208,0.205277,0.630625,3.0,2026-06-20T02:56:49.483591+00:00
SIGNAL_REDUCE_GREEN,signal,29,0.17213,0.172087,0.17213,1.0,2026-06-20T02:56:49.483591+00:00
OPERATOR_ESCALATION,information,9,0.154496,0.15184,0.077248,0.5,2026-06-20T02:56:49.483591+00:00
DISPATCH_MARSHAL,dispatch,50,0.154339,0.157184,0.308678,2.0,2026-06-20T02:56:49.483591+00:00
DISPATCH_POLICE,dispatch,23,0.135991,0.135372,0.543966,4.0,2026-06-20T02:56:49.483591+00:00
DISPATCH_QRU,dispatch,3,0.125028,0.12661,0.62514,5.0,2026-06-20T02:56:49.483591+00:00
