event_id,operational_tier,active_operational_tier,active_percentile,generated_at
FKID006340,Normal,Emergency,1.0,2026-06-20T01:47:21.593060+00:00
FKID006955,Normal,Emergency,0.98,2026-06-20T01:47:21.593060+00:00
FKID007660,Normal,Emergency,0.96,2026-06-20T01:47:21.593060+00:00
FKID008103,Normal,Emergency,0.94,2026-06-20T01:47:21.593060+00:00
FKID000022,Normal,Emergency,0.92,2026-06-20T01:47:21.593060+00:00
FKID001288,Normal,Emergency,0.9,2026-06-20T01:47:21.593060+00:00
FKID001125,Normal,Critical,0.88,2026-06-20T01:47:21.593060+00:00
FKID006361,Normal,Critical,0.86,2026-06-20T01:47:21.593060+00:00
FKID004125,Normal,Critical,0.84,2026-06-20T01:47:21.593060+00:00
FKID001693,Normal,Critical,0.82,2026-06-20T01:47:21.593060+00:00
FKID000944,Normal,Critical,0.8,2026-06-20T01:47:21.593060+00:00
FKID000316,Normal,Critical,0.78,2026-06-20T01:47:21.593060+00:00
FKID006514,Normal,Critical,0.76,2026-06-20T01:47:21.593060+00:00
FKID006015,Normal,Critical,0.74,2026-06-20T01:47:21.593060+00:00
FKID000842,Normal,Critical,0.72,2026-06-20T01:47:21.593060+00:00
FKID000129,Normal,Critical,0.7,2026-06-20T01:47:21.593060+00:00
FKID003911,Normal,Elevated,0.68,2026-06-20T01:47:21.593060+00:00
FKID000528,Normal,Elevated,0.66,2026-06-20T01:47:21.593060+00:00
FKID000923,Normal,Elevated,0.64,2026-06-20T01:47:21.593060+00:00
FKID007189,Normal,Elevated,0.62,2026-06-20T01:47:21.593060+00:00
FKID001133,Normal,Elevated,0.6,2026-06-20T01:47:21.593060+00:00
FKID004711,Normal,Elevated,0.58,2026-06-20T01:47:21.593060+00:00
FKID004806,Normal,Elevated,0.56,2026-06-20T01:47:21.593060+00:00
FKID007137,Normal,Elevated,0.54,2026-06-20T01:47:21.593060+00:00
FKID005996,Normal,Elevated,0.52,2026-06-20T01:47:21.593060+00:00
FKID000968,Normal,Elevated,0.5,2026-06-20T01:47:21.593060+00:00
FKID001931,Normal,Elevated,0.48,2026-06-20T01:47:21.593060+00:00
FKID001932,Normal,Elevated,0.46,2026-06-20T01:47:21.593060+00:00
FKID003103,Normal,Elevated,0.44,2026-06-20T01:47:21.593060+00:00
FKID001646,Normal,Elevated,0.42,2026-06-20T01:47:21.593060+00:00
FKID004531,Normal,Elevated,0.4,2026-06-20T01:47:21.593060+00:00
FKID000164,Normal,Normal,0.38,2026-06-20T01:47:21.593060+00:00
FKID005593,Normal,Normal,0.36,2026-06-20T01:47:21.593060+00:00
FKID004694,Normal,Normal,0.34,2026-06-20T01:47:21.593060+00:00
FKID003235,Normal,Normal,0.32,2026-06-20T01:47:21.593060+00:00
FKID005137,Normal,Normal,0.3,2026-06-20T01:47:21.593060+00:00
FKID001489,Normal,Normal,0.28,2026-06-20T01:47:21.593060+00:00
FKID004408,Normal,Normal,0.26,2026-06-20T01:47:21.593060+00:00
FKID004829,Normal,Normal,0.24,2026-06-20T01:47:21.593060+00:00
FKID005079,Normal,Normal,0.22,2026-06-20T01:47:21.593060+00:00
FKID001592,Normal,Normal,0.2,2026-06-20T01:47:21.593060+00:00
FKID000346,Normal,Normal,0.18,2026-06-20T01:47:21.593060+00:00
FKID004519,Normal,Normal,0.16,2026-06-20T01:47:21.593060+00:00
FKID003897,Normal,Normal,0.14,2026-06-20T01:47:21.593060+00:00
FKID004967,Normal,Normal,0.12,2026-06-20T01:47:21.593060+00:00
FKID005194,Normal,Normal,0.1,2026-06-20T01:47:21.593060+00:00
FKID004492,Normal,Normal,0.08,2026-06-20T01:47:21.593060+00:00
FKID005244,Normal,Normal,0.06,2026-06-20T01:47:21.593060+00:00
FKID004401,Normal,Normal,0.04,2026-06-20T01:47:21.593060+00:00
FKID000002,Normal,Normal,0.02,2026-06-20T01:47:21.593060+00:00
