event_id,capacity_utilization,capacity_tier,traffic_load,effective_capacity,generated_at
FKID006340,0.4236,NORMAL,0.3275,0.7731,2026-06-20T02:27:28.192130+00:00
FKID006955,0.4864,NORMAL,0.254,0.5222,2026-06-20T02:27:28.192130+00:00
FKID007660,0.3997,NORMAL,0.2401,0.6008,2026-06-20T02:27:28.192130+00:00
FKID008103,0.5483,NORMAL,0.4549,0.8296,2026-06-20T02:27:28.192130+00:00
FKID000022,0.6952,ELEVATED,0.2937,0.4225,2026-06-20T02:27:28.192130+00:00
FKID001288,0.4181,NORMAL,0.3482,0.8328,2026-06-20T02:27:28.192130+00:00
FKID001125,0.5339,NORMAL,0.3342,0.626,2026-06-20T02:27:28.192130+00:00
FKID006361,0.498,NORMAL,0.2784,0.5589,2026-06-20T02:27:28.192130+00:00
FKID004125,0.571,NORMAL,0.3435,0.6015,2026-06-20T02:27:28.192130+00:00
FKID001693,0.5973,NORMAL,0.2962,0.4959,2026-06-20T02:27:28.192130+00:00
FKID000944,0.2022,NORMAL,0.1521,0.7521,2026-06-20T02:27:28.192130+00:00
FKID000316,0.115,NORMAL,0.0823,0.7161,2026-06-20T02:27:28.192130+00:00
FKID006514,0.6382,ELEVATED,0.244,0.3823,2026-06-20T02:27:28.192130+00:00
FKID006015,0.3282,NORMAL,0.2685,0.8181,2026-06-20T02:27:28.192130+00:00
FKID000842,0.5147,NORMAL,0.3954,0.7682,2026-06-20T02:27:28.192130+00:00
FKID000129,0.3893,NORMAL,0.2914,0.7485,2026-06-20T02:27:28.192130+00:00
FKID003911,0.3758,NORMAL,0.3758,1.0,2026-06-20T02:27:28.192130+00:00
FKID000528,0.378,NORMAL,0.3494,0.9245,2026-06-20T02:27:28.192130+00:00
FKID000923,0.3118,NORMAL,0.258,0.8273,2026-06-20T02:27:28.192130+00:00
FKID007189,0.382,NORMAL,0.2777,0.7271,2026-06-20T02:27:28.192130+00:00
FKID001133,0.2411,NORMAL,0.224,0.9291,2026-06-20T02:27:28.192130+00:00
FKID004711,0.5373,NORMAL,0.3724,0.6932,2026-06-20T02:27:28.192130+00:00
FKID004806,0.1931,NORMAL,0.1211,0.6271,2026-06-20T02:27:28.192130+00:00
FKID007137,0.2849,NORMAL,0.2849,1.0,2026-06-20T02:27:28.192130+00:00
FKID005996,0.2938,NORMAL,0.2014,0.6857,2026-06-20T02:27:28.192130+00:00
FKID000968,0.6208,ELEVATED,0.3087,0.4973,2026-06-20T02:27:28.192130+00:00
FKID001931,0.3104,NORMAL,0.2908,0.9366,2026-06-20T02:27:28.192130+00:00
FKID001932,0.3665,NORMAL,0.3403,0.9285,2026-06-20T02:27:28.192130+00:00
FKID003103,0.6291,ELEVATED,0.4152,0.66,2026-06-20T02:27:28.192130+00:00
FKID001646,0.458,NORMAL,0.3161,0.6903,2026-06-20T02:27:28.192130+00:00
FKID004531,0.5644,NORMAL,0.3494,0.6191,2026-06-20T02:27:28.192130+00:00
FKID000164,0.3087,NORMAL,0.2233,0.7234,2026-06-20T02:27:28.192130+00:00
FKID005593,0.2815,NORMAL,0.2815,1.0,2026-06-20T02:27:28.192130+00:00
FKID004694,0.254,NORMAL,0.1733,0.6822,2026-06-20T02:27:28.192130+00:00
FKID003235,0.5273,NORMAL,0.4214,0.7992,2026-06-20T02:27:28.192130+00:00
FKID005137,0.3922,NORMAL,0.3265,0.8325,2026-06-20T02:27:28.192130+00:00
FKID001489,0.3076,NORMAL,0.2799,0.9099,2026-06-20T02:27:28.192130+00:00
FKID004408,0.3178,NORMAL,0.2346,0.7381,2026-06-20T02:27:28.192130+00:00
FKID004829,0.2691,NORMAL,0.2046,0.7602,2026-06-20T02:27:28.192130+00:00
FKID005079,0.4503,NORMAL,0.3568,0.7924,2026-06-20T02:27:28.192130+00:00
FKID001592,0.3829,NORMAL,0.2939,0.7675,2026-06-20T02:27:28.192130+00:00
FKID000346,0.4836,NORMAL,0.2997,0.6198,2026-06-20T02:27:28.192130+00:00
FKID004519,0.2907,NORMAL,0.2208,0.7595,2026-06-20T02:27:28.192130+00:00
FKID003897,0.3359,NORMAL,0.3254,0.969,2026-06-20T02:27:28.192130+00:00
FKID004967,0.7269,ELEVATED,0.2137,0.294,2026-06-20T02:27:28.192130+00:00
FKID005194,0.3924,NORMAL,0.313,0.7977,2026-06-20T02:27:28.192130+00:00
FKID004492,0.2762,NORMAL,0.2239,0.8106,2026-06-20T02:27:28.192130+00:00
FKID005244,0.3709,NORMAL,0.2594,0.6993,2026-06-20T02:27:28.192130+00:00
FKID004401,0.4002,NORMAL,0.2909,0.7269,2026-06-20T02:27:28.192130+00:00
FKID000002,0.3774,NORMAL,0.2913,0.772,2026-06-20T02:27:28.192130+00:00
