event_id,action_id,action_type,d_queue,d_travel,d_risk,queue_after,travel_after,risk_after,benefit_score,cost_score,control_score,objective_J,feasible_applicable,generated_at
FKID000002,SIGNAL_EXTEND_GREEN,signal,21.7134,20.7946,0.027936,187.2417,219.3417,0.133764,0.467868,1.0,0.417868,1.082531,True,2026-06-20T02:47:06.160690+00:00
FKID000002,SIGNAL_REDUCE_GREEN,signal,9.0472,6.2384,0.021319,199.9079,233.8979,0.140381,0.187347,1.0,0.137347,1.139039,True,2026-06-20T02:47:06.160690+00:00
FKID000002,SIGNAL_OFFSET_ADJUST,signal,14.4756,16.6357,0.021319,194.4795,223.5006,0.140381,0.348109,1.0,0.298109,1.101668,True,2026-06-20T02:47:06.160690+00:00
FKID000002,QUEUE_RELIEF,traffic,31.3433,24.0136,0.04117,177.6118,216.1227,0.12053,0.610352,2.0,0.510352,1.163678,True,2026-06-20T02:47:06.160690+00:00
FKID000002,DISPATCH_MARSHAL,resource,14.6269,12.0068,0.034553,194.3282,228.1295,0.127147,0.324406,2.0,0.224406,1.213713,True,2026-06-20T02:47:06.160690+00:00
FKID000002,VMS_MESSAGE,information,8.3582,14.4082,0.021319,200.5969,225.7281,0.140381,0.272381,0.5,0.247381,1.062151,True,2026-06-20T02:47:06.160690+00:00
FKID000002,ROADWORK_ALERT,information,6.2687,4.8027,0.021319,202.6864,235.3336,0.140381,0.14824,0.5,0.123241,1.095214,True,2026-06-20T02:47:06.160690+00:00
FKID000022,SIGNAL_EXTEND_GREEN,signal,22.4118,22.5852,0.032576,183.0189,225.8388,0.187124,0.502864,1.0,0.452864,1.079424,True,2026-06-20T02:47:06.160690+00:00
FKID000022,SIGNAL_REDUCE_GREEN,signal,9.3383,6.7756,0.025379,196.0924,241.6484,0.194321,0.203862,1.0,0.153862,1.140459,True,2026-06-20T02:47:06.160690+00:00
FKID000022,SIGNAL_OFFSET_ADJUST,signal,14.9412,18.0682,0.025379,190.4895,230.3558,0.194321,0.376026,1.0,0.326026,1.100015,True,2026-06-20T02:47:06.160690+00:00
FKID000022,QUEUE_RELIEF,traffic,30.8146,24.8424,0.04697,174.6161,223.5816,0.17273,0.626755,2.0,0.526755,1.1641,True,2026-06-20T02:47:06.160690+00:00
FKID000022,DISPATCH_POLICE,resource,20.5431,19.8739,0.083501,184.8876,228.5501,0.136199,0.559016,4.0,0.359016,1.376665,True,2026-06-20T02:47:06.160690+00:00
FKID000022,DISPATCH_MARSHAL,resource,14.3801,12.4212,0.039773,191.0506,236.0028,0.179927,0.337394,2.0,0.237394,1.21552,True,2026-06-20T02:47:06.160690+00:00
FKID000022,VMS_MESSAGE,information,8.2172,14.9054,0.025379,197.2135,233.5186,0.194321,0.28485,0.5,0.25985,1.06392,True,2026-06-20T02:47:06.160690+00:00
FKID000022,ROADWORK_ALERT,information,6.1629,4.9685,0.025379,199.2678,243.4555,0.194321,0.157321,0.5,0.132321,1.09807,True,2026-06-20T02:47:06.160690+00:00
FKID000129,SIGNAL_EXTEND_GREEN,signal,13.7585,17.3937,0.033848,144.5599,222.7845,0.201752,0.375613,1.0,0.325613,1.012765,True,2026-06-20T02:47:06.160690+00:00
FKID000129,SIGNAL_OFFSET_ADJUST,signal,9.1723,13.915,0.026492,149.1461,226.2632,0.209108,0.284031,1.0,0.234031,1.028493,True,2026-06-20T02:47:06.160690+00:00
FKID000129,QUEUE_RELIEF,traffic,23.7478,24.0178,0.04856,134.5706,216.1604,0.18704,0.561883,2.0,0.461883,1.082012,True,2026-06-20T02:47:06.160690+00:00
FKID000129,DISPATCH_POLICE,resource,15.8318,19.2143,0.087535,142.4866,220.9639,0.148065,0.520494,4.0,0.320494,1.292238,True,2026-06-20T02:47:06.160690+00:00
FKID000129,DISPATCH_MARSHAL,resource,11.0823,12.0089,0.041204,147.2361,228.1693,0.194396,0.308193,2.0,0.208193,1.130213,True,2026-06-20T02:47:06.160690+00:00
FKID000129,DISPATCH_TOW,resource,33.9688,14.4107,0.090695,124.3496,225.7675,0.144905,0.624582,3.0,0.474582,1.198391,True,2026-06-20T02:47:06.160690+00:00
FKID000129,VMS_MESSAGE,information,6.3327,14.4107,0.026492,151.9857,225.7675,0.209108,0.265875,0.5,0.240875,0.97826,True,2026-06-20T02:47:06.160690+00:00
FKID000129,ROADWORK_ALERT,information,4.7496,4.8036,0.026492,153.5688,235.3746,0.209108,0.145937,0.5,0.120937,1.011075,True,2026-06-20T02:47:06.160690+00:00
FKID000164,SIGNAL_EXTEND_GREEN,signal,7.9163,19.0739,0.029416,75.1469,221.091,0.150784,0.336733,1.0,0.286733,1.046894,True,2026-06-20T02:47:06.160690+00:00
FKID000164,SIGNAL_REDUCE_GREEN,signal,3.2984,5.7222,0.022614,79.7648,234.4427,0.157586,0.136295,1.0,0.086295,1.095409,True,2026-06-20T02:47:06.160690+00:00
FKID000164,SIGNAL_OFFSET_ADJUST,signal,5.2775,15.2591,0.022614,77.7857,224.9058,0.157586,0.258753,1.0,0.208753,1.06263,True,2026-06-20T02:47:06.160690+00:00
FKID000164,QUEUE_RELIEF,traffic,12.4595,24.0165,0.04302,70.6037,216.1484,0.13718,0.456719,2.0,0.356719,1.124746,True,2026-06-20T02:47:06.160690+00:00
FKID000164,DISPATCH_MARSHAL,resource,5.8144,12.0082,0.036218,77.2488,228.1567,0.143982,0.254314,2.0,0.154314,1.169797,True,2026-06-20T02:47:06.160690+00:00
FKID000164,DISPATCH_TOW,resource,15.8285,14.4099,0.073819,67.2347,225.755,0.106381,0.439652,3.0,0.289652,1.247384,True,2026-06-20T02:47:06.160690+00:00
FKID000164,VMS_MESSAGE,information,3.3225,14.4099,0.022614,79.7407,225.755,0.157586,0.233025,0.5,0.208026,1.016438,True,2026-06-20T02:47:06.160690+00:00
FKID000164,ROADWORK_ALERT,information,2.4919,4.8033,0.022614,80.5713,235.3616,0.157586,0.119364,0.5,0.094364,1.048876,True,2026-06-20T02:47:06.160690+00:00
FKID000316,SIGNAL_REDUCE_GREEN,signal,0.0,8.2818,0.013332,0.0,278.6236,0.034268,0.118684,1.0,0.068684,1.179641,True,2026-06-20T02:47:06.160690+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,signal,0.0,22.0848,0.013332,0.0,264.8206,0.034268,0.272051,1.0,0.222051,1.133631,True,2026-06-20T02:47:06.160690+00:00
FKID000316,DEACTIVATE_DIVERSION,traffic,0.0,14.3453,0.007856,0.0,272.5601,0.039744,0.175104,1.0,0.125104,1.160798,True,2026-06-20T02:47:06.160690+00:00
FKID000316,DISPATCH_MARSHAL,resource,0.0,14.3453,0.024284,0.0,272.5601,0.023316,0.20796,2.0,0.10796,1.256691,True,2026-06-20T02:47:06.160690+00:00
FKID000316,VMS_MESSAGE,information,0.0,17.2143,0.013332,0.0,269.6911,0.034268,0.217934,0.5,0.192934,1.099866,True,2026-06-20T02:47:06.160690+00:00
FKID000316,ROADWORK_ALERT,information,0.0,5.7381,0.013332,0.0,281.1673,0.034268,0.090421,0.5,0.065421,1.13812,True,2026-06-20T02:47:06.160690+00:00
FKID000346,SIGNAL_EXTEND_GREEN,signal,16.9152,20.0061,0.03288,160.3057,231.5192,0.19062,0.42901,1.0,0.37901,1.026989,True,2026-06-20T02:47:06.160690+00:00
FKID000346,SIGNAL_OFFSET_ADJUST,signal,11.2768,16.0049,0.025645,165.9441,235.5204,0.197855,0.323096,1.0,0.273096,1.044954,True,2026-06-20T02:47:06.160690+00:00
FKID000346,QUEUE_RELIEF,traffic,26.5831,25.1525,0.04735,150.6378,226.3728,0.17615,0.595698,2.0,0.495698,1.101383,True,2026-06-20T02:47:06.160690+00:00
FKID000346,DISPATCH_POLICE,resource,17.7221,20.122,0.084458,159.4988,231.4033,0.139042,0.540178,4.0,0.340178,1.313305,True,2026-06-20T02:47:06.160690+00:00
FKID000346,DISPATCH_MARSHAL,resource,12.4055,12.5763,0.040115,164.8154,238.949,0.183385,0.323346,2.0,0.223346,1.152201,True,2026-06-20T02:47:06.160690+00:00
FKID000346,DISPATCH_TOW,resource,33.6989,15.0915,0.079962,143.522,236.4338,0.143538,0.608432,3.0,0.458431,1.223208,True,2026-06-20T02:47:06.160690+00:00
FKID000346,VMS_MESSAGE,information,7.0888,15.0915,0.025645,170.1321,236.4338,0.197855,0.278047,0.5,0.253047,1.000093,True,2026-06-20T02:47:06.160690+00:00
FKID000346,ROADWORK_ALERT,information,5.3166,5.0305,0.025645,171.9043,246.4948,0.197855,0.151489,0.5,0.126489,1.034516,True,2026-06-20T02:47:06.160690+00:00
FKID000528,SIGNAL_EXTEND_GREEN,signal,23.5625,21.3523,0.028664,207.8649,230.31,0.142136,0.49093,1.0,0.44093,1.098745,True,2026-06-20T02:47:06.160690+00:00
FKID000528,SIGNAL_REDUCE_GREEN,signal,9.8177,6.4057,0.021956,221.6097,245.2566,0.148844,0.196901,1.0,0.146901,1.157116,True,2026-06-20T02:47:06.160690+00:00
FKID000528,SIGNAL_OFFSET_ADJUST,signal,15.7084,17.0818,0.021956,215.719,234.5805,0.148844,0.364613,1.0,0.314613,1.118584,True,2026-06-20T02:47:06.160690+00:00
FKID000528,QUEUE_RELIEF,traffic,34.7141,25.1662,0.04208,196.7133,226.4961,0.12872,0.653069,2.0,0.553069,1.177102,True,2026-06-20T02:47:06.160690+00:00
