event_id,recommended_action,explanation,risk_if_ignored,generated_at
FKID000002,QUEUE_RELIEF,"Forecast queue 209 m and capacity utilization 0.38 at this site (spillover load 5.38). QUEUE_RELIEF is expected to reduce queue by 15% (31 m) and travel time by 24.0 min, lowering escalation risk from 0.16 to 0.12.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000022,QUEUE_RELIEF,"Forecast queue 205 m and capacity utilization 0.70 at this site (spillover load 3.94). QUEUE_RELIEF is expected to reduce queue by 15% (31 m) and travel time by 24.8 min, lowering escalation risk from 0.22 to 0.17.",MODERATE — conditions degrading; monitor and pre-position resources.,2026-06-20T02:47:06.160690+00:00
FKID000129,DISPATCH_TOW,"Forecast queue 158 m and capacity utilization 0.39 at this site (spillover load 2.30). DISPATCH_TOW is expected to reduce queue by 21% (34 m) and travel time by 14.4 min, lowering escalation risk from 0.24 to 0.14.",MODERATE — conditions degrading; monitor and pre-position resources.,2026-06-20T02:47:06.160690+00:00
FKID000164,QUEUE_RELIEF,"Forecast queue 83 m and capacity utilization 0.31 at this site (spillover load 5.79). QUEUE_RELIEF is expected to reduce queue by 15% (12 m) and travel time by 24.0 min, lowering escalation risk from 0.18 to 0.14.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,"Forecast queue 0 m and capacity utilization 0.12 at this site (spillover load 6.09). SIGNAL_OFFSET_ADJUST is expected to reduce queue by 0% (0 m) and travel time by 22.1 min, lowering escalation risk from 0.05 to 0.03.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000346,QUEUE_RELIEF,"Forecast queue 177 m and capacity utilization 0.48 at this site (spillover load 1.51). QUEUE_RELIEF is expected to reduce queue by 15% (27 m) and travel time by 25.2 min, lowering escalation risk from 0.22 to 0.18.",MODERATE — conditions degrading; monitor and pre-position resources.,2026-06-20T02:47:06.160690+00:00
FKID000528,QUEUE_RELIEF,"Forecast queue 231 m and capacity utilization 0.38 at this site (spillover load 4.07). QUEUE_RELIEF is expected to reduce queue by 15% (35 m) and travel time by 25.2 min, lowering escalation risk from 0.17 to 0.13.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000842,ACTIVATE_DIVERSION,"Forecast queue 307 m and capacity utilization 0.51 at this site (spillover load 5.88). ACTIVATE_DIVERSION is expected to reduce queue by 16% (50 m) and travel time by 33.2 min, lowering escalation risk from 0.19 to 0.14.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000923,QUEUE_RELIEF,"Forecast queue 118 m and capacity utilization 0.31 at this site (spillover load 5.21). QUEUE_RELIEF is expected to reduce queue by 15% (18 m) and travel time by 24.0 min, lowering escalation risk from 0.19 to 0.14.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,"Forecast queue 62 m and capacity utilization 0.20 at this site (spillover load 5.18). SIGNAL_OFFSET_ADJUST is expected to reduce queue by 7% (4 m) and travel time by 21.0 min, lowering escalation risk from 0.12 to 0.10.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID000968,DISPATCH_TOW,"Forecast queue 149 m and capacity utilization 0.62 at this site (spillover load 5.03). DISPATCH_TOW is expected to reduce queue by 21% (31 m) and travel time by 12.3 min, lowering escalation risk from 0.28 to 0.19.",MODERATE — conditions degrading; monitor and pre-position resources.,2026-06-20T02:47:06.160690+00:00
FKID001125,QUEUE_RELIEF,"Forecast queue 233 m and capacity utilization 0.53 at this site (spillover load 6.11). QUEUE_RELIEF is expected to reduce queue by 15% (35 m) and travel time by 24.0 min, lowering escalation risk from 0.19 to 0.15.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,"Forecast queue 171 m and capacity utilization 0.24 at this site (spillover load 6.40). SIGNAL_OFFSET_ADJUST is expected to reduce queue by 7% (12 m) and travel time by 17.4 min, lowering escalation risk from 0.11 to 0.09.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
FKID001288,DISPATCH_TOW,"Forecast queue 166 m and capacity utilization 0.42 at this site (spillover load 1.59). DISPATCH_TOW is expected to reduce queue by 24% (40 m) and travel time by 16.8 min, lowering escalation risk from 0.28 to 0.17.",MODERATE — conditions degrading; monitor and pre-position resources.,2026-06-20T02:47:06.160690+00:00
FKID001489,QUEUE_RELIEF,"Forecast queue 199 m and capacity utilization 0.31 at this site (spillover load 6.28). QUEUE_RELIEF is expected to reduce queue by 15% (30 m) and travel time by 24.0 min, lowering escalation risk from 0.14 to 0.10.",LOW — conditions stable; deferral has limited downside.,2026-06-20T02:47:06.160690+00:00
