event_id,recommended_action,action_type,reason,expected_benefit,expected_queue_reduction_m,expected_travel_reduction_min,expected_risk_reduction,confidence,resource_type,resource_count,resource_requirement,risk_if_ignored,approval_required,information_only,generated_at,operator_priority_score,operator_priority_tier,feasible,resource_constrained
FKID000002,QUEUE_RELIEF,traffic,"Forecast queue 209 m and capacity utilization 0.38 at this site (spillover load 5.38). QUEUE_RELIEF is expected to reduce queue by 15% (31 m) and travel time by 24.0 min, lowering escalation risk from 0.16 to 0.12.",0.610352,31.3433,24.0136,0.04117,0.5696,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.442023,MEDIUM,True,False
FKID000022,QUEUE_RELIEF,traffic,"Forecast queue 205 m and capacity utilization 0.70 at this site (spillover load 3.94). QUEUE_RELIEF is expected to reduce queue by 15% (31 m) and travel time by 24.8 min, lowering escalation risk from 0.22 to 0.17.",0.626755,30.8146,24.8424,0.04697,0.59,none,0,none,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,2026-06-20T02:47:06.160690+00:00,0.469028,HIGH,True,False
FKID000129,DISPATCH_TOW,resource,"Forecast queue 158 m and capacity utilization 0.39 at this site (spillover load 2.30). DISPATCH_TOW is expected to reduce queue by 21% (34 m) and travel time by 14.4 min, lowering escalation risk from 0.24 to 0.14.",0.624582,33.9688,14.4107,0.090695,0.5649,tow,1,tow:1,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,2026-06-20T02:47:06.160690+00:00,0.318582,LOW,False,True
FKID000164,QUEUE_RELIEF,traffic,"Forecast queue 83 m and capacity utilization 0.31 at this site (spillover load 5.79). QUEUE_RELIEF is expected to reduce queue by 15% (12 m) and travel time by 24.0 min, lowering escalation risk from 0.18 to 0.14.",0.456719,12.4595,24.0165,0.04302,0.568,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.45348,HIGH,True,False
FKID000316,SIGNAL_OFFSET_ADJUST,signal,"Forecast queue 0 m and capacity utilization 0.12 at this site (spillover load 6.09). SIGNAL_OFFSET_ADJUST is expected to reduce queue by 0% (0 m) and travel time by 22.1 min, lowering escalation risk from 0.05 to 0.03.",0.272051,0.0,22.0848,0.013332,0.5927,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.368525,MEDIUM,True,False
FKID000346,QUEUE_RELIEF,traffic,"Forecast queue 177 m and capacity utilization 0.48 at this site (spillover load 1.51). QUEUE_RELIEF is expected to reduce queue by 15% (27 m) and travel time by 25.2 min, lowering escalation risk from 0.22 to 0.18.",0.595698,26.5831,25.1525,0.04735,0.5663,none,0,none,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,2026-06-20T02:47:06.160690+00:00,0.296043,LOW,True,False
FKID000528,QUEUE_RELIEF,traffic,"Forecast queue 231 m and capacity utilization 0.38 at this site (spillover load 4.07). QUEUE_RELIEF is expected to reduce queue by 15% (35 m) and travel time by 25.2 min, lowering escalation risk from 0.17 to 0.13.",0.653069,34.7141,25.1662,0.04208,0.5925,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.37508,MEDIUM,True,False
FKID000842,ACTIVATE_DIVERSION,traffic,"Forecast queue 307 m and capacity utilization 0.51 at this site (spillover load 5.88). ACTIVATE_DIVERSION is expected to reduce queue by 16% (50 m) and travel time by 33.2 min, lowering escalation risk from 0.19 to 0.14.",0.89025,50.3687,33.1642,0.05101,0.5934,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.50948,CRITICAL,True,False
FKID000923,QUEUE_RELIEF,traffic,"Forecast queue 118 m and capacity utilization 0.31 at this site (spillover load 5.21). QUEUE_RELIEF is expected to reduce queue by 15% (18 m) and travel time by 24.0 min, lowering escalation risk from 0.19 to 0.14.",0.50179,17.7497,24.017,0.04351,0.5703,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.424652,MEDIUM,True,False
FKID000944,SIGNAL_OFFSET_ADJUST,signal,"Forecast queue 62 m and capacity utilization 0.20 at this site (spillover load 5.18). SIGNAL_OFFSET_ADJUST is expected to reduce queue by 7% (4 m) and travel time by 21.0 min, lowering escalation risk from 0.12 to 0.10.",0.30593,4.2896,21.0322,0.018246,0.5878,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.368225,LOW,True,False
FKID000968,DISPATCH_TOW,resource,"Forecast queue 149 m and capacity utilization 0.62 at this site (spillover load 5.03). DISPATCH_TOW is expected to reduce queue by 21% (31 m) and travel time by 12.3 min, lowering escalation risk from 0.28 to 0.19.",0.585958,30.9575,12.261,0.095873,0.5879,tow,1,tow:1,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,2026-06-20T02:47:06.160690+00:00,0.527146,CRITICAL,True,False
FKID001125,QUEUE_RELIEF,traffic,"Forecast queue 233 m and capacity utilization 0.53 at this site (spillover load 6.11). QUEUE_RELIEF is expected to reduce queue by 15% (35 m) and travel time by 24.0 min, lowering escalation risk from 0.19 to 0.15.",0.645498,34.8912,24.019,0.04393,0.5614,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.533431,CRITICAL,True,False
FKID001133,SIGNAL_OFFSET_ADJUST,signal,"Forecast queue 171 m and capacity utilization 0.24 at this site (spillover load 6.40). SIGNAL_OFFSET_ADJUST is expected to reduce queue by 7% (12 m) and travel time by 17.4 min, lowering escalation risk from 0.11 to 0.09.",0.331521,12.3834,17.386,0.017574,0.5669,none,0,none,LOW — conditions stable; deferral has limited downside.,True,False,2026-06-20T02:47:06.160690+00:00,0.440912,MEDIUM,True,False
FKID001288,DISPATCH_TOW,resource,"Forecast queue 166 m and capacity utilization 0.42 at this site (spillover load 1.59). DISPATCH_TOW is expected to reduce queue by 24% (40 m) and travel time by 16.8 min, lowering escalation risk from 0.28 to 0.17.",0.730389,39.6444,16.8324,0.106496,0.5887,tow,1,tow:1,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,2026-06-20T02:47:06.160690+00:00,0.302046,LOW,False,True
