event_id,recommended_action,baseline_queue,baseline_travel,baseline_risk,action_queue,action_travel,action_risk,queue_impact,travel_impact,risk_impact,queue_reduction_pct,risk_reduction_pct,generated_at
FKID000002,QUEUE_RELIEF,208.9551,240.1363,0.1617,177.6118,216.1227,0.12053,31.3433,24.0136,0.04117,15.0,25.46,2026-06-20T02:47:06.160690+00:00
FKID000022,QUEUE_RELIEF,205.4307,248.424,0.2197,174.6161,223.5816,0.17273,30.8146,24.8424,0.04697,15.0,21.38,2026-06-20T02:47:06.160690+00:00
FKID000129,DISPATCH_TOW,158.3184,240.1782,0.2356,124.3496,225.7675,0.144905,33.9688,14.4107,0.090695,21.46,38.5,2026-06-20T02:47:06.160690+00:00
FKID000164,QUEUE_RELIEF,83.0632,240.1649,0.1802,70.6037,216.1484,0.13718,12.4595,24.0165,0.04302,15.0,23.87,2026-06-20T02:47:06.160690+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.0,286.9054,0.0476,0.0,264.8206,0.034268,0.0,22.0848,0.013332,0.0,28.01,2026-06-20T02:47:06.160690+00:00
FKID000346,QUEUE_RELIEF,177.2209,251.5253,0.2235,150.6378,226.3728,0.17615,26.5831,25.1525,0.04735,15.0,21.19,2026-06-20T02:47:06.160690+00:00
FKID000528,QUEUE_RELIEF,231.4274,251.6623,0.1708,196.7133,226.4961,0.12872,34.7141,25.1662,0.04208,15.0,24.64,2026-06-20T02:47:06.160690+00:00
FKID000842,ACTIVATE_DIVERSION,306.8435,242.4414,0.191,256.4748,209.2772,0.13999,50.3687,33.1642,0.05101,16.42,26.71,2026-06-20T02:47:06.160690+00:00
FKID000923,QUEUE_RELIEF,118.3312,240.1701,0.1851,100.5815,216.1531,0.14159,17.7497,24.017,0.04351,15.0,23.51,2026-06-20T02:47:06.160690+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,61.9349,303.6737,0.1178,57.6453,282.6415,0.099554,4.2896,21.0322,0.018246,6.93,15.49,2026-06-20T02:47:06.160690+00:00
FKID000968,DISPATCH_TOW,148.6396,204.3493,0.2842,117.6821,192.0883,0.188327,30.9575,12.261,0.095873,20.83,33.73,2026-06-20T02:47:06.160690+00:00
FKID001125,QUEUE_RELIEF,232.6081,240.1898,0.1893,197.7169,216.1708,0.14537,34.8912,24.019,0.04393,15.0,23.21,2026-06-20T02:47:06.160690+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,171.0657,240.1728,0.1082,158.6823,222.7868,0.090626,12.3834,17.386,0.017574,7.24,16.24,2026-06-20T02:47:06.160690+00:00
