event_id,best_action,best_score,second_best_action,second_best_score,score_gap_abs,score_gap_rel,min_regret,max_regret,mean_regret,n_candidates,generated_at
FKID000002,QUEUE_RELIEF,0.510352,SIGNAL_EXTEND_GREEN,0.417868,0.092484,0.181216,0.092484,0.387111,0.26896,7,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,SIGNAL_EXTEND_GREEN,0.452864,0.073891,0.140276,0.073891,0.394434,0.252279,8,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,QUEUE_RELIEF,0.461883,0.012699,0.026758,0.012699,0.353645,0.201435,8,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,DISPATCH_TOW,0.289652,0.067067,0.188011,0.067067,0.270424,0.166985,8,2026-06-20T02:56:49.483591+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.222051,VMS_MESSAGE,0.192934,0.029117,0.131128,0.029117,0.15663,0.11003,6,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,DISPATCH_TOW,0.458431,0.037267,0.075181,0.037267,0.369209,0.202327,8,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,DISPATCH_TOW,0.48184,0.071229,0.128789,0.071229,0.420376,0.263589,8,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,QUEUE_RELIEF,0.641133,0.099117,0.133897,0.099117,0.587924,0.393446,8,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,DISPATCH_TOW,0.351738,0.050052,0.124573,0.050052,0.304187,0.189276,8,2026-06-20T02:56:49.483591+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,0.25593,VMS_MESSAGE,0.234586,0.021344,0.083398,0.021344,0.161471,0.108042,5,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,ACTIVATE_DIVERSION,0.43243,0.003528,0.008093,0.003528,0.385486,0.19925,11,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,SIGNAL_EXTEND_GREEN,0.454531,0.090967,0.16676,0.090967,0.412469,0.293807,8,2026-06-20T02:56:49.483591+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,0.281521,VMS_MESSAGE,0.227285,0.054236,0.192653,0.054236,0.175234,0.119433,5,2026-06-20T02:56:49.483591+00:00
FKID001288,DISPATCH_TOW,0.580389,QUEUE_RELIEF,0.52515,0.055239,0.095176,0.055239,0.531005,0.305546,9,2026-06-20T02:56:49.483591+00:00
FKID001489,QUEUE_RELIEF,0.492904,SIGNAL_EXTEND_GREEN,0.412037,0.080867,0.164062,0.080867,0.375623,0.257802,7,2026-06-20T02:56:49.483591+00:00
FKID001592,DISPATCH_TOW,0.414946,QUEUE_RELIEF,0.406621,0.008325,0.020063,0.008325,0.320888,0.190688,9,2026-06-20T02:56:49.483591+00:00
FKID001646,QUEUE_RELIEF,0.458812,DISPATCH_TOW,0.428008,0.030804,0.067139,0.030804,0.346703,0.205167,9,2026-06-20T02:56:49.483591+00:00
FKID001693,QUEUE_RELIEF,0.491434,DISPATCH_TOW,0.432323,0.059111,0.120283,0.059111,0.365167,0.220125,9,2026-06-20T02:56:49.483591+00:00
FKID001931,QUEUE_RELIEF,0.346158,DISPATCH_TOW,0.341126,0.005032,0.014537,0.005032,0.263656,0.156602,9,2026-06-20T02:56:49.483591+00:00
FKID001932,QUEUE_RELIEF,0.543173,DISPATCH_TOW,0.493296,0.049877,0.091825,0.049877,0.411888,0.258956,8,2026-06-20T02:56:49.483591+00:00
FKID003103,DISPATCH_TOW,0.654544,ACTIVATE_DIVERSION,0.591129,0.063415,0.096884,0.063415,0.601928,0.317267,10,2026-06-20T02:56:49.483591+00:00
FKID003235,DISPATCH_TOW,0.6746,QUEUE_RELIEF,0.539145,0.135455,0.200793,0.135455,0.6184,0.381046,12,2026-06-20T02:56:49.483591+00:00
FKID003897,QUEUE_RELIEF,0.511266,DISPATCH_TOW,0.488787,0.022479,0.043967,0.022479,0.385133,0.243129,8,2026-06-20T02:56:49.483591+00:00
FKID003911,DISPATCH_TOW,0.47323,QUEUE_RELIEF,0.423451,0.049779,0.10519,0.049779,0.371361,0.246381,9,2026-06-20T02:56:49.483591+00:00
FKID004125,QUEUE_RELIEF,0.591204,SIGNAL_EXTEND_GREEN,0.481849,0.109355,0.18497,0.109355,0.447594,0.295768,8,2026-06-20T02:56:49.483591+00:00
FKID004401,QUEUE_RELIEF,0.515277,DISPATCH_TOW,0.453824,0.061453,0.119262,0.061453,0.388761,0.221509,7,2026-06-20T02:56:49.483591+00:00
FKID004408,QUEUE_RELIEF,0.427962,SIGNAL_EXTEND_GREEN,0.390777,0.037185,0.086889,0.037185,0.32721,0.196672,6,2026-06-20T02:56:49.483591+00:00
FKID004492,SIGNAL_OFFSET_ADJUST,0.269817,VMS_MESSAGE,0.203411,0.066406,0.246115,0.066406,0.173128,0.122394,5,2026-06-20T02:56:49.483591+00:00
FKID004519,SIGNAL_OFFSET_ADJUST,0.348315,VMS_MESSAGE,0.252244,0.096071,0.275816,0.096071,0.234898,0.154607,4,2026-06-20T02:56:49.483591+00:00
