source_zone,receiver_zone,alpha,se,ci_lower_95,ci_upper_95,half_life_hours,note
Central Zone 1,Central Zone 2,0.783595,0.184952,0.421088,1.146102,0.5275,"statistical association, not causal"
Central Zone 1,North Zone 1,0.342285,0.132321,0.082936,0.601635,0.5275,"statistical association, not causal"
Central Zone 1,North Zone 2,0.485137,0.160025,0.171488,0.798786,0.5275,"statistical association, not causal"
Central Zone 1,South Zone 1,0.234876,0.089388,0.059674,0.410077,0.5275,"statistical association, not causal"
Central Zone 1,West Zone 1,0.421049,0.154038,0.119134,0.722963,0.5275,"statistical association, not causal"
Central Zone 2,Central Zone 1,0.342774,0.062492,0.22029,0.465257,0.5275,"statistical association, not causal"
Central Zone 2,East Zone 2,0.173138,0.048507,0.078064,0.268211,0.5275,"statistical association, not causal"
Central Zone 2,North Zone 2,0.273245,0.071416,0.13327,0.41322,0.5275,"statistical association, not causal"
Central Zone 2,South Zone 2,0.178274,0.052163,0.076034,0.280513,0.5275,"statistical association, not causal"
East Zone 1,East Zone 2,0.455156,0.122596,0.214867,0.695445,0.5275,"statistical association, not causal"
East Zone 1,North Zone 2,0.229607,0.144215,0.0,0.512268,0.5275,"statistical association, not causal"
East Zone 1,South Zone 2,0.577942,0.142316,0.299002,0.856882,0.5275,"statistical association, not causal"
East Zone 2,Central Zone 2,0.854854,0.213917,0.435577,1.274132,0.5275,"statistical association, not causal"
East Zone 2,East Zone 1,0.445941,0.145687,0.160396,0.731487,0.5275,"statistical association, not causal"
East Zone 2,South Zone 2,0.347693,0.134825,0.083435,0.611951,0.5275,"statistical association, not causal"
North Zone 1,Central Zone 1,0.227628,0.108205,0.015546,0.43971,0.5275,"statistical association, not causal"
North Zone 1,North Zone 2,0.487434,0.14471,0.203802,0.771067,0.5275,"statistical association, not causal"
North Zone 1,West Zone 1,0.571441,0.150462,0.276535,0.866346,0.5275,"statistical association, not causal"
North Zone 2,Central Zone 1,0.219553,0.087031,0.048972,0.390135,0.5275,"statistical association, not causal"
North Zone 2,Central Zone 2,0.583194,0.137813,0.313081,0.853306,0.5275,"statistical association, not causal"
North Zone 2,East Zone 1,0.377154,0.094405,0.192121,0.562187,0.5275,"statistical association, not causal"
North Zone 2,North Zone 1,0.43726,0.104331,0.232771,0.64175,0.5275,"statistical association, not causal"
South Zone 1,Central Zone 1,0.061865,0.055865,0.0,0.17136,0.5275,"statistical association, not causal"
South Zone 1,South Zone 2,0.300645,0.116222,0.07285,0.52844,0.5275,"statistical association, not causal"
South Zone 1,West Zone 2,0.000601,0.064783,0.0,0.127577,0.5275,"statistical association, not causal"
South Zone 2,Central Zone 2,0.515633,0.1305,0.259853,0.771412,0.5275,"statistical association, not causal"
South Zone 2,East Zone 1,0.0262,0.07531,0.0,0.173808,0.5275,"statistical association, not causal"
South Zone 2,East Zone 2,0.098887,0.059405,0.0,0.21532,0.5275,"statistical association, not causal"
South Zone 2,South Zone 1,0.203062,0.077599,0.050967,0.355157,0.5275,"statistical association, not causal"
West Zone 1,Central Zone 1,0.349293,0.08293,0.18675,0.511835,0.5275,"statistical association, not causal"
West Zone 1,North Zone 1,0.268775,0.085878,0.100454,0.437097,0.5275,"statistical association, not causal"
West Zone 1,West Zone 2,0.387609,0.096657,0.198161,0.577058,0.5275,"statistical association, not causal"
West Zone 2,South Zone 1,0.086909,0.06259,0.0,0.209586,0.5275,"statistical association, not causal"
West Zone 2,West Zone 1,0.716502,0.136794,0.448385,0.984619,0.5275,"statistical association, not causal"
