source_zone,receiver_zone,alpha,se,ci_lower_95,ci_upper_95
Central Zone 1,Central Zone 2,0.783594,0.184952,0.421088,1.146101
Central Zone 1,North Zone 1,0.342285,0.132321,0.082936,0.601634
Central Zone 1,North Zone 2,0.485152,0.160025,0.171503,0.798801
Central Zone 1,South Zone 1,0.234876,0.089388,0.059675,0.410077
Central Zone 1,West Zone 1,0.421048,0.154032,0.119146,0.722951
Central Zone 2,Central Zone 1,0.342774,0.062492,0.22029,0.465259
Central Zone 2,East Zone 2,0.173137,0.048507,0.078064,0.268211
Central Zone 2,North Zone 2,0.273239,0.071415,0.133265,0.413212
Central Zone 2,South Zone 2,0.178273,0.052163,0.076034,0.280513
East Zone 1,East Zone 2,0.455157,0.122598,0.214866,0.695448
East Zone 1,North Zone 2,0.229731,0.14423,0.0,0.512423
East Zone 1,South Zone 2,0.577942,0.142318,0.298999,0.856886
East Zone 2,Central Zone 2,0.854853,0.213917,0.435575,1.27413
East Zone 2,East Zone 1,0.445942,0.14569,0.160389,0.731494
East Zone 2,South Zone 2,0.347694,0.134827,0.083433,0.611954
North Zone 1,Central Zone 1,0.227626,0.108204,0.015545,0.439706
North Zone 1,North Zone 2,0.487419,0.144709,0.20379,0.771047
North Zone 1,West Zone 1,0.571441,0.150458,0.276543,0.866339
North Zone 2,Central Zone 1,0.21955,0.087031,0.048968,0.390132
North Zone 2,Central Zone 2,0.583193,0.137813,0.313081,0.853306
North Zone 2,East Zone 1,0.377154,0.094405,0.19212,0.562188
North Zone 2,North Zone 1,0.43726,0.104331,0.232771,0.64175
South Zone 1,Central Zone 1,0.061864,0.055865,0.0,0.171359
South Zone 1,South Zone 2,0.300646,0.116223,0.072849,0.528442
South Zone 1,West Zone 2,0.000601,0.064783,0.0,0.127576
South Zone 2,Central Zone 2,0.515632,0.1305,0.259852,0.771412
South Zone 2,East Zone 1,0.0262,0.07531,0.0,0.173808
South Zone 2,East Zone 2,0.09889,0.059406,0.0,0.215326
South Zone 2,South Zone 1,0.203062,0.0776,0.050966,0.355157
West Zone 1,Central Zone 1,0.349295,0.082931,0.186751,0.51184
West Zone 1,North Zone 1,0.268776,0.085879,0.100454,0.437098
West Zone 1,West Zone 2,0.387609,0.096656,0.198163,0.577055
West Zone 2,South Zone 1,0.086909,0.06259,0.0,0.209586
West Zone 2,West Zone 1,0.716502,0.136793,0.448388,0.984616
