event_id,decision_confidence_score,decision_confidence_tier,uncertainty_component,robustness_component,reliability_component,generated_at
FKID004806,0.33110833569800935,High,0.8837618097555069,0.6880040484949375,0.5445576835139977,2026-06-20T01:47:22.857485+00:00
FKID004531,0.3282639026333969,High,0.868795987903868,0.6986795236708991,0.5407883238853544,2026-06-20T01:47:22.857485+00:00
FKID000164,0.28115124034901195,High,0.9153565965021272,0.6828907213210744,0.4497782769188255,2026-06-20T01:47:22.857485+00:00
FKID004711,0.2780125538475188,High,0.9978646400345925,0.6437840266918657,0.4327654454870332,2026-06-20T01:47:22.857485+00:00
FKID001932,0.27555329946303614,High,0.868795987903868,0.675278842047122,0.4696828107947042,2026-06-20T01:47:22.857485+00:00
FKID003235,0.2751046393748701,High,0.8055314032080371,0.6897632840817196,0.4951255813322048,2026-06-20T01:47:22.857485+00:00
FKID001931,0.27312074947069015,High,0.868795987903868,0.6693175650627632,0.4696828107947042,2026-06-20T01:47:22.857485+00:00
FKID000968,0.2685855130094071,High,0.8055314032080371,0.6835458828388872,0.4877894873589212,2026-06-20T01:47:22.857485+00:00
FKID004694,0.265624832413732,High,0.9153565965021272,0.6725722440310071,0.4314588852409345,2026-06-20T01:47:22.857485+00:00
FKID004967,0.2654303013892912,High,0.9153565965021272,0.6793103582988712,0.4268663766454953,2026-06-20T01:47:22.857485+00:00
FKID005137,0.26464530638677347,High,0.9153565965021272,0.6937476000644609,0.4167469082739704,2026-06-20T01:47:22.857485+00:00
FKID001489,0.2637277699676321,High,0.868795987903868,0.6763844153996201,0.4487913351319025,2026-06-20T01:47:22.857485+00:00
FKID004408,0.26286686579707597,High,0.9153565965021272,0.6790515572069142,0.4229049630681059,2026-06-20T01:47:22.857485+00:00
FKID000528,0.26197517446531476,High,0.8055314032080371,0.6700278627808904,0.4853832658299251,2026-06-20T01:47:22.857485+00:00
FKID000842,0.26101003697087544,High,0.8837618097555069,0.6506820533819835,0.4538926491120535,2026-06-20T01:47:22.857485+00:00
FKID005194,0.2594372932382903,High,0.9153565965021272,0.6952947838934367,0.4076365503297062,2026-06-20T01:47:22.857485+00:00
FKID001646,0.25306262748017944,High,0.9153565965021272,0.68147331536248,0.4056848994611063,2026-06-20T01:47:22.857485+00:00
FKID003103,0.2511979557637144,Moderate,0.9153565965021272,0.6646987745829482,0.4128581926726906,2026-06-20T01:47:22.857485+00:00
FKID000129,0.2496802033207211,Moderate,0.8837618097555069,0.6489802537919833,0.4353287963476898,2026-06-20T01:47:22.857485+00:00
FKID007137,0.24454910779517983,Moderate,0.868795987903868,0.6550900509162499,0.4296821102914695,2026-06-20T01:47:22.857485+00:00
FKID004519,0.2436622244922938,Moderate,0.7063653531124512,0.697549590099694,0.4945198487529509,2026-06-20T01:47:22.857485+00:00
FKID004401,0.23954514351097614,Moderate,0.7063653531124512,0.6917314958749643,0.4902531930496151,2026-06-20T01:47:22.857485+00:00
FKID003911,0.23739472606142367,Moderate,0.9153565965021272,0.6196003610207792,0.4185709547529487,2026-06-20T01:47:22.857485+00:00
FKID001133,0.23606225500835606,Moderate,0.9153565965021272,0.6543371025232864,0.3941256402551067,2026-06-20T01:47:22.857485+00:00
FKID000923,0.23518881216309762,Moderate,0.9153565965021272,0.6397455898466224,0.4016234313853387,2026-06-20T01:47:22.857485+00:00
FKID007189,0.23255089097572454,Moderate,0.8055314032080371,0.6496417004311966,0.4443872985860647,2026-06-20T01:47:22.857485+00:00
FKID005079,0.22975168711354393,Moderate,0.7063653531124512,0.6962510139836364,0.4671576653580221,2026-06-20T01:47:22.857485+00:00
FKID005244,0.22912713079186203,Moderate,0.868795987903868,0.6893124681097379,0.3825978948523327,2026-06-20T01:47:22.857485+00:00
FKID005996,0.22781452382878978,Moderate,0.8055314032080371,0.6752215159679494,0.4188443483262486,2026-06-20T01:47:22.857485+00:00
FKID003897,0.22261923156150537,Moderate,0.8216684297225985,0.6914644886976131,0.3918286586460587,2026-06-20T01:47:22.857485+00:00
FKID004125,0.2144973037900846,Moderate,0.8837618097555069,0.6063792592027212,0.4002600718973374,2026-06-20T01:47:22.857485+00:00
FKID000022,0.21110584231201446,Moderate,0.9153565965021272,0.5660702633577196,0.4074174212838157,2026-06-20T01:47:22.857485+00:00
FKID001693,0.21061469977579436,Moderate,0.8837618097555069,0.5956956357153499,0.4000635926457191,2026-06-20T01:47:22.857485+00:00
FKID006514,0.20023470086369646,Moderate,0.8055314032080371,0.601139323035551,0.4135059181148774,2026-06-20T01:47:22.857485+00:00
FKID007660,0.18974413462475234,Low,0.868795987903868,0.5172991568728181,0.4221908168014643,2026-06-20T01:47:22.857485+00:00
FKID001592,0.1848869791100851,Low,0.9153565965021272,0.6709886318385415,0.3010238103000637,2026-06-20T01:47:22.857485+00:00
FKID000316,0.18453935067702665,Low,0.9153565965021272,0.5720551373043192,0.3524201911652639,2026-06-20T01:47:22.857485+00:00
FKID006361,0.17877701586810563,Low,0.8837618097555069,0.5835798450499413,0.3466379990473955,2026-06-20T01:47:22.857485+00:00
FKID005593,0.17704823583867196,Low,0.5860289228536903,0.6833205318591065,0.4421280641843303,2026-06-20T01:47:22.857485+00:00
FKID004492,0.16386716447179794,Low,0.9153565965021272,0.6826415338933803,0.2622460253795743,2026-06-20T01:47:22.857485+00:00
FKID000346,0.1628955619298823,Low,0.5860289228536903,0.6455097531394642,0.4306132539693831,2026-06-20T01:47:22.857485+00:00
FKID006015,0.1628011367640383,Low,0.9153565965021272,0.5883711828589915,0.3022843920176766,2026-06-20T01:47:22.857485+00:00
FKID000002,0.15732426736906555,Low,0.8837618097555069,0.6709110911334648,0.2653355958091057,2026-06-20T01:47:22.857485+00:00
FKID006955,0.1535936208280041,Low,0.8837618097555069,0.4586234803915355,0.3789497828116754,2026-06-20T01:47:22.857485+00:00
FKID004829,0.15024093559542634,Low,0.7063653531124512,0.6387857868281211,0.3329688804415179,2026-06-20T01:47:22.857485+00:00
FKID000944,0.1346470091390943,Low,0.5860289228536903,0.6090335979003525,0.3772562198837524,2026-06-20T01:47:22.857485+00:00
FKID001125,0.1325585031189086,Low,0.5860289228536903,0.5675112362679648,0.3985786904659371,2026-06-20T01:47:22.857485+00:00
FKID006340,0.12636919456554288,Low,0.8837618097555069,0.3937542091984826,0.3631455926852346,2026-06-20T01:47:22.857485+00:00
FKID008103,0.12514548431326056,Low,0.5860289228536903,0.5056611060946288,0.4223150730800641,2026-06-20T01:47:22.857485+00:00
FKID001288,0.12269031561536309,Low,0.5860289228536903,0.552285450172459,0.3790771710749153,2026-06-20T01:47:22.857485+00:00
