event_id,operational_risk_score,active_operational_tier,decision_confidence_score,allocated_resources,diversion_status,alert_state,override_state,robustness_score,generated_at
FKID006340,35.740639,Emergency,0.126369,officers=2;barricades=2;tow=0;qru=0,disabled,none,OVR-0001:approved,0.393754,2026-06-20T01:47:22.884503+00:00
FKID006955,34.981345,Emergency,0.153594,officers=2;barricades=2;tow=0;qru=0,enabled,P1 (1),OVR-0004:executed,0.458623,2026-06-20T01:47:22.884503+00:00
FKID007660,34.286335,Emergency,0.189744,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0007:proposed,0.517299,2026-06-20T01:47:22.884503+00:00
FKID008103,32.778419,Emergency,0.125145,officers=2;barricades=2;tow=0;qru=0,disabled,none,OVR-0005:proposed,0.505661,2026-06-20T01:47:22.884503+00:00
FKID000022,32.531873,Emergency,0.211106,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0010:proposed,0.56607,2026-06-20T01:47:22.884503+00:00
FKID001288,32.136053,Emergency,0.12269,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0002:approved,0.552285,2026-06-20T01:47:22.884503+00:00
FKID001125,31.919492,Critical,0.132559,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0011:proposed,0.567511,2026-06-20T01:47:22.884503+00:00
FKID006361,31.697195,Critical,0.178777,officers=3;barricades=2;tow=1;qru=1,enabled,none,none,0.58358,2026-06-20T01:47:22.884503+00:00
FKID004125,31.59784,Critical,0.214497,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0006:proposed,0.606379,2026-06-20T01:47:22.884503+00:00
FKID001693,31.080903,Critical,0.210615,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0003:approved,0.595696,2026-06-20T01:47:22.884503+00:00
FKID000944,31.064469,Critical,0.134647,officers=3;barricades=2;tow=1;qru=1,disabled,none,none,0.609034,2026-06-20T01:47:22.884503+00:00
FKID000316,31.038006,Critical,0.184539,officers=3;barricades=2;tow=1;qru=1,enabled,none,OVR-0013:proposed,0.572055,2026-06-20T01:47:22.884503+00:00
FKID006514,30.847533,Critical,0.200235,officers=3;barricades=2;tow=1;qru=1,enabled,none,none,0.601139,2026-06-20T01:47:22.884503+00:00
FKID006015,30.753233,Critical,0.162801,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.588371,2026-06-20T01:47:22.884503+00:00
FKID000842,30.685584,Critical,0.26101,officers=3;barricades=2;tow=1;qru=0,disabled,none,none,0.650682,2026-06-20T01:47:22.884503+00:00
FKID000129,30.674098,Critical,0.24968,officers=3;barricades=2;tow=1;qru=0,disabled,none,none,0.64898,2026-06-20T01:47:22.884503+00:00
FKID003911,30.479157,Elevated,0.237395,officers=3;barricades=2;tow=1;qru=0,disabled,none,OVR-0014:expired,0.6196,2026-06-20T01:47:22.884503+00:00
FKID000528,30.366403,Elevated,0.261975,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.670028,2026-06-20T01:47:22.884503+00:00
FKID000923,30.344439,Elevated,0.235189,officers=3;barricades=2;tow=1;qru=0,disabled,none,none,0.639746,2026-06-20T01:47:22.884503+00:00
FKID007189,30.219956,Elevated,0.232551,officers=3;barricades=2;tow=1;qru=0,disabled,none,none,0.649642,2026-06-20T01:47:22.884503+00:00
FKID001133,30.139259,Elevated,0.236062,officers=3;barricades=2;tow=0;qru=0,disabled,none,none,0.654337,2026-06-20T01:47:22.884503+00:00
FKID004711,30.044951,Elevated,0.278013,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.643784,2026-06-20T01:47:22.884503+00:00
FKID004806,30.043729,Elevated,0.331108,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.688004,2026-06-20T01:47:22.884503+00:00
FKID007137,29.70952,Elevated,0.244549,officers=3;barricades=2;tow=0;qru=0,disabled,none,none,0.65509,2026-06-20T01:47:22.884503+00:00
FKID005996,29.638493,Elevated,0.227815,officers=3;barricades=2;tow=0;qru=0,disabled,none,none,0.675222,2026-06-20T01:47:22.884503+00:00
FKID000968,29.576507,Elevated,0.268586,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.683546,2026-06-20T01:47:22.884503+00:00
FKID001931,29.234633,Elevated,0.273121,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.669318,2026-06-20T01:47:22.884503+00:00
FKID001932,29.103666,Elevated,0.275553,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.675279,2026-06-20T01:47:22.884503+00:00
FKID003103,29.076906,Elevated,0.251198,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.664699,2026-06-20T01:47:22.884503+00:00
FKID001646,29.053323,Elevated,0.253063,officers=3;barricades=2;tow=0;qru=0,disabled,none,none,0.681473,2026-06-20T01:47:22.884503+00:00
FKID004531,29.006438,Elevated,0.328264,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.69868,2026-06-20T01:47:22.884503+00:00
FKID000164,28.957728,Normal,0.281151,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.682891,2026-06-20T01:47:22.884503+00:00
FKID005593,28.900379,Normal,0.177048,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.683321,2026-06-20T01:47:22.884503+00:00
FKID004694,28.762732,Normal,0.265625,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.672572,2026-06-20T01:47:22.884503+00:00
FKID003235,28.684306,Normal,0.275105,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.689763,2026-06-20T01:47:22.884503+00:00
FKID005137,28.632778,Normal,0.264645,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.693748,2026-06-20T01:47:22.884503+00:00
FKID001489,28.576446,Normal,0.263728,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.676384,2026-06-20T01:47:22.884503+00:00
FKID004408,28.558543,Normal,0.262867,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.679052,2026-06-20T01:47:22.884503+00:00
FKID004829,28.47758,Normal,0.150241,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.638786,2026-06-20T01:47:22.884503+00:00
FKID005079,28.315074,Normal,0.229752,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.696251,2026-06-20T01:47:22.884503+00:00
FKID001592,28.310931,Normal,0.184887,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.670989,2026-06-20T01:47:22.884503+00:00
FKID000346,28.255334,Normal,0.162896,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.64551,2026-06-20T01:47:22.884503+00:00
FKID004519,28.177116,Normal,0.243662,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.69755,2026-06-20T01:47:22.884503+00:00
FKID003897,28.155998,Normal,0.222619,officers=3;barricades=2;tow=0;qru=0,disabled,none,none,0.691464,2026-06-20T01:47:22.884503+00:00
FKID004967,27.998139,Normal,0.26543,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.67931,2026-06-20T01:47:22.884503+00:00
FKID005194,27.86084,Normal,0.259437,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.695295,2026-06-20T01:47:22.884503+00:00
FKID004492,27.055139,Normal,0.163867,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.682642,2026-06-20T01:47:22.884503+00:00
FKID005244,26.871627,Normal,0.229127,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.689312,2026-06-20T01:47:22.884503+00:00
FKID004401,25.759671,Normal,0.239545,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.691731,2026-06-20T01:47:22.884503+00:00
FKID000002,24.194199,Normal,0.157324,officers=2;barricades=2;tow=0;qru=0,disabled,none,none,0.670911,2026-06-20T01:47:22.884503+00:00
