event_id,escalation_risk,escalation_tier,incident_intensity,queue_growth_30min,capacity_utilization,alert_density,generated_at
FKID006340,0.2102,LOW,0.2966,0.0019,0.4236,0.0,2026-06-20T02:27:28.192130+00:00
FKID006955,0.2148,LOW,0.1222,0.0019,0.4864,0.3333,2026-06-20T02:27:28.192130+00:00
FKID007660,0.1973,LOW,0.2775,0.0009,0.3997,0.0,2026-06-20T02:27:28.192130+00:00
FKID008103,0.3428,MEDIUM,0.5861,0.0022,0.5483,0.0,2026-06-20T02:27:28.192130+00:00
FKID000022,0.2197,LOW,0.1298,0.0018,0.6952,0.0,2026-06-20T02:27:28.192130+00:00
FKID001288,0.2774,MEDIUM,0.4929,0.0015,0.4181,0.0,2026-06-20T02:27:28.192130+00:00
FKID001125,0.1893,LOW,0.158,0.002,0.5339,0.0,2026-06-20T02:27:28.192130+00:00
FKID006361,0.161,LOW,0.1028,0.0019,0.498,0.0,2026-06-20T02:27:28.192130+00:00
FKID004125,0.2037,LOW,0.1726,0.0023,0.571,0.0,2026-06-20T02:27:28.192130+00:00
FKID001693,0.2298,LOW,0.2288,0.0016,0.5973,0.0,2026-06-20T02:27:28.192130+00:00
FKID000944,0.1178,LOW,0.1918,0.0005,0.2022,0.0,2026-06-20T02:27:28.192130+00:00
FKID000316,0.0476,LOW,0.054,0.0,0.115,0.0,2026-06-20T02:27:28.192130+00:00
FKID006514,0.2083,LOW,0.1381,0.0017,0.6382,0.0,2026-06-20T02:27:28.192130+00:00
FKID006015,0.1354,LOW,0.1514,0.0016,0.3282,0.0,2026-06-20T02:27:28.192130+00:00
FKID000842,0.191,LOW,0.1761,0.0026,0.5147,0.0,2026-06-20T02:27:28.192130+00:00
FKID000129,0.2356,LOW,0.394,0.0013,0.3893,0.0,2026-06-20T02:27:28.192130+00:00
FKID003911,0.2272,LOW,0.3795,0.0016,0.3758,0.0,2026-06-20T02:27:28.192130+00:00
FKID000528,0.1708,LOW,0.2165,0.0019,0.378,0.0,2026-06-20T02:27:28.192130+00:00
FKID000923,0.1851,LOW,0.3056,0.001,0.3118,0.0,2026-06-20T02:27:28.192130+00:00
FKID007189,0.1084,LOW,0.0354,0.002,0.382,0.0,2026-06-20T02:27:28.192130+00:00
FKID001133,0.1082,LOW,0.1359,0.0014,0.2411,0.0,2026-06-20T02:27:28.192130+00:00
FKID004711,0.3139,MEDIUM,0.512,0.0015,0.5373,0.0,2026-06-20T02:27:28.192130+00:00
FKID004806,0.056,LOW,0.0216,0.0005,0.1931,0.0,2026-06-20T02:27:28.192130+00:00
FKID007137,0.1654,LOW,0.268,0.0015,0.2849,0.0,2026-06-20T02:27:28.192130+00:00
FKID005996,0.1201,LOW,0.1326,0.0009,0.2938,0.0,2026-06-20T02:27:28.192130+00:00
FKID000968,0.2842,MEDIUM,0.3678,0.0012,0.6208,0.0,2026-06-20T02:27:28.192130+00:00
FKID001931,0.2003,LOW,0.3499,0.001,0.3104,0.0,2026-06-20T02:27:28.192130+00:00
FKID001932,0.1765,LOW,0.2413,0.0019,0.3665,0.0,2026-06-20T02:27:28.192130+00:00
FKID003103,0.2976,MEDIUM,0.3994,0.002,0.6291,0.0,2026-06-20T02:27:28.192130+00:00
FKID001646,0.2365,LOW,0.3478,0.0011,0.458,0.0,2026-06-20T02:27:28.192130+00:00
FKID004531,0.287,MEDIUM,0.4159,0.0015,0.5644,0.0,2026-06-20T02:27:28.192130+00:00
FKID000164,0.1802,LOW,0.294,0.0007,0.3087,0.0,2026-06-20T02:27:28.192130+00:00
FKID005593,0.1622,LOW,0.2614,0.0014,0.2815,0.0,2026-06-20T02:27:28.192130+00:00
FKID004694,0.1104,LOW,0.1334,0.0008,0.254,0.0,2026-06-20T02:27:28.192130+00:00
FKID003235,0.32,MEDIUM,0.5364,0.0016,0.5273,0.0,2026-06-20T02:27:28.192130+00:00
FKID005137,0.2466,LOW,0.4234,0.0015,0.3922,0.0,2026-06-20T02:27:28.192130+00:00
FKID001489,0.137,LOW,0.1707,0.0016,0.3076,0.0,2026-06-20T02:27:28.192130+00:00
FKID004408,0.1016,LOW,0.0622,0.0014,0.3178,0.0,2026-06-20T02:27:28.192130+00:00
FKID004829,0.1281,LOW,0.1729,0.0011,0.2691,0.0,2026-06-20T02:27:28.192130+00:00
FKID005079,0.2331,LOW,0.343,0.0018,0.4503,0.0,2026-06-20T02:27:28.192130+00:00
FKID001592,0.2427,LOW,0.4191,0.0009,0.3829,0.0,2026-06-20T02:27:28.192130+00:00
FKID000346,0.2235,LOW,0.2923,0.0014,0.4836,0.0,2026-06-20T02:27:28.192130+00:00
FKID004519,0.0759,LOW,0.008,0.0014,0.2907,0.0,2026-06-20T02:27:28.192130+00:00
FKID003897,0.1888,LOW,0.2983,0.0016,0.3359,0.0,2026-06-20T02:27:28.192130+00:00
FKID004967,0.1848,LOW,0.0078,0.0014,0.7269,0.0,2026-06-20T02:27:28.192130+00:00
FKID005194,0.2564,MEDIUM,0.4517,0.0009,0.3924,0.0,2026-06-20T02:27:28.192130+00:00
FKID004492,0.0895,LOW,0.0576,0.0013,0.2762,0.0,2026-06-20T02:27:28.192130+00:00
FKID005244,0.2784,MEDIUM,0.5304,0.0003,0.3709,0.0,2026-06-20T02:27:28.192130+00:00
FKID004401,0.1846,LOW,0.2405,0.0014,0.4002,0.0,2026-06-20T02:27:28.192130+00:00
FKID000002,0.1617,LOW,0.1915,0.0014,0.3774,0.0,2026-06-20T02:27:28.192130+00:00
