grid_time_utc,zone,horizon_h,prob_bin_hawkes,D_hat_norm,SSC_norm,ERI_base,ERI,ERI_ci_lo,ERI_ci_hi,SSC_adjustment,local_activity_contribution,spillover_contribution,Y_bin_actual,Y_count_actual,count_forecast,ci_note
2024-01-01T00:00:00+00:00,Central Zone 1,3,0.187302,0.05,0.915985,0.009365,0.017943,0.0,0.059542,0.008578,0.009365,0.008578,0,0,0.2538,
2024-01-01T01:00:00+00:00,Central Zone 1,3,0.187302,0.05,0.915985,0.009365,0.017943,0.0,0.059542,0.008578,0.009365,0.008578,0,0,0.2396,
2024-01-01T02:00:00+00:00,Central Zone 1,3,0.233962,0.05,0.915985,0.011698,0.022413,0.0,0.064012,0.010715,0.011698,0.010715,0,0,0.3044,
2024-01-01T03:00:00+00:00,Central Zone 1,3,0.233962,0.05,0.915985,0.011698,0.022413,0.0,0.064012,0.010715,0.011698,0.010715,0,0,0.339,
2024-01-01T04:00:00+00:00,Central Zone 1,3,0.233962,0.05,0.915985,0.011698,0.022413,0.0,0.064012,0.010715,0.011698,0.010715,1,1,0.3457,
2024-01-01T05:00:00+00:00,Central Zone 1,3,0.196911,0.05,0.915985,0.009846,0.018864,0.0,0.060463,0.009018,0.009846,0.009018,1,1,0.2663,
2024-01-01T06:00:00+00:00,Central Zone 1,3,0.142857,0.05,0.915985,0.007143,0.013686,0.0,0.055285,0.006543,0.007143,0.006543,1,1,0.1494,
2024-01-01T07:00:00+00:00,Central Zone 1,3,0.233962,0.05,0.915985,0.011698,0.022413,0.0,0.064012,0.010715,0.011698,0.010715,0,0,0.2963,
2024-01-01T08:00:00+00:00,Central Zone 1,3,0.132632,0.05,0.915985,0.006632,0.012706,0.0,0.054305,0.006074,0.006632,0.006074,0,0,0.1588,
2024-01-01T09:00:00+00:00,Central Zone 1,3,0.051345,0.05,0.915985,0.002567,0.004919,0.0,0.046518,0.002352,0.002567,0.002352,0,0,0.0587,
2024-01-01T10:00:00+00:00,Central Zone 1,3,0.016518,0.05,0.915985,0.000826,0.001582,0.0,0.043181,0.000757,0.000826,0.000757,0,0,0.0187,
2024-01-01T11:00:00+00:00,Central Zone 1,3,0.016032,0.05,0.915985,0.000802,0.001536,0.0,0.043135,0.000734,0.000802,0.000734,0,0,0.0177,
2024-01-01T12:00:00+00:00,Central Zone 1,3,0.015385,0.05,0.915985,0.000769,0.001474,0.0,0.043073,0.000705,0.000769,0.000705,0,0,0.0177,
2024-01-01T13:00:00+00:00,Central Zone 1,3,0.0,0.05,0.915985,0.0,0.0,0.0,0.041599,0.0,0.0,0.0,0,0,0.0,
2024-01-01T14:00:00+00:00,Central Zone 1,3,0.005089,0.05,0.915985,0.000254,0.000488,0.0,0.042086,0.000233,0.000254,0.000233,0,0,0.0086,
2024-01-01T15:00:00+00:00,Central Zone 1,3,0.0,0.05,0.915985,0.0,0.0,0.0,0.041599,0.0,0.0,0.0,0,0,0.0,
2024-01-01T16:00:00+00:00,Central Zone 1,3,0.040773,0.05,0.915985,0.002039,0.003906,0.0,0.045505,0.001867,0.002039,0.001867,0,0,0.0582,
2024-01-01T17:00:00+00:00,Central Zone 1,3,0.317972,0.05,0.915985,0.015899,0.030461,0.0,0.07206,0.014563,0.015899,0.014563,0,0,0.4677,
2024-01-01T18:00:00+00:00,Central Zone 1,3,0.504537,0.05,0.915985,0.025227,0.048334,0.006735,0.089933,0.023107,0.025227,0.023107,0,0,0.7605,
2024-01-01T19:00:00+00:00,Central Zone 1,3,0.572917,0.05,0.915985,0.028646,0.054885,0.013286,0.096484,0.026239,0.028646,0.026239,0,0,0.8754,
2024-01-01T20:00:00+00:00,Central Zone 1,3,0.728916,0.05,0.915985,0.036446,0.06983,0.028231,0.111429,0.033384,0.036446,0.033384,0,0,1.2834,
