grid_time_utc,zone,risk_score,confidence,persistence_class,Slope_z,recommended_action,action_label,ERI_3h,ERI_6h,ERI_9h,prob_bin_hawkes_3h,SSC_norm,south_zone_2_note
2024-01-01T16:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.586),escalating,1.1179,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0739,1.0201,1.1918,0.0484,0.5282,
2024-01-03T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.578),escalating,1.1683,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0235,0.8043,1.1918,0.0154,0.5282,
2024-01-04T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
2024-01-04T16:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.589),escalating,1.1019,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0899,1.0201,1.1918,0.0588,0.5282,
2024-01-05T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
2024-01-08T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
2024-01-08T16:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.587),escalating,1.1133,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0785,1.0201,1.1918,0.0513,0.5282,
2024-01-09T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.578),escalating,1.1683,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0235,0.8043,1.1918,0.0154,0.5282,
2024-01-10T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.578),escalating,1.1673,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.9038,1.1918,0.016,0.5282,
2024-01-11T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
2024-01-15T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
