event_id,recommended_action,action_type,reason,expected_benefit,confidence,resource_requirement,risk_if_ignored,approval_required,information_only,feasible,resource_constrained,operator_priority_score,operator_priority_tier,generated_at,approval_status
FKID001125,QUEUE_RELIEF,traffic,"Forecast queue 233 m and capacity utilization 0.53 at this site (spillover load 6.11). QUEUE_RELIEF is expected to reduce queue by 15% (35 m) and travel time by 24.0 min, lowering escalation risk from 0.19 to 0.15.",0.645498,0.5614,none,LOW — conditions stable; deferral has limited downside.,True,False,True,False,0.533431,CRITICAL,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID000968,DISPATCH_TOW,resource,"Forecast queue 149 m and capacity utilization 0.62 at this site (spillover load 5.03). DISPATCH_TOW is expected to reduce queue by 21% (31 m) and travel time by 12.3 min, lowering escalation risk from 0.28 to 0.19.",0.585958,0.5879,tow:1,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,True,False,0.527146,CRITICAL,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID003235,DISPATCH_TOW,resource,"Forecast queue 207 m and capacity utilization 0.53 at this site (spillover load 4.77). DISPATCH_TOW is expected to reduce queue by 25% (51 m) and travel time by 14.4 min, lowering escalation risk from 0.32 to 0.20.",0.8246,0.5238,tow:1,HIGH — escalation/capacity elevated; queue and spillover likely to grow.,True,False,True,False,0.510257,CRITICAL,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID000842,ACTIVATE_DIVERSION,traffic,"Forecast queue 307 m and capacity utilization 0.51 at this site (spillover load 5.88). ACTIVATE_DIVERSION is expected to reduce queue by 16% (50 m) and travel time by 33.2 min, lowering escalation risk from 0.19 to 0.14.",0.89025,0.5934,none,LOW — conditions stable; deferral has limited downside.,True,False,True,False,0.50948,CRITICAL,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID001693,QUEUE_RELIEF,traffic,"Forecast queue 190 m and capacity utilization 0.60 at this site (spillover load 5.11). QUEUE_RELIEF is expected to reduce queue by 15% (28 m) and travel time by 23.2 min, lowering escalation risk from 0.23 to 0.18.",0.591434,0.5667,none,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,True,False,0.50859,CRITICAL,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID001646,QUEUE_RELIEF,traffic,"Forecast queue 135 m and capacity utilization 0.46 at this site (spillover load 5.74). QUEUE_RELIEF is expected to reduce queue by 15% (20 m) and travel time by 26.4 min, lowering escalation risk from 0.24 to 0.19.",0.558812,0.5918,none,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,True,False,0.508026,CRITICAL,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID006955,QUEUE_RELIEF,traffic,"Forecast queue 202 m and capacity utilization 0.49 at this site (spillover load 5.59). QUEUE_RELIEF is expected to reduce queue by 15% (30 m) and travel time by 20.9 min, lowering escalation risk from 0.21 to 0.17.",0.577534,0.5877,none,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,True,False,0.495615,HIGH,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID003911,DISPATCH_TOW,resource,"Forecast queue 189 m and capacity utilization 0.38 at this site (spillover load 6.06). DISPATCH_TOW is expected to reduce queue by 21% (40 m) and travel time by 10.4 min, lowering escalation risk from 0.23 to 0.14.",0.62323,0.5898,tow:1,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,True,False,0.494944,HIGH,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID001932,QUEUE_RELIEF,traffic,"Forecast queue 233 m and capacity utilization 0.37 at this site (spillover load 6.32). QUEUE_RELIEF is expected to reduce queue by 15% (35 m) and travel time by 24.0 min, lowering escalation risk from 0.18 to 0.13.",0.643173,0.5692,none,LOW — conditions stable; deferral has limited downside.,True,False,True,False,0.493786,HIGH,2026-06-20T02:47:06.160690+00:00,pending_approval
FKID001931,QUEUE_RELIEF,traffic,"Forecast queue 121 m and capacity utilization 0.31 at this site (spillover load 6.32). QUEUE_RELIEF is expected to reduce queue by 15% (18 m) and travel time by 18.5 min, lowering escalation risk from 0.20 to 0.16.",0.446158,0.5928,none,MODERATE — conditions degrading; monitor and pre-position resources.,True,False,True,False,0.484725,HIGH,2026-06-20T02:47:06.160690+00:00,pending_approval
