event_id,escalation_risk,capacity_utilization,spillover_norm,topology_centrality_norm,forecast_uncertainty,operator_priority_score,operator_priority_tier,generated_at
FKID000002,0.1617,0.3774,0.82887,0.822596,0.4304416666666667,0.442023,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID000022,0.2197,0.6952,0.588916,0.595513,0.40998333333333337,0.469028,HIGH,2026-06-20T02:47:06.160690+00:00
FKID000129,0.2356,0.3893,0.316212,0.320426,0.4351166666666667,0.318582,LOW,2026-06-20T02:47:06.160690+00:00
FKID000164,0.1802,0.3087,0.897699,0.904911,0.43204166666666666,0.45348,HIGH,2026-06-20T02:47:06.160690+00:00
FKID000316,0.0476,0.115,0.948858,0.926169,0.40726666666666667,0.368525,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID000346,0.2235,0.4836,0.183002,0.169495,0.4336833333333333,0.296043,LOW,2026-06-20T02:47:06.160690+00:00
FKID000528,0.1708,0.378,0.610524,0.579492,0.40745833333333337,0.37508,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID000842,0.191,0.5147,0.912832,0.907233,0.40664999999999996,0.50948,CRITICAL,2026-06-20T02:47:06.160690+00:00
FKID000923,0.1851,0.3118,0.801902,0.785706,0.42965833333333336,0.424652,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID000944,0.1178,0.2022,0.795444,0.761321,0.4122416666666666,0.368225,LOW,2026-06-20T02:47:06.160690+00:00
FKID000968,0.2842,0.6208,0.770621,0.771404,0.4121166666666667,0.527146,CRITICAL,2026-06-20T02:47:06.160690+00:00
FKID001125,0.1893,0.5339,0.951696,0.994981,0.4386333333333333,0.533431,CRITICAL,2026-06-20T02:47:06.160690+00:00
FKID001133,0.1082,0.2411,1.0,0.994554,0.4331166666666667,0.440912,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID001288,0.2774,0.4181,0.19664,0.199734,0.4112916666666667,0.302046,LOW,2026-06-20T02:47:06.160690+00:00
FKID001489,0.137,0.3076,0.980095,0.980589,0.43232499999999996,0.46216,HIGH,2026-06-20T02:47:06.160690+00:00
FKID001592,0.2427,0.3829,0.639095,0.593801,0.4120499999999999,0.409074,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID001646,0.2365,0.458,0.889045,0.921214,0.4082083333333334,0.508026,CRITICAL,2026-06-20T02:47:06.160690+00:00
FKID001693,0.2298,0.5973,0.785087,0.784913,0.4332666666666667,0.50859,CRITICAL,2026-06-20T02:47:06.160690+00:00
FKID001931,0.2003,0.3104,0.986815,0.989352,0.40721666666666667,0.484725,HIGH,2026-06-20T02:47:06.160690+00:00
FKID001932,0.1765,0.3665,0.986523,1.0,0.43081666666666674,0.493786,HIGH,2026-06-20T02:47:06.160690+00:00
FKID003103,0.2976,0.6291,0.252189,0.251148,0.4351166666666667,0.380499,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID003235,0.32,0.5273,0.727617,0.732832,0.47624999999999995,0.510257,CRITICAL,2026-06-20T02:47:06.160690+00:00
FKID003897,0.1888,0.3359,0.805878,0.787749,0.42733333333333334,0.432739,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID003911,0.2272,0.3758,0.942712,0.91914,0.41017500000000007,0.494944,HIGH,2026-06-20T02:47:06.160690+00:00
FKID004125,0.2037,0.571,0.641896,0.657992,0.4255,0.450773,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID004401,0.1846,0.4002,0.200335,0.181142,0.47464166666666674,0.270305,LOW,2026-06-20T02:47:06.160690+00:00
FKID004408,0.1016,0.3178,0.470569,0.464815,0.43279999999999996,0.298885,LOW,2026-06-20T02:47:06.160690+00:00
FKID004492,0.0895,0.2762,0.69915,0.685345,0.4568500000000001,0.354425,LOW,2026-06-20T02:47:06.160690+00:00
FKID004519,0.0759,0.2907,0.459406,0.429425,0.43495833333333334,0.27756,LOW,2026-06-20T02:47:06.160690+00:00
FKID004531,0.287,0.5644,0.384979,0.362209,0.41398333333333326,0.396165,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID004694,0.1104,0.254,0.415122,0.379032,0.4112916666666667,0.264197,LOW,2026-06-20T02:47:06.160690+00:00
FKID004711,0.3139,0.5373,0.282468,0.317844,0.4359833333333333,0.376066,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID004806,0.056,0.1931,0.343538,0.326122,0.41231666666666666,0.210426,LOW,2026-06-20T02:47:06.160690+00:00
FKID004829,0.1281,0.2691,0.563254,0.542805,0.4082083333333334,0.319862,LOW,2026-06-20T02:47:06.160690+00:00
FKID004967,0.1848,0.7269,0.451429,0.444293,0.429725,0.424093,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID005079,0.2331,0.4503,0.488718,0.461479,0.4317333333333333,0.381225,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID005137,0.2466,0.3922,0.0,0.0,0.406725,0.225032,LOW,2026-06-20T02:47:06.160690+00:00
FKID005194,0.2564,0.3924,0.424752,0.397153,0.4111,0.353616,LOW,2026-06-20T02:47:06.160690+00:00
FKID005244,0.2784,0.3709,0.207671,0.183328,0.4109333333333334,0.291125,LOW,2026-06-20T02:47:06.160690+00:00
FKID005593,0.1622,0.2815,0.488259,0.47975,0.4549500000000001,0.318267,LOW,2026-06-20T02:47:06.160690+00:00
FKID005996,0.1201,0.2938,0.595023,0.549587,0.43328333333333335,0.332777,LOW,2026-06-20T02:47:06.160690+00:00
FKID006015,0.1354,0.3282,0.987468,0.985132,0.43648333333333333,0.469095,HIGH,2026-06-20T02:47:06.160690+00:00
FKID006340,0.2102,0.4236,0.42106,0.427916,0.4386833333333333,0.350342,LOW,2026-06-20T02:47:06.160690+00:00
FKID006361,0.161,0.498,0.346046,0.332525,0.434975,0.326809,LOW,2026-06-20T02:47:06.160690+00:00
FKID006514,0.2083,0.6382,0.662822,0.665834,0.43204166666666666,0.474807,HIGH,2026-06-20T02:47:06.160690+00:00
FKID006955,0.2148,0.4864,0.864907,0.846263,0.41227500000000006,0.495615,HIGH,2026-06-20T02:47:06.160690+00:00
FKID007137,0.1654,0.2849,0.728976,0.70931,0.47071666666666667,0.392913,MEDIUM,2026-06-20T02:47:06.160690+00:00
FKID007189,0.1084,0.382,0.19357,0.175172,0.433075,0.232979,LOW,2026-06-20T02:47:06.160690+00:00
FKID007660,0.1973,0.3997,0.893176,0.878348,0.43225,0.478675,HIGH,2026-06-20T02:47:06.160690+00:00
FKID008103,0.3428,0.5483,0.383686,0.381271,0.4342166666666666,0.415341,MEDIUM,2026-06-20T02:47:06.160690+00:00
