override_id,event_id,override_type,old_value,new_value,operator_id,timestamp,justification,approval_status,override_source,generated_at
OVR-0001,FKID006340,diversion_enable,0,1,demo_operator,2026-06-19T09:00:00Z,Top-risk emergency site; pre-emptive diversion,approved,demo,2026-06-19T14:51:10.798776+00:00
OVR-0002,FKID001288,increase_resources,police:4,police:8,demo_operator,2026-06-19T09:00:00Z,Raise police presence at critical site,approved,demo,2026-06-19T14:51:10.798776+00:00
OVR-0003,FKID001693,change_service_tier,normal,critical,demo_operator,2026-06-19T09:00:00Z,Escalate tier given rising fragility,approved,demo,2026-06-19T14:51:10.798776+00:00
OVR-0004,FKID006955,acknowledge_alert,active,acknowledged,demo_operator,2026-06-19T09:00:00Z,Chance-constraint violation reviewed by duty officer,executed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0005,FKID008103,increase_resources,tow:1,tow:3,demo_operator,2026-06-19T09:00:00Z,Add tow capacity for breakdown-prone corridor,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0006,FKID004125,decrease_resources,barricades:6,barricades:3,demo_operator,2026-06-19T09:00:00Z,Right-size barricades on stabilized site,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0007,FKID007660,diversion_disable,1,0,demo_operator,2026-06-19T09:00:00Z,Diversion no longer needed; reopen corridor,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0008,FKID006955,suppress_alert,active,suppressed,demo_operator,2026-06-19T09:00:00Z,Request to suppress denied — keep monitoring,rejected,demo,2026-06-19T14:51:10.798776+00:00
OVR-0009,FKID006955,delete_site,1,0,demo_operator,2026-06-19T09:00:00Z,Invalid type demo,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0010,FKID000022,increase_resources,police:4,police:6,demo_operator,2026-06-19T09:00:00Z,,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0011,FKID001125,decrease_resources,police:2,police:-1,demo_operator,2026-06-19T09:00:00Z,Reduce below zero demo,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0012,FKID000000,acknowledge_alert,active,acknowledged,demo_operator,2026-06-19T09:00:00Z,Unknown event demo,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0013,FKID000316,change_service_tier,normal,supreme,demo_operator,2026-06-19T09:00:00Z,Invalid tier demo,proposed,demo,2026-06-19T14:51:10.798776+00:00
OVR-0014,FKID003911,acknowledge_alert,active,acknowledged,demo_operator,2025-01-01T00:00:00Z,Expired override demo,expired,demo,2026-06-19T14:51:10.798776+00:00
