dimension,key,value
meta,request_source,demo
count,total_overrides,14
override_type,acknowledge_alert,3
override_type,change_service_tier,2
override_type,decrease_resources,2
override_type,diversion_disable,1
override_type,diversion_enable,1
override_type,increase_resources,3
override_type,suppress_alert,1
approval_status,approved,3
approval_status,executed,1
approval_status,expired,1
approval_status,proposed,8
approval_status,rejected,1
rate,approval_rate,0.2143
rate,executed_rate,0.0714
rate,rejected_rate,0.0714
safety,invalid_requests,7
impact,high_impact_overrides,1
impact,critical_impact_overrides,0
meta,generated_at,2026-06-20T01:47:21.572095+00:00
