override_id,relative_ois,absolute_ois,impact_level,generated_at
OVR-0001,0.545972,0.274704,Critical,2026-06-20T01:47:21.593060+00:00
OVR-0002,0.489816,0.134452,High,2026-06-20T01:47:21.593060+00:00
OVR-0003,0.266092,0.083718,Moderate,2026-06-20T01:47:21.593060+00:00
OVR-0004,0.125,0.099138,High,2026-06-20T01:47:21.593060+00:00
OVR-0005,0.268792,0.08072,Moderate,2026-06-20T01:47:21.593060+00:00
OVR-0006,0.311771,0.067517,Moderate,2026-06-20T01:47:21.593060+00:00
OVR-0007,0.172041,0.038481,Low,2026-06-20T01:47:21.593060+00:00
OVR-0008,0.345247,0.210519,Critical,2026-06-20T01:47:21.593060+00:00
OVR-0009,0.0,0.0,Low,2026-06-20T01:47:21.593060+00:00
OVR-0010,0.247063,0.067503,Moderate,2026-06-20T01:47:21.593060+00:00
OVR-0011,0.365593,0.100611,High,2026-06-20T01:47:21.593060+00:00
OVR-0012,0.0,0.0,Low,2026-06-20T01:47:21.593060+00:00
OVR-0013,0.0,0.0,Low,2026-06-20T01:47:21.593060+00:00
OVR-0014,0.0,0.0,Low,2026-06-20T01:47:21.593060+00:00
