override_id,event_id,ois,impact_level,delay_proxy,risk_proxy,alert_proxy,generated_at
OVR-0001,FKID006340,0.5459718387614593,High,-548133.0984335963,-5.36109579127013,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0002,FKID001288,0.48981586048241754,Moderate,-191594.25204096737,-12.854421392956821,-0.0,2026-06-20T01:47:21.572095+00:00
OVR-0003,FKID001693,0.26609174234044325,Moderate,-132699.8261026436,-6.216180592267825,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0004,FKID006955,0.125,Low,0.0,0.0,-0.21846699706668124,2026-06-20T01:47:21.572095+00:00
OVR-0005,FKID008103,0.2687921129240411,Moderate,-123732.89263841137,-6.555683790442794,-0.0,2026-06-20T01:47:21.572095+00:00
OVR-0006,FKID004125,0.3117707136565961,Moderate,73541.72712092847,9.479351861127734,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0007,FKID007660,0.17204110520395335,Low,43862.88262848932,5.142950315384127,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0008,FKID006955,0.34524715614265966,Moderate,0.0,3.498134518681438,-0.4369339941333625,2026-06-20T01:47:21.572095+00:00
OVR-0009,FKID006955,0.0,Low,0.0,0.0,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0010,FKID000022,0.24706340513968789,Low,-95797.12602048369,-6.5063746468983865,-0.0,2026-06-20T01:47:21.572095+00:00
OVR-0011,FKID001125,0.3655929344869729,Moderate,143695.68903072554,9.57584756325233,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0012,FKID000000,0.0,Low,0.0,0.0,-0.0,2026-06-20T01:47:21.572095+00:00
OVR-0013,FKID000316,0.0,Low,0.0,0.0,0.0,2026-06-20T01:47:21.572095+00:00
OVR-0014,FKID003911,0.0,Low,0.0,0.0,-0.0,2026-06-20T01:47:21.572095+00:00
