event_id,best_action,best_score,override_action,override_score,regret_if_overridden,generated_at
FKID000002,QUEUE_RELIEF,0.510352,SIGNAL_EXTEND_GREEN,0.417868,0.092484,2026-06-20T02:56:49.483591+00:00
FKID000002,QUEUE_RELIEF,0.510352,SIGNAL_OFFSET_ADJUST,0.298109,0.212243,2026-06-20T02:56:49.483591+00:00
FKID000002,QUEUE_RELIEF,0.510352,VMS_MESSAGE,0.247381,0.262971,2026-06-20T02:56:49.483591+00:00
FKID000002,QUEUE_RELIEF,0.510352,DISPATCH_MARSHAL,0.224406,0.285946,2026-06-20T02:56:49.483591+00:00
FKID000002,QUEUE_RELIEF,0.510352,SIGNAL_REDUCE_GREEN,0.137347,0.373005,2026-06-20T02:56:49.483591+00:00
FKID000002,QUEUE_RELIEF,0.510352,ROADWORK_ALERT,0.123241,0.387111,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,SIGNAL_EXTEND_GREEN,0.452864,0.073891,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,DISPATCH_POLICE,0.359016,0.167739,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,SIGNAL_OFFSET_ADJUST,0.326026,0.200729,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,VMS_MESSAGE,0.25985,0.266905,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,DISPATCH_MARSHAL,0.237394,0.289361,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,SIGNAL_REDUCE_GREEN,0.153862,0.372893,2026-06-20T02:56:49.483591+00:00
FKID000022,QUEUE_RELIEF,0.526755,ROADWORK_ALERT,0.132321,0.394434,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,QUEUE_RELIEF,0.461883,0.012699,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,SIGNAL_EXTEND_GREEN,0.325613,0.148969,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,DISPATCH_POLICE,0.320494,0.154088,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,VMS_MESSAGE,0.240875,0.233707,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,SIGNAL_OFFSET_ADJUST,0.234031,0.240551,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,DISPATCH_MARSHAL,0.208193,0.266389,2026-06-20T02:56:49.483591+00:00
FKID000129,DISPATCH_TOW,0.474582,ROADWORK_ALERT,0.120937,0.353645,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,DISPATCH_TOW,0.289652,0.067067,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,SIGNAL_EXTEND_GREEN,0.286733,0.069986,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,SIGNAL_OFFSET_ADJUST,0.208753,0.147966,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,VMS_MESSAGE,0.208026,0.148693,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,DISPATCH_MARSHAL,0.154314,0.202405,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,ROADWORK_ALERT,0.094364,0.262355,2026-06-20T02:56:49.483591+00:00
FKID000164,QUEUE_RELIEF,0.356719,SIGNAL_REDUCE_GREEN,0.086295,0.270424,2026-06-20T02:56:49.483591+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.222051,VMS_MESSAGE,0.192934,0.029117,2026-06-20T02:56:49.483591+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.222051,DEACTIVATE_DIVERSION,0.125104,0.096947,2026-06-20T02:56:49.483591+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.222051,DISPATCH_MARSHAL,0.10796,0.114091,2026-06-20T02:56:49.483591+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.222051,SIGNAL_REDUCE_GREEN,0.068684,0.153367,2026-06-20T02:56:49.483591+00:00
FKID000316,SIGNAL_OFFSET_ADJUST,0.222051,ROADWORK_ALERT,0.065421,0.15663,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,DISPATCH_TOW,0.458431,0.037267,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,SIGNAL_EXTEND_GREEN,0.37901,0.116688,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,DISPATCH_POLICE,0.340178,0.15552,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,SIGNAL_OFFSET_ADJUST,0.273096,0.222602,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,VMS_MESSAGE,0.253047,0.242651,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,DISPATCH_MARSHAL,0.223346,0.272352,2026-06-20T02:56:49.483591+00:00
FKID000346,QUEUE_RELIEF,0.495698,ROADWORK_ALERT,0.126489,0.369209,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,DISPATCH_TOW,0.48184,0.071229,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,SIGNAL_EXTEND_GREEN,0.44093,0.112139,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,SIGNAL_OFFSET_ADJUST,0.314613,0.238456,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,VMS_MESSAGE,0.263829,0.28924,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,DISPATCH_MARSHAL,0.245555,0.307514,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,SIGNAL_REDUCE_GREEN,0.146901,0.406168,2026-06-20T02:56:49.483591+00:00
FKID000528,QUEUE_RELIEF,0.553069,ROADWORK_ALERT,0.132693,0.420376,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,QUEUE_RELIEF,0.641133,0.099117,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,SIGNAL_EXTEND_GREEN,0.515752,0.224498,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,SIGNAL_OFFSET_ADJUST,0.365025,0.375225,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,DISPATCH_MARSHAL,0.288062,0.452188,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,VMS_MESSAGE,0.285649,0.454601,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,SIGNAL_REDUCE_GREEN,0.179683,0.560567,2026-06-20T02:56:49.483591+00:00
FKID000842,ACTIVATE_DIVERSION,0.74025,ROADWORK_ALERT,0.152326,0.587924,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,DISPATCH_TOW,0.351738,0.050052,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,SIGNAL_EXTEND_GREEN,0.312404,0.089386,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,SIGNAL_OFFSET_ADJUST,0.225741,0.176049,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,VMS_MESSAGE,0.220471,0.181319,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,DISPATCH_MARSHAL,0.175772,0.226018,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,ROADWORK_ALERT,0.103868,0.297922,2026-06-20T02:56:49.483591+00:00
FKID000923,QUEUE_RELIEF,0.40179,SIGNAL_REDUCE_GREEN,0.097603,0.304187,2026-06-20T02:56:49.483591+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,0.25593,VMS_MESSAGE,0.234586,0.021344,2026-06-20T02:56:49.483591+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,0.25593,DISPATCH_MARSHAL,0.16604,0.08989,2026-06-20T02:56:49.483591+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,0.25593,SIGNAL_REDUCE_GREEN,0.096468,0.159462,2026-06-20T02:56:49.483591+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,0.25593,ROADWORK_ALERT,0.094459,0.161471,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,ACTIVATE_DIVERSION,0.43243,0.003528,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,QUEUE_RELIEF,0.419694,0.016264,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,DISPATCH_POLICE,0.306122,0.129836,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,SIGNAL_EXTEND_GREEN,0.304441,0.131517,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,VMS_MESSAGE,0.220568,0.21539,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,SIGNAL_OFFSET_ADJUST,0.218247,0.217711,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,DISPATCH_MARSHAL,0.19139,0.244568,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,ROADWORK_ALERT,0.117359,0.318599,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,SIGNAL_REDUCE_GREEN,0.106354,0.329604,2026-06-20T02:56:49.483591+00:00
FKID000968,DISPATCH_TOW,0.435958,OPERATOR_ESCALATION,0.050472,0.385486,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,SIGNAL_EXTEND_GREEN,0.454531,0.090967,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,SIGNAL_OFFSET_ADJUST,0.324312,0.221186,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,VMS_MESSAGE,0.259164,0.286334,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,DISPATCH_MARSHAL,0.243201,0.302297,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,DEACTIVATE_DIVERSION,0.193691,0.351807,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,SIGNAL_REDUCE_GREEN,0.153911,0.391587,2026-06-20T02:56:49.483591+00:00
FKID001125,QUEUE_RELIEF,0.545498,ROADWORK_ALERT,0.133029,0.412469,2026-06-20T02:56:49.483591+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,0.281521,VMS_MESSAGE,0.227285,0.054236,2026-06-20T02:56:49.483591+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,0.281521,DISPATCH_MARSHAL,0.192693,0.088828,2026-06-20T02:56:49.483591+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,0.281521,SIGNAL_REDUCE_GREEN,0.122087,0.159434,2026-06-20T02:56:49.483591+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,0.281521,ROADWORK_ALERT,0.106287,0.175234,2026-06-20T02:56:49.483591+00:00
FKID001288,DISPATCH_TOW,0.580389,QUEUE_RELIEF,0.52515,0.055239,2026-06-20T02:56:49.483591+00:00
FKID001288,DISPATCH_TOW,0.580389,DISPATCH_POLICE,0.384966,0.195423,2026-06-20T02:56:49.483591+00:00
FKID001288,DISPATCH_TOW,0.580389,SIGNAL_EXTEND_GREEN,0.337511,0.242878,2026-06-20T02:56:49.483591+00:00
