event_id,current_scenario,alternative_scenario,alternative_name,expected_delay_change,expected_risk_change,expected_alert_change,expected_confidence_change,current_simulation_score,alternative_simulation_score,recommendation,generated_at
FKID000002,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-4.8388,-0.0,0.1,0.5,0.455534,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000022,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-41279.167,-23.5768,-0.0,0.4,0.5,0.436202,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000129,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-43293.9106,-19.2763,-0.0,0.4,0.5,0.442241,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000164,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7915,-0.0,0.1,0.5,0.454105,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000316,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-51839.582,-22.4941,-0.0,0.4,0.5,0.435669,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000346,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.6511,-0.0,0.1,0.5,0.454315,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000528,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-6.0733,-0.0,0.1,0.5,0.453682,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000842,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-28592.7244,-19.2835,-0.0,0.4,0.5,0.445234,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000923,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-43810.8878,-19.0692,-0.0,0.4,0.5,0.442446,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000944,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-64850.9427,-22.5133,-0.0,0.4,0.5,0.432982,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID000968,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.9153,-0.0,0.1,0.5,0.453919,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001125,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-56777.8015,-23.133,-0.0,0.4,0.5,0.433702,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001133,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-32727.2086,-15.7594,-0.0,0.4,0.5,0.449675,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001288,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-68259.0513,-23.2899,-0.0,0.4,0.5,0.431121,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001489,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7153,-0.0,0.1,0.5,0.454219,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001592,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.6622,-0.0,0.1,0.5,0.454299,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001646,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-24413.4163,-15.1916,-0.0,0.4,0.5,0.452225,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001693,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-33174.9565,-22.5252,-0.0,0.4,0.5,0.439435,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001931,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.8469,-0.0,0.1,0.5,0.454022,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID001932,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.8207,-0.0,0.1,0.5,0.454061,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID003103,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.8154,-0.0,0.1,0.5,0.454069,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID003235,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7369,-0.0,0.1,0.5,0.454187,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID003897,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-19137.2938,-14.7224,-0.0,0.4,0.5,0.454007,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID003911,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-42275.5921,-19.1538,-0.0,0.4,0.5,0.442633,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004125,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-34873.2649,-22.8999,-0.0,0.4,0.5,0.438526,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004401,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.1519,-0.0,0.1,0.5,0.455064,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004408,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7117,-0.0,0.1,0.5,0.454225,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004492,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.411,-0.0,0.1,0.5,0.454676,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004519,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.6354,-0.0,0.1,0.5,0.454339,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004531,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.8013,-0.0,0.1,0.5,0.45409,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004694,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7525,-0.0,0.1,0.5,0.454163,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004711,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-6.009,-0.0,0.1,0.5,0.453779,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004806,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-6.0087,-0.0,0.1,0.5,0.453779,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004829,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.6955,-0.0,0.1,0.5,0.454249,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID004967,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.5996,-0.0,0.1,0.5,0.454393,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID005079,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.663,-0.0,0.1,0.5,0.454298,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID005137,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7266,-0.0,0.1,0.5,0.454202,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID005194,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.5722,-0.0,0.1,0.5,0.454434,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID005244,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.3743,-0.0,0.1,0.5,0.454731,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID005593,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.7801,-0.0,0.1,0.5,0.454122,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID005996,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-5.9277,-0.0,0.1,0.5,0.453901,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID006015,SCENARIO_0,SCENARIO_3,Resource increase,-157663.5723,-6.1506,-0.0,0.1,0.5,0.453566,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID006340,SCENARIO_0,SCENARIO_5,Operator override plan,-548133.0984,-5.3611,0.0,0.05,0.5,0.39122,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID006361,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-37561.8272,-22.9719,-0.0,0.4,0.5,0.437869,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID006514,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-11180.0694,-22.3561,-0.0,0.4,0.5,0.444182,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID006955,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-190646.5332,-14.9997,-0.4369,0.4,0.5,0.359072,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID007137,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-15252.4701,-15.5347,-0.0,0.4,0.5,0.453582,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID007189,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-17794.476,-18.9909,-0.0,0.4,0.5,0.447879,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID007660,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-21931.4413,-24.8483,-0.0,0.4,0.5,0.438247,prefer_alternative,2026-06-20T01:47:22.892488+00:00
FKID008103,SCENARIO_0,SCENARIO_7,Best-case stabilized state,-128418.7401,-14.0551,-0.0,0.4,0.5,0.432684,prefer_alternative,2026-06-20T01:47:22.892488+00:00
