metric,category,count,total,share,generated_at
ORS_operational_tier,Normal,2098,3498,0.5998,2026-06-20T01:54:47.767790+00:00
ORS_operational_tier,Elevated,700,3498,0.2001,2026-06-20T01:54:47.767790+00:00
ORS_operational_tier,Critical,420,3498,0.1201,2026-06-20T01:54:47.767790+00:00
ORS_operational_tier,Emergency,280,3498,0.08,2026-06-20T01:54:47.767790+00:00
active_operational_tier,Normal,19,50,0.38,2026-06-20T01:54:47.767790+00:00
active_operational_tier,Elevated,15,50,0.3,2026-06-20T01:54:47.767790+00:00
active_operational_tier,Critical,10,50,0.2,2026-06-20T01:54:47.767790+00:00
active_operational_tier,Emergency,6,50,0.12,2026-06-20T01:54:47.767790+00:00
alert_priority,P3,32,73,0.4384,2026-06-20T01:54:47.767790+00:00
alert_priority,P2,16,73,0.2192,2026-06-20T01:54:47.767790+00:00
alert_priority,P4,16,73,0.2192,2026-06-20T01:54:47.767790+00:00
alert_priority,P1,9,73,0.1233,2026-06-20T01:54:47.767790+00:00
tcs_tier,High,17,50,0.34,2026-06-20T01:54:47.767790+00:00
tcs_tier,Moderate,17,50,0.34,2026-06-20T01:54:47.767790+00:00
tcs_tier,Low,16,50,0.32,2026-06-20T01:54:47.767790+00:00
override_impact_level,Low,5,14,0.3571,2026-06-20T01:54:47.767790+00:00
override_impact_level,Moderate,4,14,0.2857,2026-06-20T01:54:47.767790+00:00
override_impact_level,High,3,14,0.2143,2026-06-20T01:54:47.767790+00:00
override_impact_level,Critical,2,14,0.1429,2026-06-20T01:54:47.767790+00:00
decision_confidence_tier,High,17,50,0.34,2026-06-20T01:54:47.767790+00:00
decision_confidence_tier,Moderate,17,50,0.34,2026-06-20T01:54:47.767790+00:00
decision_confidence_tier,Low,16,50,0.32,2026-06-20T01:54:47.767790+00:00
