priority_rank,l7_alert_id,source_feed,original_id,topic_key,severity_raw,severity_unknown,base_severity,corroboration_sources,corroboration_factor,age_hours,recency_factor,alert_severity_raw,alert_severity_score,priority,affected_layer,affected_event_id,description,timestamp,merged_count,generated_at
1,drift_report::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,drift_report,DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,11.945549970555554,0.6079082890491887,0.7933203172091912,0.5509168869508271,P1,Layer4.5,,RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-19T13:50:37.571643+00:00,1,2026-06-20T01:47:21.551537+00:00
2,drift_report::DRIFT_PAGE_HINKLEY_LOG_DURATION,drift_report,DRIFT_PAGE_HINKLEY_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,11.945549970555554,0.6079082890491887,0.7933203172091912,0.5509168869508271,P1,Layer4.5,,RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-19T13:50:37.571643+00:00,1,2026-06-20T01:47:21.551537+00:00
3,active_alerts::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,active_alerts,DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,15.214319871388888,0.5305028256027231,0.6923061874115536,0.4807681857024677,P1,Layer4.5,,RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
4,active_alerts::DRIFT_PAGE_HINKLEY_LOG_DURATION,active_alerts,DRIFT_PAGE_HINKLEY_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,15.214319871388888,0.5305028256027231,0.6923061874115536,0.4807681857024677,P1,Layer4.5,,RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
5,active_alerts::HEALTH_MEAN_SHIFT_ZTEST_LOG_DURATION,active_alerts,HEALTH_MEAN_SHIFT_ZTEST_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,15.214319871388888,0.5305028256027231,0.6923061874115536,0.4807681857024677,P1,drift,,Health metric 'mean_shift_ztest_log_duration' is CRITICAL. Feedback value: 3.2097.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
6,active_alerts::HEALTH_PAGE_HINKLEY_LOG_DURATION,active_alerts,HEALTH_PAGE_HINKLEY_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,15.214319871388888,0.5305028256027231,0.6923061874115536,0.4807681857024677,P1,drift,,Health metric 'page_hinkley_log_duration' is CRITICAL. Feedback value: 326.8316.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
7,retrain_triggers::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,retrain_triggers,DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,15.214319871388888,0.5305028256027231,0.6923061874115536,0.4807681857024677,P1,Layer4.5,,RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
8,retrain_triggers::DRIFT_PAGE_HINKLEY_LOG_DURATION,retrain_triggers,DRIFT_PAGE_HINKLEY_LOG_DURATION,layer4.5::log_duration,critical,False,0.9,3,1.45,15.214319871388888,0.5305028256027231,0.6923061874115536,0.4807681857024677,P1,Layer4.5,,RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
9,cc_violations::CCV_FKID006955,cc_violations,CCV_FKID006955,layer5::event:fkid006955,critical,False,0.9,1,1.15,11.945554838333333,0.6079081657507653,0.6291849515520421,0.43693399413336254,P1,Layer5,FKID006955,Chance-constraint violation: tier=critical realized=0.76 required=0.9 margin=-0.14,2026-06-19T13:50:37.554119+00:00,1,2026-06-20T01:47:21.551537+00:00
10,active_alerts::DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,active_alerts,DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,dur_shift::construction_orr_east_1,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'construction × ORR East 1': posterior_mu shifted +6.766 log-units (15.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
11,active_alerts::DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,active_alerts,DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,dur_shift::others_old_airport_road,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'others × Old Airport Road': posterior_mu shifted -3.610 log-units (5.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
12,active_alerts::DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,active_alerts,DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,dur_shift::others_old_madras_road,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
13,active_alerts::DUR_SHIFT_POT_HOLES_CBD_1,active_alerts,DUR_SHIFT_POT_HOLES_CBD_1,dur_shift::pot_holes_cbd_1,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
14,active_alerts::DUR_SHIFT_POT_HOLES_CBD_2,active_alerts,DUR_SHIFT_POT_HOLES_CBD_2,dur_shift::pot_holes_cbd_2,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'pot_holes × CBD 2': posterior_mu shifted -7.750 log-units (3.6 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
15,retrain_triggers::DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,retrain_triggers,DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,dur_shift::construction_orr_east_1,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'construction × ORR East 1': posterior_mu shifted +6.766 log-units (15.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
16,retrain_triggers::DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,retrain_triggers,DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,dur_shift::others_old_airport_road,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'others × Old Airport Road': posterior_mu shifted -3.610 log-units (5.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
