event_id,duration_sanity_flag,excluded_from_posterior,quality_weight,data_quality_flag,duration_guard_reason,generated_at
FKID005760,0,0,0.8,flagged,p95_clamped,2026-06-20T01:47:22.930010+00:00
FKID005197,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005765,1,1,0.8,flagged,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005767,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005770,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005771,1,1,0.8,flagged,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005198,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005772,1,1,0.8,flagged,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005773,1,1,0.8,flagged,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID004401,0,1,0.6000000000000001,flagged,tail_risk_high,2026-06-20T01:47:22.930010+00:00
FKID005775,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005778,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005199,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005779,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005781,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005200,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005782,0,1,0.6000000000000001,flagged,tail_risk_high,2026-06-20T01:47:22.930010+00:00
FKID004410,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID004406,0,1,0.6000000000000001,flagged,tail_risk_high,2026-06-20T01:47:22.930010+00:00
FKID005786,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005787,1,1,0.8,flagged,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005788,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005201,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005791,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005792,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005795,0,0,0.8,flagged,p95_clamped,2026-06-20T01:47:22.930010+00:00
FKID005807,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005809,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005811,0,0,0.8,flagged,p95_clamped,2026-06-20T01:47:22.930010+00:00
FKID005202,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005812,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
FKID005813,1,0,1.0,ok,sanitized_ok,2026-06-20T01:47:22.930010+00:00
