horizon_h,model,bin_center,mean_predicted_prob,fraction_positive,n_in_bin
3,catboost_calibrated,0.05,0.0327,0.059,1321
3,catboost_calibrated,0.15,0.1538,0.171,573
3,catboost_calibrated,0.25,0.234,0.2904,272
3,catboost_calibrated,0.35,0.3668,0.3695,498
3,catboost_calibrated,0.45,0.4556,0.4222,405
3,catboost_calibrated,0.55,0.5383,0.5279,555
3,catboost_calibrated,0.65,0.6308,0.5714,448
3,catboost_calibrated,0.75,0.7642,0.6752,314
3,catboost_calibrated,0.85,0.8603,0.7826,69
3,catboost_calibrated,0.95,0.9349,0.8507,67
3,catboost_raw,0.05,0.0506,0.0557,1167
3,catboost_raw,0.15,0.1413,0.1399,636
3,catboost_raw,0.25,0.2532,0.2805,385
3,catboost_raw,0.35,0.3499,0.3762,521
3,catboost_raw,0.45,0.4505,0.4247,511
3,catboost_raw,0.55,0.5483,0.5435,598
3,catboost_raw,0.65,0.6445,0.6538,364
3,catboost_raw,0.75,0.748,0.6873,275
3,catboost_raw,0.85,0.8344,0.8592,71
3,catboost_raw,0.95,0.9134,1.0,2
6,catboost_calibrated,0.05,0.0529,0.0972,360
6,catboost_calibrated,0.15,0.1378,0.1786,711
6,catboost_calibrated,0.25,0.2499,0.2846,130
6,catboost_calibrated,0.35,0.3429,0.3449,374
6,catboost_calibrated,0.45,0.4569,0.4728,423
6,catboost_calibrated,0.55,0.5706,0.6062,513
6,catboost_calibrated,0.65,0.6783,0.6572,528
6,catboost_calibrated,0.75,0.7438,0.673,422
6,catboost_calibrated,0.85,0.8528,0.784,824
6,catboost_calibrated,0.95,0.9273,0.9023,215
6,catboost_raw,0.25,0.2871,0.0,44
6,catboost_raw,0.35,0.3876,0.1111,243
6,catboost_raw,0.45,0.4529,0.2835,1640
6,catboost_raw,0.55,0.5432,0.7066,2573
9,catboost_calibrated,0.05,0.0475,0.1652,115
9,catboost_calibrated,0.15,0.1754,0.2881,177
9,catboost_calibrated,0.25,0.2522,0.2632,323
9,catboost_calibrated,0.35,0.3417,0.3759,431
9,catboost_calibrated,0.45,0.4558,0.5174,230
9,catboost_calibrated,0.55,0.5467,0.5623,377
9,catboost_calibrated,0.65,0.6309,0.6484,364
9,catboost_calibrated,0.75,0.7632,0.7694,733
9,catboost_calibrated,0.85,0.8467,0.8357,852
9,catboost_calibrated,0.95,0.9468,0.8802,868
9,catboost_raw,0.05,0.0862,0.0,17
9,catboost_raw,0.15,0.1505,0.125,32
9,catboost_raw,0.25,0.2559,0.2674,86
9,catboost_raw,0.35,0.3565,0.2711,498
9,catboost_raw,0.45,0.4455,0.42,581
9,catboost_raw,0.55,0.5494,0.6051,709
9,catboost_raw,0.65,0.6563,0.7698,1112
9,catboost_raw,0.75,0.7491,0.8592,1435
