event_id,resource_rationale_score,resource_explanation,generated_at
FKID004401,0.0904,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.69; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000002,0.095606,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.67; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004492,0.092673,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001592,0.095586,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.67; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004531,0.088663,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.70; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID005996,0.215361,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID006015,0.232907,"Service tier 'elevated' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.59; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID003897,0.211301,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.69; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004806,0.091332,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.69; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004829,0.103637,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.64; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID005244,0.091005,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.69; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000923,0.23673,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.64; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID006340,0.164895,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.39; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID006361,0.384105,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.58; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID006514,0.379715,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.60; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000316,0.386986,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.57; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID003911,0.241767,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.62; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004711,0.102387,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.64; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001133,0.220582,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.65; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID005079,0.089271,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.70; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
