file,layer,found,row_count,n_columns,schema_version,columns
layer5_resource_allocation.csv,Layer5,True,50,29,19dad4c602,event_id;event_cause;site_weight;officers_allocated;barricades_allocated;tow_trucks_allocated;qru_allocated;diversion_activated;diversion_reason;effectiveness;expected_delay_reduction_min;cvar_contribution;total_cvar;var_level;chance_constraint_satisfaction;required_epsilon;violation_flag;violation_margin;service_tier;robustness_score;is_critical;used_fallback;solver_status;safe_duration_p50;safe_duration_p80;safe_duration_p95;duration_reliability;tail_risk_prob;duration_sanity_flag
layer5_frontend_export.csv,Layer5,True,50,30,a0f38447b6,event_id;event_cause;service_tier;is_critical;officers_allocated;barricades_allocated;tow_trucks_allocated;qru_allocated;diversion_activated;diversion_reason;effectiveness;expected_delay_reduction_min;cvar_contribution;total_cvar;var_level;chance_constraint_satisfaction;required_epsilon;violation_flag;violation_margin;robustness_score;duration_reliability;tail_risk_prob;safe_duration_p50;safe_duration_p80;safe_duration_p95;duration_sanity_flag;solver_status;used_fallback;baseline_cvar;optimized_cvar
layer5_optimization_metrics.csv,Layer5,True,20,2,7f0f46271b,metric;value
layer5_pre_post_cvar_comparison.csv,Layer5,True,5,6,8c9bc458cf,scope;alpha;baseline_cvar;optimized_cvar;absolute_reduction;percentage_reduction
layer5_shadow_prices.csv,Layer5,True,4,7,b42e836a57,resource;base_budget;perturbed_budget;base_objective;perturbed_objective;marginal_value;interpretation
layer5_chance_constraint_violations.csv,Layer5,True,1,7,158204e1eb,event_id;service_tier;required_epsilon;required_prob;realized_satisfaction_rate;violation_margin;violation_flag
layer6_active_alerts.csv,Layer6,True,37,6,76ca0ba9dc,alert_id;source;severity;affected_layer;description;generated_at
layer6_retrain_triggers.csv,Layer6,True,32,12,44f723355f,trigger_id;source_module;signal_type;variable;test;score;threshold;severity;recommendation;affected_layer;action;generated_at
layer6_drift_report.csv,Layer6,True,7,11,610c745449,test;variable;score;threshold;alert;severity;n_alerts;first_alert_idx;detail;recommendation;retrain_urgency
layer6_model_health_summary.csv,Layer6,True,20,8,7fb37c81bf,metric_group;metric;holdout_value;feedback_value;relative_change;status;note;overall_health
layer6_monitoring_diagnostics.csv,Layer6,True,22,5,d2f03e0463,diagnostic_group;metric;value;flag;notes
layer45_operational_state_vector_normalized.csv,Layer4.5,True,3498,60,c67fea2b21,event_id;start_local;event_cause;high_impact_tau_c;duration_pred;duration_p50;duration_p80;duration_p95;duration_ci_lower;duration_ci_upper;high_impact_prob;high_impact_prob_calibrated;retrieval_confidence;novelty_score;novelty_flag;drift_score;drift_flag;trust_score;fragility_signal;obi_signal;ims_proxy;raw_duration_p50;raw_duration_p80;raw_duration_p95;safe_duration_p50;safe_duration_p80;safe_duration_p95;duration_reliability;tail_risk_prob;quantile_crossing_flag;clamp_flag;fallback_blend_flag;tail_risk_flag;duration_sanity_flag;duration_guard_reason;high_impact_decision;high_impact_decision_threshold;duration_pred_z;duration_p50_z;duration_p80_z;duration_p95_z;duration_ci_lower_z;duration_ci_upper_z;high_impact_prob_z;high_impact_prob_calibrated_z;retrieval_confidence_z;novelty_score_z;drift_score_z;trust_score_z;fragility_signal_z;obi_signal_z;ims_proxy_z;raw_duration_p50_z;raw_duration_p80_z;raw_duration_p95_z;safe_duration_p50_z;safe_duration_p80_z;safe_duration_p95_z;duration_reliability_z;tail_risk_prob_z
