event_id,quantity,fused_value,fused_variance,fused_confidence,source_count,consensus_ratio,conflict_score,conflict_flag,fallback_mode,sensor_types_used,sensor_ids_used,generated_at
FKID006340,traffic_speed,43.9167,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID006340,queue_length,196.4895,2261.388709,0.0004,1,1.0,0.0,LOW_CONFLICT,False,LiDAR,S-FKID006340-04,2026-06-20T02:04:02.163587+00:00
FKID006340,travel_time,298.4992,1228.897729,0.0008,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID006340-05,2026-06-20T02:04:02.163587+00:00
FKID006340,incident_indicator,0.2884,0.024494,0.9761,2,0.5,0.15085,MEDIUM_CONFLICT,False,Event Feed;Weather Feed,S-FKID006340-00;S-FKID006340-03,2026-06-20T02:04:02.163587+00:00
FKID006340,lane_availability,0.7731,0.005332,0.9947,3,0.666667,0.340558,HIGH_CONFLICT,False,Event Feed;LiDAR;Roadwork Feed,S-FKID006340-02;S-FKID006340-03;S-FKID006340-04,2026-06-20T02:04:02.163587+00:00
FKID006955,traffic_speed,52.7459,50.641648,0.0194,2,1.0,0.024039,LOW_CONFLICT,False,GPS Probe;Loop Detector,S-FKID006955-00;S-FKID006955-03,2026-06-20T02:04:02.163587+00:00
FKID006955,queue_length,201.4313,1890.250956,0.0005,2,0.5,0.068053,LOW_CONFLICT,False,LiDAR;Loop Detector,S-FKID006955-00;S-FKID006955-04,2026-06-20T02:04:02.163587+00:00
FKID006955,travel_time,209.2563,722.798387,0.0014,2,1.0,0.171249,MEDIUM_CONFLICT,False,Bluetooth Probe;GPS Probe,S-FKID006955-01;S-FKID006955-03,2026-06-20T02:04:02.163587+00:00
FKID006955,incident_indicator,0.1141,0.104716,0.9052,1,1.0,0.0,LOW_CONFLICT,False,Weather Feed,S-FKID006955-02,2026-06-20T02:04:02.163587+00:00
FKID006955,lane_availability,0.5222,0.005903,0.9941,1,1.0,0.0,LOW_CONFLICT,False,LiDAR,S-FKID006955-04,2026-06-20T02:04:02.163587+00:00
FKID007660,traffic_speed,44.5711,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID007660,queue_length,100.88,2949.380888,0.0003,2,0.5,0.008499,LOW_CONFLICT,False,CCTV;LiDAR,S-FKID007660-00;S-FKID007660-03,2026-06-20T02:04:02.163587+00:00
FKID007660,travel_time,281.9625,673.422391,0.0015,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID007660-01,2026-06-20T02:04:02.163587+00:00
FKID007660,incident_indicator,0.2696,0.009599,0.9905,3,0.666667,0.032445,LOW_CONFLICT,False,CCTV;Incident Dispatch Feed;Weather Feed,S-FKID007660-02;S-FKID007660-03;S-FKID007660-05,2026-06-20T02:04:02.163587+00:00
FKID007660,lane_availability,0.6008,0.006641,0.9934,3,0.333333,0.052244,LOW_CONFLICT,False,CCTV;LiDAR;Roadwork Feed,S-FKID007660-00;S-FKID007660-03;S-FKID007660-04,2026-06-20T02:04:02.163587+00:00
FKID008103,traffic_speed,45.2497,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID008103,queue_length,249.7389,2811.801096,0.0004,2,1.0,0.072729,LOW_CONFLICT,False,LiDAR;Signal Controller,S-FKID008103-02;S-FKID008103-05,2026-06-20T02:04:02.163587+00:00
FKID008103,travel_time,203.2004,713.296808,0.0014,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID008103-00,2026-06-20T02:04:02.163587+00:00
FKID008103,incident_indicator,0.5781,0.065444,0.9386,1,1.0,0.0,LOW_CONFLICT,False,Incident Dispatch Feed,S-FKID008103-04,2026-06-20T02:04:02.163587+00:00
FKID008103,lane_availability,0.8296,0.007811,0.9922,2,1.0,0.021,LOW_CONFLICT,False,LiDAR;Signal Controller,S-FKID008103-02;S-FKID008103-05,2026-06-20T02:04:02.163587+00:00
FKID000022,traffic_speed,40.767,36.263509,0.0268,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID000022-02,2026-06-20T02:04:02.163587+00:00
