event_id,traffic_speed,queue_length,travel_time,incident_probability,lane_availability,confidence,uncertainty,source_count,conflict_score,sensor_count,sensor_types_used,sensor_ids_used,fusion_method,quality_flags,fallback_mode,sensor_mode,generated_at
FKID006340,43.917,196.489,298.499,0.2884,0.7731,0.4344,0.5656,5,0.0983,5,Bluetooth Probe;Event Feed;LiDAR;Roadwork Feed;Weather Feed,S-FKID006340-00;S-FKID006340-02;S-FKID006340-03;S-FKID006340-04;S-FKID006340-05,inverse_variance_bayesian,fallback;high_conflict,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID006955,52.746,201.431,209.256,0.1141,0.5222,0.3841,0.6159,5,0.0527,5,Bluetooth Probe;GPS Probe;LiDAR;Loop Detector;Weather Feed,S-FKID006955-00;S-FKID006955-01;S-FKID006955-02;S-FKID006955-03;S-FKID006955-04,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID007660,44.571,100.88,281.962,0.2696,0.6008,0.4371,0.5629,6,0.0186,6,ANPR;CCTV;Incident Dispatch Feed;LiDAR;Roadwork Feed;Weather Feed,S-FKID007660-00;S-FKID007660-01;S-FKID007660-02;S-FKID007660-03;S-FKID007660-04;S-FKID007660-05,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID008103,45.25,249.739,203.2,0.5781,0.8296,0.4265,0.5735,4,0.0187,4,ANPR;Incident Dispatch Feed;LiDAR;Signal Controller,S-FKID008103-00;S-FKID008103-02;S-FKID008103-04;S-FKID008103-05,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000022,40.767,205.349,248.259,0.123,0.4225,0.3983,0.6017,4,0.0625,4,Bluetooth Probe;CCTV;Loop Detector;Weather Feed,S-FKID000022-00;S-FKID000022-01;S-FKID000022-02;S-FKID000022-03,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001288,48.436,166.3,280.355,0.486,0.8328,0.3913,0.6087,5,0.06,5,ANPR;Incident Dispatch Feed;LiDAR;Loop Detector;Weather Feed,S-FKID001288-00;S-FKID001288-01;S-FKID001288-02;S-FKID001288-03;S-FKID001288-04,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001125,37.484,232.498,240.0,0.1498,0.626,0.4383,0.5617,4,0.1076,4,CCTV;LiDAR;Loop Detector;Weather Feed,S-FKID001125-00;S-FKID001125-01;S-FKID001125-02;S-FKID001125-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID006361,45.736,213.591,252.779,0.0948,0.5589,0.4298,0.5702,5,0.0366,5,ANPR;Bluetooth Probe;Event Feed;Signal Controller;Weather Feed,S-FKID006361-00;S-FKID006361-01;S-FKID006361-02;S-FKID006361-03;S-FKID006361-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004125,45.781,266.77,240.0,0.165,0.6015,0.4751,0.5249,3,0.0182,3,Event Feed;Incident Dispatch Feed;Signal Controller,S-FKID004125-00;S-FKID004125-01;S-FKID004125-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001693,45.796,189.864,232.062,0.2209,0.4959,0.4358,0.5642,5,0.0284,5,Bluetooth Probe;Event Feed;GPS Probe;Radar;Roadwork Feed,S-FKID001693-00;S-FKID001693-01;S-FKID001693-02;S-FKID001693-03;S-FKID001693-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
