sensor_id,event_id,sensor_type,quantity,observed_value,sensor_reliability,sensor_obs_variance,sensor_mode,status
S-FKID006340-00,FKID006340,Weather Feed,incident_indicator,0.1212,0.9338,0.05129274,REPLAY,ACTIVE
S-FKID006340-02,FKID006340,Roadwork Feed,lane_availability,0.1251,0.5405,0.09428154,REPLAY,STALE
S-FKID006340-03,FKID006340,Event Feed,incident_indicator,0.4229,0.9352,0.04134106,REPLAY,ACTIVE
S-FKID006340-03,FKID006340,Event Feed,lane_availability,0.9011,0.9352,0.04134106,REPLAY,ACTIVE
S-FKID006340-04,FKID006340,LiDAR,queue_length,196.4895,0.9486,2145.15332964,REPLAY,ACTIVE
S-FKID006340-04,FKID006340,LiDAR,lane_availability,0.7782,0.9486,0.00595876,REPLAY,ACTIVE
S-FKID006340-05,FKID006340,Bluetooth Probe,travel_time,298.4992,0.9519,1169.78774867,REPLAY,ACTIVE
S-FKID006955-00,FKID006955,Loop Detector,traffic_speed,55.0822,0.5189,104.11018783,REPLAY,STALE
S-FKID006955-00,FKID006955,Loop Detector,queue_length,274.0655,0.5189,8870.92724736,REPLAY,STALE
S-FKID006955-01,FKID006955,Bluetooth Probe,travel_time,273.5917,0.7173,2385.62692669,REPLAY,DEGRADED
S-FKID006955-02,FKID006955,Weather Feed,incident_indicator,0.1141,0.7838,0.08207652,REPLAY,SIMULATED
S-FKID006955-03,FKID006955,GPS Probe,traffic_speed,51.9571,0.9415,63.77667516,REPLAY,ACTIVE
S-FKID006955-03,FKID006955,GPS Probe,travel_time,191.392,0.9415,869.47609213,REPLAY,ACTIVE
S-FKID006955-04,FKID006955,LiDAR,queue_length,192.4018,0.9618,2044.05260544,REPLAY,ACTIVE
S-FKID006955-04,FKID006955,LiDAR,lane_availability,0.5222,0.9618,0.00567792,REPLAY,ACTIVE
S-FKID007660-00,FKID007660,LiDAR,queue_length,96.5503,0.758,3885.00396804,REPLAY,DEGRADED
S-FKID007660-00,FKID007660,LiDAR,lane_availability,0.5485,0.758,0.01079168,REPLAY,DEGRADED
S-FKID007660-01,FKID007660,ANPR,travel_time,281.9625,0.9681,651.94021693,REPLAY,ACTIVE
S-FKID007660-02,FKID007660,Weather Feed,incident_indicator,0.2156,0.9528,0.04790233,REPLAY,ACTIVE
S-FKID007660-03,FKID007660,CCTV,queue_length,106.7487,0.9391,6524.01905796,REPLAY,ACTIVE
S-FKID007660-03,FKID007660,CCTV,incident_indicator,0.2777,0.9391,0.01812228,REPLAY,ACTIVE
S-FKID007660-03,FKID007660,CCTV,lane_availability,0.675,0.9391,0.01812228,REPLAY,ACTIVE
S-FKID007660-04,FKID007660,Roadwork Feed,lane_availability,0.595,0.9344,0.03276281,REPLAY,ACTIVE
S-FKID007660-05,FKID007660,Incident Dispatch Feed,incident_indicator,0.2896,0.9345,0.02878282,REPLAY,ACTIVE
S-FKID008103-00,FKID008103,ANPR,travel_time,203.2004,0.956,681.91174863,REPLAY,ACTIVE
S-FKID008103-02,FKID008103,Signal Controller,queue_length,227.4547,0.9465,3573.91143684,REPLAY,ACTIVE
S-FKID008103-02,FKID008103,Signal Controller,lane_availability,0.8189,0.9465,0.00992753,REPLAY,ACTIVE
S-FKID008103-04,FKID008103,Incident Dispatch Feed,incident_indicator,0.5781,0.7577,0.04958683,REPLAY,DEGRADED
S-FKID008103-05,FKID008103,LiDAR,queue_length,314.7292,0.5628,6197.68860516,REPLAY,STALE
S-FKID008103-05,FKID008103,LiDAR,lane_availability,0.8609,0.5628,0.0172158,REPLAY,STALE
S-FKID000022-00,FKID000022,CCTV,queue_length,61.9258,0.9314,6702.99163524,REPLAY,ACTIVE
S-FKID000022-00,FKID000022,CCTV,incident_indicator,0.0819,0.9314,0.01861942,REPLAY,ACTIVE
S-FKID000022-00,FKID000022,CCTV,lane_availability,0.4225,0.9314,0.01861942,REPLAY,ACTIVE
S-FKID000022-01,FKID000022,Weather Feed,incident_indicator,0.3657,0.7542,0.08899602,REPLAY,DEGRADED
S-FKID000022-02,FKID000022,Loop Detector,traffic_speed,40.767,0.9389,34.0478085,REPLAY,ACTIVE
S-FKID000022-02,FKID000022,Loop Detector,queue_length,266.9277,0.9389,2901.115044,REPLAY,ACTIVE
