sensor_type,replay_supported,live_adapter_available,required_fields,observes,n_registered,live_ready,readiness_note,generated_at
CCTV,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,queue_length;incident_indicator;lane_availability,17,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
ANPR,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,travel_time,19,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Loop Detector,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,traffic_speed;queue_length,15,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Radar,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,traffic_speed,14,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
LiDAR,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,queue_length;lane_availability,18,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Bluetooth Probe,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,travel_time,22,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
GPS Probe,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,traffic_speed;travel_time,16,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Signal Controller,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,queue_length;lane_availability,19,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Weather Feed,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,incident_indicator,29,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Incident Dispatch Feed,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,incident_indicator,27,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Roadwork Feed,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,lane_availability,23,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
Event Feed,True,True,sensor_id;sensor_type;timestamp;latitude;longitude;confidence;payload_json;status,incident_indicator;lane_availability,16,False,replay validated; live adapter stub present; awaiting real feed,2026-06-20T02:04:02.163587+00:00
