horizon_h,feature,mean_abs_shap,rank
3,hour_sin,0.847235,1
3,hour_cos,0.434886,2
3,count_24h,0.364889,3
3,log_lambda_v,0.314982,4
3,zone_hist_rate,0.098085,5
3,is_peak,0.076821,6
3,hotspot_max_z,0.06284,7
3,hotspot_mean_burden,0.0525,8
3,zone,0.048712,9
3,hotspot_n_sig,0.047944,10
3,dow,0.039721,11
3,burden_4h,0.031378,12
3,is_weekend,0.028633,13
3,zone_mean_fragility,0.01767,14
3,burden_1h,0.005366,15
3,count_4h,0.004924,16
3,count_1h,0.002064,17
6,hour_cos,0.136026,1
6,count_24h,0.105393,2
6,hour_sin,0.093413,3
6,log_lambda_v,0.046486,4
6,hotspot_max_z,0.045737,5
6,zone_hist_rate,0.019282,6
6,is_peak,0.01515,7
6,hotspot_mean_burden,0.003626,8
6,dow,0.0,9
6,is_weekend,0.0,9
6,count_1h,0.0,9
6,count_4h,0.0,9
6,burden_1h,0.0,9
6,burden_4h,0.0,9
6,hotspot_n_sig,0.0,9
6,zone_mean_fragility,0.0,9
6,zone,0.0,9
9,hour_cos,0.435761,1
9,count_24h,0.304114,2
9,log_lambda_v,0.177284,3
9,hour_sin,0.096898,4
9,zone_hist_rate,0.063514,5
9,zone_mean_fragility,0.034584,6
9,hotspot_mean_burden,0.032265,7
9,hotspot_max_z,0.032025,8
9,hotspot_n_sig,0.024577,9
9,is_weekend,0.010515,10
9,is_peak,0.01035,11
9,dow,0.002926,12
9,count_1h,0.0,13
9,count_4h,0.0,13
9,burden_1h,0.0,13
9,burden_4h,0.0,13
9,zone,0.0,13
