feed_event_id,feed_type,event_id,synthetic_timestamp,simulated_confidence,payload_summary,source,is_synthetic,generated_at
FEED-0000,sensor_update,FKID000022,2026-06-19T00:00:00+00:00,0.7151,sensor_type=weather_feed;reading=85.9,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0001,incident_update,FKID000022,2026-06-19T00:05:00+00:00,0.5461,status=cleared;severity=3,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0002,operator_update,FKID001489,2026-06-19T00:10:00+00:00,0.8852,operator=OP7;action=acknowledge,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0003,drift_alert,FKID000968,2026-06-19T00:15:00+00:00,0.7207,variable=log_duration;magnitude=1.85,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0004,resource_change,FKID001125,2026-06-19T00:20:00+00:00,0.9541,resource=qru;delta=1,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0005,sensor_update,FKID001133,2026-06-19T00:25:00+00:00,0.7173,sensor_type=weather_feed;reading=22.7,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0006,incident_update,FKID000022,2026-06-19T00:30:00+00:00,0.5313,status=cleared;severity=3,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0007,operator_update,FKID006015,2026-06-19T00:35:00+00:00,0.8715,operator=OP6;action=acknowledge,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0008,drift_alert,FKID005137,2026-06-19T00:40:00+00:00,0.9756,variable=log_duration;magnitude=4.47,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0009,resource_change,FKID000528,2026-06-19T00:45:00+00:00,0.8814,resource=qru;delta=-2,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0010,sensor_update,FKID000923,2026-06-19T00:50:00+00:00,0.5215,sensor_type=gps_probe;reading=15.4,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0011,incident_update,FKID004408,2026-06-19T00:55:00+00:00,0.8649,status=cleared;severity=3,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0012,operator_update,FKID001133,2026-06-19T01:00:00+00:00,0.6815,operator=OP3;action=acknowledge,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0013,drift_alert,FKID008103,2026-06-19T01:05:00+00:00,0.5928,variable=log_duration;magnitude=0.65,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0014,resource_change,FKID007137,2026-06-19T01:10:00+00:00,0.7331,resource=tow;delta=-2,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0015,sensor_update,FKID003103,2026-06-19T01:15:00+00:00,0.7142,sensor_type=roadside_unit;reading=83.3,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0016,incident_update,FKID000164,2026-06-19T01:20:00+00:00,0.6531,status=cleared;severity=3,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0017,operator_update,FKID004711,2026-06-19T01:25:00+00:00,0.6899,operator=OP7;action=acknowledge,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0018,drift_alert,FKID004967,2026-06-19T01:30:00+00:00,0.8344,variable=log_duration;magnitude=0.7,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0019,resource_change,FKID000842,2026-06-19T01:35:00+00:00,0.598,resource=qru;delta=-3,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0020,sensor_update,FKID005079,2026-06-19T01:40:00+00:00,0.8258,sensor_type=weather_feed;reading=70.5,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0021,incident_update,FKID006015,2026-06-19T01:45:00+00:00,0.7249,status=cleared;severity=4,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0022,operator_update,FKID006955,2026-06-19T01:50:00+00:00,0.5561,operator=OP2;action=acknowledge,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0023,drift_alert,FKID004711,2026-06-19T01:55:00+00:00,0.7308,variable=log_duration;magnitude=2.83,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0024,resource_change,FKID004694,2026-06-19T02:00:00+00:00,0.8748,resource=barricades;delta=1,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0025,sensor_update,FKID003103,2026-06-19T02:05:00+00:00,0.774,sensor_type=roadside_unit;reading=30.4,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
FEED-0026,incident_update,FKID004531,2026-06-19T02:10:00+00:00,0.714,status=ongoing;severity=1,ingestion_simulator,True,2026-06-20T01:47:22.917508+00:00
