event_id,active_operational_tier,top_factor_1,top_factor_1_share,top_factor_2,top_factor_2_share,top_factor_3,top_factor_3_share,full_share_sum,risk_explanation,generated_at
FKID006340,Emergency,Tail Risk,0.33085,Fragility,0.2365,Operational Burden,0.170141,1.0,"Risk dominated by Tail Risk (33%), Fragility (24%), Operational Burden (17%).",2026-06-20T01:47:21.593060+00:00
FKID006955,Emergency,Tail Risk,0.257679,Critical Alert,0.194658,Fragility,0.179967,1.0,"Risk dominated by Tail Risk (26%), Critical Alert (19%), Fragility (18%).",2026-06-20T01:47:21.593060+00:00
FKID007660,Emergency,Tail Risk,0.328966,Fragility,0.217415,Operational Burden,0.170854,1.0,"Risk dominated by Tail Risk (33%), Fragility (22%), Operational Burden (17%).",2026-06-20T01:47:21.593060+00:00
FKID008103,Emergency,Tail Risk,0.390249,Operational Burden,0.184442,Drift,0.163457,1.0,"Risk dominated by Tail Risk (39%), Operational Burden (18%), Drift (16%).",2026-06-20T01:47:21.593060+00:00
FKID000022,Emergency,Tail Risk,0.354033,Fragility,0.210704,Operational Burden,0.177017,1.0,"Risk dominated by Tail Risk (35%), Fragility (21%), Operational Burden (18%).",2026-06-20T01:47:21.593060+00:00
FKID001288,Emergency,Tail Risk,0.374568,Operational Burden,0.194985,Drift,0.157372,1.0,"Risk dominated by Tail Risk (37%), Operational Burden (19%), Drift (16%).",2026-06-20T01:47:21.593060+00:00
FKID001125,Critical,Tail Risk,0.380571,Operational Burden,0.196069,Fragility,0.150595,1.0,"Risk dominated by Tail Risk (38%), Operational Burden (20%), Fragility (15%).",2026-06-20T01:47:21.593060+00:00
FKID006361,Critical,Tail Risk,0.338159,Fragility,0.222349,Operational Burden,0.168475,1.0,"Risk dominated by Tail Risk (34%), Fragility (22%), Operational Burden (17%).",2026-06-20T01:47:21.593060+00:00
FKID004125,Critical,Tail Risk,0.350417,Fragility,0.202496,Operational Burden,0.18163,1.0,"Risk dominated by Tail Risk (35%), Fragility (20%), Operational Burden (18%).",2026-06-20T01:47:21.593060+00:00
FKID001693,Critical,Tail Risk,0.39362,Operational Burden,0.204316,Drift,0.192353,1.0,"Risk dominated by Tail Risk (39%), Operational Burden (20%), Drift (19%).",2026-06-20T01:47:21.593060+00:00
