risk_rank,event_id,event_cause,operational_risk_score,ors_percentile,operational_tier,service_tier,in_layer5_flag,critical_alert_indicator,generated_at
1,FKID007448,vehicle_breakdown,78.31635069934822,1.0,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
2,FKID000634,vehicle_breakdown,76.57438689541418,0.9997141223556318,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
3,FKID005144,vehicle_breakdown,76.54902462141656,0.9994282447112636,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
4,FKID000668,vehicle_breakdown,76.4775273075508,0.9989994282447112,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
5,FKID000673,vehicle_breakdown,76.4775273075508,0.9989994282447112,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
6,FKID003401,vehicle_breakdown,76.37399752694496,0.998570611778159,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
7,FKID006333,vehicle_breakdown,76.27734422402207,0.9982847341337907,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
8,FKID004111,vehicle_breakdown,76.20909679830633,0.9979988564894225,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
9,FKID003416,vehicle_breakdown,76.08287933157212,0.9977129788450543,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
10,FKID000531,vehicle_breakdown,76.02449223680158,0.9974271012006861,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
11,FKID003402,vehicle_breakdown,75.98463688544376,0.9971412235563178,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
12,FKID004026,vehicle_breakdown,75.81416843830559,0.9968553459119497,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
13,FKID004027,vehicle_breakdown,75.78448005864868,0.9965694682675815,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
14,FKID004044,vehicle_breakdown,75.73704064818465,0.9961406518010292,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
15,FKID004046,vehicle_breakdown,75.73704064818465,0.9961406518010292,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
