horizon_h,zone,n_eval,pos_rate,brier,auc,logloss,ece,count_mae,count_rmse,south_zone_2_note
3,Central Zone 1,453,0.3157,0.1694,0.7865,0.4989,0.0388,0.5381,0.8346,
3,Central Zone 2,453,0.5232,0.1456,0.8523,0.4607,0.0441,0.7403,1.0115,
3,East Zone 1,453,0.2914,0.1559,0.7971,0.4958,0.0729,0.4422,0.658,
3,East Zone 2,453,0.245,0.1638,0.7322,0.5688,0.0697,0.4046,0.579,
3,North Zone 1,453,0.2958,0.1767,0.7537,0.5361,0.0617,0.5409,0.8525,
3,North Zone 2,453,0.3223,0.2083,0.7334,0.5952,0.1211,0.6897,0.9732,
3,South Zone 1,453,0.1854,0.1257,0.8081,0.5298,0.0593,0.8931,6.2021,
3,South Zone 2,453,0.2737,0.1723,0.7598,0.4977,0.0673,0.526,0.7161,KS p=0.021; widened CI applied
3,West Zone 1,453,0.4393,0.1807,0.7882,0.5353,0.0727,0.6831,1.0613,
3,West Zone 2,453,0.3974,0.1961,0.7544,0.5723,0.0817,0.6062,0.8885,
6,Central Zone 1,450,0.52,0.1822,0.7893,0.5422,0.0829,0.8514,1.244,
6,Central Zone 2,450,0.7022,0.1253,0.8648,0.4066,0.0452,1.1647,1.4645,
6,East Zone 1,450,0.4844,0.1852,0.8069,0.5578,0.0744,0.6592,0.8763,
6,East Zone 2,450,0.4244,0.2204,0.6953,0.6491,0.0753,0.6429,0.836,
6,North Zone 1,450,0.4667,0.2181,0.7299,0.6341,0.1074,0.9218,1.3821,
6,North Zone 2,450,0.5133,0.2246,0.7263,0.6682,0.1377,1.0823,1.4532,
6,South Zone 1,450,0.32,0.1795,0.7568,0.5252,0.0453,1.4317,6.8434,
6,South Zone 2,450,0.4511,0.2338,0.6902,0.6655,0.1275,0.8673,1.1369,KS p=0.021; widened CI applied
6,West Zone 1,450,0.6444,0.1461,0.8283,0.4642,0.0377,1.0968,1.5244,
6,West Zone 2,450,0.6067,0.1763,0.7893,0.5332,0.0424,0.942,1.2464,
9,Central Zone 1,447,0.6689,0.1636,0.7831,0.5057,0.0571,1.082,1.4826,
9,Central Zone 2,447,0.8367,0.1043,0.8514,0.3355,0.0514,1.4224,1.7511,
9,East Zone 1,447,0.6242,0.1716,0.7974,0.5244,0.0668,0.8132,1.0893,
9,East Zone 2,447,0.5772,0.2175,0.7059,0.7168,0.0595,0.7837,0.9774,
9,North Zone 1,447,0.6197,0.1996,0.7459,0.5975,0.0841,1.2415,1.8085,
9,North Zone 2,447,0.6465,0.2109,0.719,0.6613,0.1306,1.358,1.8318,
9,South Zone 1,447,0.4273,0.2016,0.7606,0.5765,0.0718,2.0339,8.5985,
9,South Zone 2,447,0.604,0.2398,0.6508,0.7165,0.131,1.1346,1.4657,KS p=0.021; widened CI applied
9,West Zone 1,447,0.7875,0.1211,0.8293,0.3863,0.0339,1.4183,1.8418,
9,West Zone 2,447,0.7494,0.1522,0.7612,0.4765,0.059,1.1989,1.5397,
