zone,S_source,V_receiver,SSC_centrality,half_life_hours
Central Zone 2,0.967424,2.737272,3.704696,0.5275
Central Zone 1,2.266956,1.201109,3.468065,0.5275
North Zone 2,1.617158,1.47554,3.092698,0.5275
West Zone 1,1.00568,1.708992,2.714672,0.5275
East Zone 2,1.648488,0.727184,2.375672,0.5275
North Zone 1,1.286485,1.048321,2.334806,0.5275
South Zone 2,0.843784,1.404555,2.248339,0.5275
East Zone 1,1.26283,0.849296,2.112126,0.5275
West Zone 2,0.803411,0.388211,1.191622,0.5275
South Zone 1,0.363111,0.524847,0.887958,0.5275
