source_zone,receiver_zone,alpha_nov_jan,alpha_nov_feb,abs_delta,stable
Central Zone 2,Central Zone 1,0.322475,0.342774,0.020298,True
North Zone 1,Central Zone 1,0.191487,0.227628,0.03614,True
North Zone 2,Central Zone 1,0.203041,0.219553,0.016513,True
South Zone 1,Central Zone 1,0.0,0.061865,0.061865,False
West Zone 1,Central Zone 1,0.278788,0.349293,0.070505,True
Central Zone 1,Central Zone 2,0.650629,0.783595,0.132966,True
East Zone 2,Central Zone 2,0.73911,0.854854,0.115744,True
North Zone 2,Central Zone 2,0.6763,0.583194,0.093106,True
South Zone 2,Central Zone 2,0.345634,0.515633,0.169998,True
East Zone 2,East Zone 1,0.351329,0.445941,0.094612,True
North Zone 2,East Zone 1,0.338578,0.377154,0.038576,True
South Zone 2,East Zone 1,0.0,0.0262,0.0262,True
Central Zone 2,East Zone 2,0.170047,0.173138,0.00309,True
East Zone 1,East Zone 2,0.454664,0.455156,0.000493,True
South Zone 2,East Zone 2,0.077881,0.098887,0.021006,True
Central Zone 1,North Zone 1,0.364353,0.342285,0.022068,True
North Zone 2,North Zone 1,0.395014,0.43726,0.042246,True
West Zone 1,North Zone 1,0.32846,0.268775,0.059684,True
Central Zone 1,North Zone 2,0.592329,0.485137,0.107192,True
Central Zone 2,North Zone 2,0.235121,0.273245,0.038124,True
East Zone 1,North Zone 2,0.21752,0.229607,0.012087,True
North Zone 1,North Zone 2,0.467492,0.487434,0.019942,True
Central Zone 1,South Zone 1,0.131109,0.234876,0.103767,True
South Zone 2,South Zone 1,0.175997,0.203062,0.027065,True
West Zone 2,South Zone 1,0.111182,0.086909,0.024273,True
Central Zone 2,South Zone 2,0.20143,0.178274,0.023157,True
East Zone 1,South Zone 2,0.540517,0.577942,0.037425,True
East Zone 2,South Zone 2,0.272568,0.347693,0.075125,True
South Zone 1,South Zone 2,0.743749,0.300645,0.443104,False
Central Zone 1,West Zone 1,0.422004,0.421049,0.000955,True
North Zone 1,West Zone 1,0.746224,0.571441,0.174784,True
West Zone 2,West Zone 1,0.624748,0.716502,0.091754,True
South Zone 1,West Zone 2,0.05086,0.000601,0.050259,False
West Zone 1,West Zone 2,0.385455,0.387609,0.002154,True
