zone,mu,alpha_self,source_strength_S,receiver_vulnerability_V,spillover_centrality_SSC,n_train_events,converged,alpha_from_Central Zone 2,alpha_from_North Zone 1,alpha_from_North Zone 2,alpha_from_South Zone 1,alpha_from_West Zone 1,alpha_from_Central Zone 1,alpha_from_East Zone 2,alpha_from_South Zone 2,alpha_from_East Zone 1,alpha_from_West Zone 2
Central Zone 1,0.034502,0.822713,2.266942,1.201112,3.468054,265,True,0.342774,0.227628,0.219553,0.061865,0.349293,,,,,
Central Zone 2,0.140985,0.836515,0.967429,2.737275,3.704704,604,True,,,0.583194,,,0.783595,0.854854,0.515633,,
East Zone 1,0.068608,1.010637,1.262705,0.849296,2.112001,247,True,,,0.377154,,,,0.445941,0.0262,,
East Zone 2,0.057326,0.373681,1.648489,0.727181,2.375669,189,True,0.173138,,,,,,,0.098887,0.455156,
North Zone 1,0.080281,0.99828,1.286503,1.048321,2.334824,310,True,,,0.43726,,0.268775,0.342285,,,,
North Zone 2,0.108038,0.90536,1.617162,1.475423,3.092584,411,True,0.273245,0.487434,,,,0.485137,,,0.229607,
South Zone 1,0.027219,1.952783,0.363111,0.524847,0.887958,227,True,,,,,,0.234876,,0.203062,,0.086909
South Zone 2,0.048127,1.805982,0.843781,1.404554,2.248335,354,True,0.178274,,,0.300645,,,0.347693,,0.577942,
West Zone 1,0.106463,0.894656,1.005677,1.708992,2.714669,425,True,,0.571441,,,,0.421049,,,,0.716502
West Zone 2,0.13787,0.833532,0.803411,0.388211,1.191622,357,True,,,,0.000601,0.387609,,,,,
