event_id,state_dimension,state_name,state_value,posterior_mean,posterior_variance,kalman_update_count,source_observations,obs_confidence,conflict_score,fallback_mode,generated_at
FKID006340,0,speed,43.8776,43.8776,47.265035,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006340,1,density,0.3579,0.3579,0.019006,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006340,2,queue_length,196.5932,196.5932,1724.917812,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006340,3,travel_time,298.7634,298.7634,191.296912,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006340,4,incident_intensity,0.2966,0.2966,0.018431,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006340,5,lane_availability,0.7731,0.7731,0.019565,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006340,6,capacity_utilization,0.421,0.421,0.038012,1,5,0.4344,0.0983,True,2026-06-20T02:27:28.192130+00:00
FKID006955,0,speed,52.7072,52.7072,39.674776,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID006955,1,density,0.3083,0.3083,0.01594,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID006955,2,queue_length,201.5186,201.5186,1444.727054,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID006955,3,travel_time,209.408,209.408,160.27217,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID006955,4,incident_intensity,0.1222,0.1222,0.015534,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID006955,5,lane_availability,0.5222,0.5222,0.016332,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID006955,6,capacity_utilization,0.4821,0.4821,0.031881,1,5,0.3841,0.0527,False,2026-06-20T02:27:28.192130+00:00
FKID007660,0,speed,44.5342,44.5342,45.344817,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID007660,1,density,0.2582,0.2582,0.01823,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID007660,2,queue_length,100.9292,100.9292,1653.917144,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID007660,3,travel_time,282.1917,282.1917,183.437,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID007660,4,incident_intensity,0.2775,0.2775,0.0177,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID007660,5,lane_availability,0.6008,0.6008,0.018744,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID007660,6,capacity_utilization,0.3963,0.3963,0.03646,1,6,0.4371,0.0186,True,2026-06-20T02:27:28.192130+00:00
FKID008103,0,speed,45.2139,45.2139,45.924993,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID008103,1,density,0.4028,0.4028,0.018464,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID008103,2,queue_length,249.857,249.857,1675.360983,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID008103,3,travel_time,203.3603,203.3603,185.811003,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID008103,4,incident_intensity,0.5861,0.5861,0.017921,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID008103,5,lane_availability,0.8296,0.8296,0.018992,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID008103,6,capacity_utilization,0.5459,0.5459,0.036929,1,4,0.4265,0.0187,True,2026-06-20T02:27:28.192130+00:00
FKID000022,0,speed,40.7395,40.7395,39.05502,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID000022,1,density,0.3859,0.3859,0.01569,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID000022,2,queue_length,205.4307,205.4307,1421.903502,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID000022,3,travel_time,248.424,248.424,157.744146,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID000022,4,incident_intensity,0.1298,0.1298,0.015296,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID000022,5,lane_availability,0.4225,0.4225,0.016069,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID000022,6,capacity_utilization,0.6907,0.6907,0.031381,1,4,0.3983,0.0625,False,2026-06-20T02:27:28.192130+00:00
FKID001288,0,speed,48.4035,48.4035,39.407132,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001288,1,density,0.2997,0.2997,0.015832,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001288,2,queue_length,166.366,166.366,1434.869595,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001288,3,travel_time,280.5408,280.5408,159.180336,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001288,4,incident_intensity,0.4929,0.4929,0.015431,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001288,5,lane_availability,0.8328,0.8328,0.016219,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001288,6,capacity_utilization,0.4161,0.4161,0.031665,1,5,0.3913,0.06,False,2026-06-20T02:27:28.192130+00:00
FKID001125,0,speed,37.454,37.454,47.253116,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID001125,1,density,0.4334,0.4334,0.019001,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID001125,2,queue_length,232.6081,232.6081,1724.476854,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID001125,3,travel_time,240.1898,240.1898,191.248101,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID001125,4,incident_intensity,0.158,0.158,0.018426,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID001125,5,lane_availability,0.626,0.626,0.01956,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID001125,6,capacity_utilization,0.5305,0.5305,0.038003,1,4,0.4383,0.1076,True,2026-06-20T02:27:28.192130+00:00
FKID006361,0,speed,45.7005,45.7005,46.153692,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID006361,1,density,0.3637,0.3637,0.018557,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID006361,2,queue_length,213.6891,213.6891,1683.815874,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID006361,3,travel_time,252.9728,252.9728,186.746996,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID006361,4,incident_intensity,0.1028,0.1028,0.018008,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID006361,5,lane_availability,0.5589,0.5589,0.01909,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID006361,6,capacity_utilization,0.4942,0.4942,0.037114,1,5,0.4298,0.0366,True,2026-06-20T02:27:28.192130+00:00
FKID004125,0,speed,45.7477,45.7477,43.378391,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID004125,1,density,0.4165,0.4165,0.017436,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID004125,2,queue_length,266.8847,266.8847,1581.289944,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID004125,3,travel_time,240.1723,240.1723,175.395768,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID004125,4,incident_intensity,0.1726,0.1726,0.01695,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID004125,5,lane_availability,0.6015,0.6015,0.017905,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID004125,6,capacity_utilization,0.5676,0.5676,0.034871,1,3,0.4751,0.0182,True,2026-06-20T02:27:28.192130+00:00
FKID001693,0,speed,45.7615,45.7615,45.640257,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID001693,1,density,0.3396,0.3396,0.018349,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID001693,2,queue_length,189.9485,189.9485,1664.835949,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID001693,3,travel_time,232.2345,232.2345,184.645812,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID001693,4,incident_intensity,0.2288,0.2288,0.017813,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID001693,5,lane_availability,0.4959,0.4959,0.01887,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID001693,6,capacity_utilization,0.5929,0.5929,0.036699,1,5,0.4358,0.0284,True,2026-06-20T02:27:28.192130+00:00
FKID000944,0,speed,54.988,54.988,39.66498,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000944,1,density,0.1547,0.1547,0.015936,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000944,2,queue_length,61.9349,61.9349,1444.366223,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000944,3,travel_time,303.6737,303.6737,160.232204,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000944,4,incident_intensity,0.1918,0.1918,0.01553,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000944,5,lane_availability,0.7521,0.7521,0.016328,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000944,6,capacity_utilization,0.1999,0.1999,0.031873,1,5,0.3866,0.0591,False,2026-06-20T02:27:28.192130+00:00
FKID000316,0,speed,46.8534,46.8534,38.315893,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID000316,1,density,0.1429,0.1429,0.015392,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID000316,2,queue_length,0.0,0.0,1394.694669,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID000316,3,travel_time,286.9054,286.9054,154.730227,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID000316,4,incident_intensity,0.054,0.054,0.015012,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID000316,5,lane_availability,0.7161,0.7161,0.015757,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID000316,6,capacity_utilization,0.1127,0.1127,0.030784,1,6,0.3993,0.0312,False,2026-06-20T02:27:28.192130+00:00
FKID006514,0,speed,57.4444,57.4444,45.283058,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006514,1,density,0.2777,0.2777,0.018205,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006514,2,queue_length,200.0336,200.0336,1651.634871,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006514,3,travel_time,240.1757,240.1757,183.184328,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006514,4,incident_intensity,0.1381,0.1381,0.017676,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006514,5,lane_availability,0.3823,0.3823,0.018718,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006514,6,capacity_utilization,0.6323,0.6323,0.03641,1,3,0.4367,0.015,True,2026-06-20T02:27:28.192130+00:00
FKID006015,0,speed,46.9063,46.9063,46.605356,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID006015,1,density,0.331,0.331,0.018739,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID006015,2,queue_length,188.4748,188.4748,1700.517017,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID006015,3,travel_time,232.8558,232.8558,188.595834,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID006015,4,incident_intensity,0.1514,0.1514,0.01818,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID006015,5,lane_availability,0.8181,0.8181,0.019283,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID006015,6,capacity_utilization,0.3257,0.3257,0.037479,1,4,0.4266,0.0488,True,2026-06-20T02:27:28.192130+00:00
FKID000842,0,speed,39.5874,39.5874,38.15967,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000842,1,density,0.4944,0.4944,0.015329,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000842,2,queue_length,306.8435,306.8435,1388.945271,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000842,3,travel_time,242.4414,242.4414,154.093344,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000842,4,incident_intensity,0.1761,0.1761,0.014953,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000842,5,lane_availability,0.7682,0.7682,0.015691,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000842,6,capacity_utilization,0.5125,0.5125,0.030658,1,6,0.4003,0.0267,False,2026-06-20T02:27:28.192130+00:00
FKID000129,0,speed,55.5732,55.5732,46.191006,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID000129,1,density,0.2475,0.2475,0.018572,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID000129,2,queue_length,158.3184,158.3184,1685.195477,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID000129,3,travel_time,240.1782,240.1782,186.899723,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID000129,4,incident_intensity,0.394,0.394,0.018022,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID000129,5,lane_availability,0.7485,0.7485,0.019106,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID000129,6,capacity_utilization,0.3866,0.3866,0.037144,1,5,0.4398,0.0624,True,2026-06-20T02:27:28.192130+00:00
FKID003911,0,speed,33.3199,33.3199,39.102092,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID003911,1,density,0.4147,0.4147,0.015709,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID003911,2,queue_length,188.5093,188.5093,1423.636704,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID003911,3,travel_time,173.1369,173.1369,157.936127,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID003911,4,incident_intensity,0.3795,0.3795,0.015314,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID003911,5,lane_availability,1.0,1.0,0.016089,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID003911,6,capacity_utilization,0.3742,0.3742,0.031419,1,4,0.3741,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,0,speed,37.9255,37.9255,38.369924,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,1,density,0.4292,0.4292,0.015414,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,2,queue_length,231.4274,231.4274,1396.683251,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,3,travel_time,251.6623,251.6623,154.950508,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,4,incident_intensity,0.2165,0.2165,0.015033,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,5,lane_availability,0.9245,0.9245,0.01578,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000528,6,capacity_utilization,0.3763,0.3763,0.030828,1,4,0.3863,0.0,False,2026-06-20T02:27:28.192130+00:00
FKID000923,0,speed,46.3117,46.3117,44.582589,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID000923,1,density,0.2646,0.2646,0.017922,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID000923,2,queue_length,118.3312,118.3312,1625.755471,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID000923,3,travel_time,240.1701,240.1701,180.319111,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID000923,4,incident_intensity,0.3056,0.3056,0.01741,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID000923,5,lane_availability,0.8273,0.8273,0.018419,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID000923,6,capacity_utilization,0.3095,0.3095,0.035844,1,3,0.4523,0.0204,True,2026-06-20T02:27:28.192130+00:00
FKID007189,0,speed,46.3671,46.3671,45.58604,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID007189,1,density,0.3854,0.3854,0.018327,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID007189,2,queue_length,239.5095,239.5095,1662.832087,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID007189,3,travel_time,225.2115,225.2115,184.423969,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID007189,4,incident_intensity,0.0354,0.0354,0.017792,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID007189,5,lane_availability,0.7271,0.7271,0.018847,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID007189,6,capacity_utilization,0.3792,0.3792,0.036655,1,5,0.4326,0.0185,True,2026-06-20T02:27:28.192130+00:00
FKID001133,0,speed,55.7623,55.7623,45.595611,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID001133,1,density,0.2591,0.2591,0.018331,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID001133,2,queue_length,171.0657,171.0657,1663.185825,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID001133,3,travel_time,240.1728,240.1728,184.46313,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID001133,4,incident_intensity,0.1359,0.1359,0.017796,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID001133,5,lane_availability,0.9291,0.9291,0.018851,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID001133,6,capacity_utilization,0.2391,0.2391,0.036663,1,3,0.4365,0.0281,True,2026-06-20T02:27:28.192130+00:00
FKID004711,0,speed,46.4456,46.4456,46.452113,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004711,1,density,0.3272,0.3272,0.018677,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004711,2,queue_length,181.8546,181.8546,1694.850087,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004711,3,travel_time,211.6077,211.6077,187.968505,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004711,4,incident_intensity,0.512,0.512,0.018122,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004711,5,lane_availability,0.6932,0.6932,0.019217,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004711,6,capacity_utilization,0.5343,0.5343,0.037355,1,5,0.4266,0.042,True,2026-06-20T02:27:28.192130+00:00
FKID004806,0,speed,49.2138,49.2138,39.687732,1,5,0.3833,0.0511,False,2026-06-20T02:27:28.192130+00:00
FKID004806,1,density,0.1946,0.1946,0.015946,1,5,0.3833,0.0511,False,2026-06-20T02:27:28.192130+00:00
FKID004806,2,queue_length,66.2878,66.2878,1445.204249,1,5,0.3833,0.0511,False,2026-06-20T02:27:28.192130+00:00
