event_id,horizon_min,quantity,forecast_mean,forecast_variance,forecast_confidence,generated_at
FKID006340,5,speed,43.8011,46.656694,0.5784,2026-06-20T02:27:28.192130+00:00
FKID006340,5,queue_length,196.8008,1722.97517,0.5403,2026-06-20T02:27:28.192130+00:00
FKID006340,5,travel_time,299.2836,197.645463,0.71,2026-06-20T02:27:28.192130+00:00
FKID006340,5,incident_intensity,0.312,0.0176,0.5611,2026-06-20T02:27:28.192130+00:00
FKID006340,15,speed,43.6594,51.046181,0.5563,2026-06-20T02:27:28.192130+00:00
FKID006340,15,queue_length,197.1974,1860.73717,0.5211,2026-06-20T02:27:28.192130+00:00
FKID006340,15,travel_time,300.2473,242.508543,0.6662,2026-06-20T02:27:28.192130+00:00
FKID006340,15,incident_intensity,0.3391,0.018864,0.544,2026-06-20T02:27:28.192130+00:00
FKID006340,30,speed,43.4723,63.254183,0.5029,2026-06-20T02:27:28.192130+00:00
FKID006340,30,queue_length,197.7488,2232.887508,0.4756,2026-06-20T02:27:28.192130+00:00
FKID006340,30,travel_time,301.5195,339.081992,0.588,2026-06-20T02:27:28.192130+00:00
FKID006340,30,incident_intensity,0.3721,0.023243,0.4919,2026-06-20T02:27:28.192130+00:00
FKID006955,5,speed,52.6168,39.806486,0.6165,2026-06-20T02:27:28.192130+00:00
FKID006955,5,queue_length,201.7273,1459.343685,0.5812,2026-06-20T02:27:28.192130+00:00
FKID006955,5,travel_time,209.7664,169.645634,0.7405,2026-06-20T02:27:28.192130+00:00
FKID006955,5,incident_intensity,0.1402,0.015148,0.5976,2026-06-20T02:27:28.192130+00:00
FKID006955,15,speed,52.4495,45.466644,0.5847,2026-06-20T02:27:28.192130+00:00
FKID006955,15,queue_length,202.1263,1627.346112,0.5544,2026-06-20T02:27:28.192130+00:00
FKID006955,15,travel_time,210.4303,219.702507,0.6878,2026-06-20T02:27:28.192130+00:00
FKID006955,15,incident_intensity,0.172,0.017107,0.5681,2026-06-20T02:27:28.192130+00:00
FKID006955,30,speed,52.2287,59.15271,0.5197,2026-06-20T02:27:28.192130+00:00
FKID006955,30,queue_length,202.6809,2038.47929,0.4983,2026-06-20T02:27:28.192130+00:00
FKID006955,30,travel_time,211.3069,322.317459,0.6003,2026-06-20T02:27:28.192130+00:00
FKID006955,30,incident_intensity,0.2109,0.022178,0.5036,2026-06-20T02:27:28.192130+00:00
FKID007660,5,speed,44.4597,44.923698,0.5876,2026-06-20T02:27:28.192130+00:00
FKID007660,5,queue_length,101.0315,1656.170641,0.5501,2026-06-20T02:27:28.192130+00:00
FKID007660,5,travel_time,282.6636,190.551893,0.7175,2026-06-20T02:27:28.192130+00:00
FKID007660,5,incident_intensity,0.2929,0.016981,0.5699,2026-06-20T02:27:28.192130+00:00
FKID007660,15,speed,44.3215,49.634645,0.5632,2026-06-20T02:27:28.192130+00:00
FKID007660,15,queue_length,101.227,1801.595601,0.5292,2026-06-20T02:27:28.192130+00:00
FKID007660,15,travel_time,283.5378,236.730786,0.6715,2026-06-20T02:27:28.192130+00:00
FKID007660,15,incident_intensity,0.32,0.018421,0.5498,2026-06-20T02:27:28.192130+00:00
FKID007660,30,speed,44.1392,62.216574,0.5071,2026-06-20T02:27:28.192130+00:00
FKID007660,30,queue_length,101.4987,2183.624236,0.4812,2026-06-20T02:27:28.192130+00:00
FKID007660,30,travel_time,284.6918,334.834809,0.5911,2026-06-20T02:27:28.192130+00:00
FKID007660,30,incident_intensity,0.3531,0.022975,0.4948,2026-06-20T02:27:28.192130+00:00
FKID008103,5,speed,45.1415,45.447306,0.5848,2026-06-20T02:27:28.192130+00:00
FKID008103,5,queue_length,250.099,1676.347149,0.5471,2026-06-20T02:27:28.192130+00:00
FKID008103,5,travel_time,203.6853,192.69443,0.7152,2026-06-20T02:27:28.192130+00:00
FKID008103,5,incident_intensity,0.6015,0.017168,0.5672,2026-06-20T02:27:28.192130+00:00
FKID008103,15,speed,45.0075,50.061128,0.5611,2026-06-20T02:27:28.192130+00:00
FKID008103,15,queue_length,250.5615,1819.457719,0.5267,2026-06-20T02:27:28.192130+00:00
FKID008103,15,travel_time,204.2874,238.475896,0.6699,2026-06-20T02:27:28.192130+00:00
FKID008103,15,incident_intensity,0.6286,0.018555,0.548,2026-06-20T02:27:28.192130+00:00
FKID008103,30,speed,44.8305,62.530078,0.5058,2026-06-20T02:27:28.192130+00:00
FKID008103,30,queue_length,251.2046,2198.50288,0.4795,2026-06-20T02:27:28.192130+00:00
FKID008103,30,travel_time,205.0823,336.117626,0.5902,2026-06-20T02:27:28.192130+00:00
FKID008103,30,incident_intensity,0.6617,0.023056,0.4939,2026-06-20T02:27:28.192130+00:00
FKID000022,5,speed,40.6746,39.247155,0.6199,2026-06-20T02:27:28.192130+00:00
FKID000022,5,queue_length,205.6287,1437.869005,0.5848,2026-06-20T02:27:28.192130+00:00
FKID000022,5,travel_time,248.8196,167.364092,0.7431,2026-06-20T02:27:28.192130+00:00
FKID000022,5,incident_intensity,0.1453,0.014947,0.6009,2026-06-20T02:27:28.192130+00:00
FKID000022,15,speed,40.5543,45.011066,0.5871,2026-06-20T02:27:28.192130+00:00
FKID000022,15,queue_length,206.007,1608.334733,0.5573,2026-06-20T02:27:28.192130+00:00
FKID000022,15,travel_time,249.5524,217.844177,0.6896,2026-06-20T02:27:28.192130+00:00
FKID000022,15,incident_intensity,0.1726,0.016963,0.5702,2026-06-20T02:27:28.192130+00:00
FKID000022,30,speed,40.3955,58.817818,0.5211,2026-06-20T02:27:28.192130+00:00
FKID000022,30,queue_length,206.5329,2022.643343,0.5003,2026-06-20T02:27:28.192130+00:00
FKID000022,30,travel_time,250.5198,320.951416,0.6013,2026-06-20T02:27:28.192130+00:00
FKID000022,30,incident_intensity,0.2059,0.022091,0.5046,2026-06-20T02:27:28.192130+00:00
FKID001288,5,speed,48.3273,39.564936,0.618,2026-06-20T02:27:28.192130+00:00
FKID001288,5,queue_length,166.5243,1450.068802,0.5827,2026-06-20T02:27:28.192130+00:00
FKID001288,5,travel_time,280.982,168.660253,0.7416,2026-06-20T02:27:28.192130+00:00
FKID001288,5,incident_intensity,0.5083,0.015061,0.599,2026-06-20T02:27:28.192130+00:00
FKID001288,15,speed,48.1861,45.269901,0.5857,2026-06-20T02:27:28.192130+00:00
FKID001288,15,queue_length,166.8269,1619.135125,0.5557,2026-06-20T02:27:28.192130+00:00
FKID001288,15,travel_time,281.7993,218.899908,0.6886,2026-06-20T02:27:28.192130+00:00
FKID001288,15,incident_intensity,0.5356,0.017045,0.569,2026-06-20T02:27:28.192130+00:00
FKID001288,30,speed,47.9997,59.008085,0.5203,2026-06-20T02:27:28.192130+00:00
FKID001288,30,queue_length,167.2476,2031.639768,0.4992,2026-06-20T02:27:28.192130+00:00
FKID001288,30,travel_time,282.8782,321.727476,0.6007,2026-06-20T02:27:28.192130+00:00
FKID001288,30,incident_intensity,0.5689,0.02214,0.504,2026-06-20T02:27:28.192130+00:00
FKID001125,5,speed,37.3957,46.645937,0.5784,2026-06-20T02:27:28.192130+00:00
FKID001125,5,queue_length,232.8274,1722.560272,0.5404,2026-06-20T02:27:28.192130+00:00
FKID001125,5,travel_time,240.5633,197.601411,0.7101,2026-06-20T02:27:28.192130+00:00
FKID001125,5,incident_intensity,0.1734,0.017596,0.5612,2026-06-20T02:27:28.192130+00:00
FKID001125,15,speed,37.2876,51.03742,0.5563,2026-06-20T02:27:28.192130+00:00
FKID001125,15,queue_length,233.2466,1860.369864,0.5212,2026-06-20T02:27:28.192130+00:00
FKID001125,15,travel_time,241.2553,242.472663,0.6662,2026-06-20T02:27:28.192130+00:00
FKID001125,15,incident_intensity,0.2005,0.018861,0.544,2026-06-20T02:27:28.192130+00:00
FKID001125,30,speed,37.145,63.247742,0.503,2026-06-20T02:27:28.192130+00:00
FKID001125,30,queue_length,233.8293,2232.581552,0.4756,2026-06-20T02:27:28.192130+00:00
FKID001125,30,travel_time,242.1689,339.055616,0.5881,2026-06-20T02:27:28.192130+00:00
