event_id,state_name,posterior_mean,posterior_variance,confidence,uncertainty_tier,effective_observation_variance,obs_noise_multiplier,generated_at
FKID006340,speed,43.8776,47.265035,0.5752,MEDIUM,94.811809,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006340,density,0.3579,0.019006,0.5421,MEDIUM,0.037925,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006340,queue_length,196.5932,1724.917812,0.54,MEDIUM,3413.225138,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006340,travel_time,298.7634,191.296912,0.7167,LOW,379.247238,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006340,incident_intensity,0.2966,0.018431,0.5497,MEDIUM,0.037925,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006340,lane_availability,0.7731,0.019565,0.5349,MEDIUM,0.037925,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006340,capacity_utilization,0.421,0.038012,0.3718,MEDIUM,0.075849,3.7925,2026-06-20T02:27:28.192130+00:00
FKID006955,speed,52.7072,39.674776,0.6173,MEDIUM,68.517313,2.7407,2026-06-20T02:27:28.192130+00:00
FKID006955,density,0.3083,0.01594,0.5853,MEDIUM,0.027407,2.7407,2026-06-20T02:27:28.192130+00:00
FKID006955,queue_length,201.5186,1444.727054,0.5836,MEDIUM,2466.623275,2.7407,2026-06-20T02:27:28.192130+00:00
FKID006955,travel_time,209.408,160.27217,0.7512,LOW,274.069253,2.7407,2026-06-20T02:27:28.192130+00:00
FKID006955,incident_intensity,0.1222,0.015534,0.5916,MEDIUM,0.027407,2.7407,2026-06-20T02:27:28.192130+00:00
FKID006955,lane_availability,0.5222,0.016332,0.5794,MEDIUM,0.027407,2.7407,2026-06-20T02:27:28.192130+00:00
FKID006955,capacity_utilization,0.4821,0.031881,0.4137,MEDIUM,0.054814,2.7407,2026-06-20T02:27:28.192130+00:00
FKID007660,speed,44.5342,45.344817,0.5853,MEDIUM,87.388469,3.4955,2026-06-20T02:27:28.192130+00:00
FKID007660,density,0.2582,0.01823,0.5524,MEDIUM,0.034955,3.4955,2026-06-20T02:27:28.192130+00:00
FKID007660,queue_length,100.9292,1653.917144,0.5504,MEDIUM,3145.9849,3.4955,2026-06-20T02:27:28.192130+00:00
FKID007660,travel_time,282.1917,183.437,0.7252,LOW,349.553878,3.4955,2026-06-20T02:27:28.192130+00:00
FKID007660,incident_intensity,0.2775,0.0177,0.5597,MEDIUM,0.034955,3.4955,2026-06-20T02:27:28.192130+00:00
FKID007660,lane_availability,0.6008,0.018744,0.5455,MEDIUM,0.034955,3.4955,2026-06-20T02:27:28.192130+00:00
FKID007660,capacity_utilization,0.3963,0.03646,0.3816,MEDIUM,0.069911,3.4955,2026-06-20T02:27:28.192130+00:00
FKID008103,speed,45.2139,45.924993,0.5822,MEDIUM,89.569168,3.5828,2026-06-20T02:27:28.192130+00:00
