grid_time_utc,zone,persistence_class,Pers_z,Slope_z,Pers_ci_lo,Pers_ci_hi,prob_bin_hawkes_3h,ERI_3h,prob_bin_hawkes_6h,ERI_6h,prob_bin_hawkes_9h,ERI_9h,Pers_mean_ERI_base,probability_3h,expected_count_3h,expected_impact,spillover_contribution,local_activity_contribution,confidence_band,south_zone_2_note
2024-01-08T19:00:00+00:00,East Zone 2,persistent,1.1917,0.026,0.5171,1.8664,0.7939,1.2132,0.7348,1.1228,0.8109,1.2392,0.7799,0.7939,1.3031,0.7799,0.4193,0.7799,"[0.5171, 1.8664]",
2024-01-15T20:00:00+00:00,East Zone 2,persistent,1.1591,0.0291,0.4845,1.8338,0.7609,1.1627,0.7348,1.1228,0.7799,1.1918,0.7585,0.7609,1.37,0.7585,0.4019,0.7585,"[0.4845, 1.8338]",
2024-01-15T18:00:00+00:00,East Zone 2,escalating,1.1586,0.1253,0.484,1.8333,0.7289,1.1139,0.7348,1.1228,0.8109,1.2392,0.7582,0.7289,1.1473,0.7582,0.385,0.7582,"[0.484, 1.8333]",
2024-01-15T19:00:00+00:00,East Zone 2,escalating,1.1586,0.1253,0.484,1.8333,0.7289,1.1139,0.7348,1.1228,0.8109,1.2392,0.7582,0.7289,1.2053,0.7582,0.385,0.7582,"[0.484, 1.8333]",
2024-01-16T20:00:00+00:00,East Zone 2,persistent,1.1429,0.0779,0.4682,1.8175,0.7289,1.1139,0.7348,1.1228,0.7799,1.1918,0.7479,0.7289,1.2368,0.7479,0.385,0.7479,"[0.4682, 1.8175]",
2024-01-05T19:00:00+00:00,East Zone 2,escalating,1.1252,0.2255,0.4506,1.7999,0.6633,1.0137,0.7348,1.1228,0.8109,1.2392,0.7363,0.6633,1.2683,0.7363,0.3504,0.7363,"[0.4506, 1.7999]",
2024-01-17T20:00:00+00:00,East Zone 2,escalating,1.1094,0.1781,0.4348,1.7841,0.6633,1.0137,0.7348,1.1228,0.7799,1.1918,0.726,0.6633,1.2959,0.726,0.3504,0.726,"[0.4348, 1.7841]",
2024-01-18T19:00:00+00:00,East Zone 2,escalating,1.1094,0.1781,0.4348,1.7841,0.6633,1.0137,0.7348,1.1228,0.7799,1.1918,0.726,0.6633,1.1911,0.726,0.3504,0.726,"[0.4348, 1.7841]",
2024-01-18T20:00:00+00:00,East Zone 2,escalating,1.1094,0.1781,0.4348,1.7841,0.6633,1.0137,0.7348,1.1228,0.7799,1.1918,0.726,0.6633,1.1307,0.726,0.3504,0.726,"[0.4348, 1.7841]",
2024-01-16T19:00:00+00:00,East Zone 2,escalating,1.1094,0.1781,0.4348,1.7841,0.6633,1.0137,0.7348,1.1228,0.7799,1.1918,0.726,0.6633,1.0484,0.726,0.3504,0.726,"[0.4348, 1.7841]",
2024-01-09T19:00:00+00:00,East Zone 2,escalating,1.1085,0.1809,0.4339,1.7832,0.6615,1.0109,0.7348,1.1228,0.7799,1.1918,0.7254,0.6615,0.9889,0.7254,0.3494,0.7254,"[0.4339, 1.7832]",
2024-01-10T19:00:00+00:00,East Zone 2,escalating,1.1085,0.1809,0.4339,1.7832,0.6615,1.0109,0.7348,1.1228,0.7799,1.1918,0.7254,0.6615,1.0121,0.7254,0.3494,0.7254,"[0.4339, 1.7832]",
2024-01-05T20:00:00+00:00,East Zone 2,escalating,1.0838,0.2552,0.4091,1.7584,0.6129,0.9366,0.7348,1.1228,0.7799,1.1918,0.7092,0.6129,1.1264,0.7092,0.3237,0.7092,"[0.4091, 1.7584]",
2024-01-17T19:00:00+00:00,East Zone 2,escalating,1.0838,0.2552,0.4091,1.7584,0.6129,0.9366,0.7348,1.1228,0.7799,1.1918,0.7092,0.6129,0.9762,0.7092,0.3237,0.7092,"[0.4091, 1.7584]",
2024-01-04T19:00:00+00:00,East Zone 2,escalating,1.0838,0.2552,0.4091,1.7584,0.6129,0.9366,0.7348,1.1228,0.7799,1.1918,0.7092,0.6129,1.1146,0.7092,0.3237,0.7092,"[0.4091, 1.7584]",
2024-01-10T20:00:00+00:00,East Zone 2,escalating,1.0838,0.2552,0.4091,1.7584,0.6129,0.9366,0.7348,1.1228,0.7799,1.1918,0.7092,0.6129,1.1089,0.7092,0.3237,0.7092,"[0.4091, 1.7584]",
2024-01-15T21:00:00+00:00,East Zone 2,escalating,1.0831,0.1781,0.4085,1.7577,0.6633,1.0137,0.683,1.0437,0.7799,1.1918,0.7087,0.6633,1.2786,0.7087,0.3504,0.7087,"[0.4085, 1.7577]",
2024-01-03T19:00:00+00:00,East Zone 2,escalating,1.0828,0.2581,0.4082,1.7574,0.611,0.9337,0.7348,1.1228,0.7799,1.1918,0.7086,0.611,0.9354,0.7086,0.3227,0.7086,"[0.4082, 1.7574]",
2024-01-02T19:00:00+00:00,East Zone 2,escalating,1.0668,0.2102,0.3922,1.7414,0.611,0.9337,0.7348,1.1228,0.7486,1.1439,0.6981,0.611,1.0518,0.6981,0.3227,0.6981,"[0.3922, 1.7414]",
2024-01-01T19:00:00+00:00,East Zone 2,escalating,1.0668,0.2102,0.3922,1.7414,0.611,0.9337,0.7348,1.1228,0.7486,1.1439,0.6981,0.611,0.9007,0.6981,0.3227,0.6981,"[0.3922, 1.7414]",
