node_id,site_id,corridor,degree_centrality,weighted_degree_centrality,betweenness_centrality,generated_at,corridor_rank
0,FKID000002,Non-corridor,0.897959,0.276233,0.004037,2026-06-20T02:47:06.160690+00:00,14
1,FKID000022,Non-corridor,0.795918,0.205516,0.012515,2026-06-20T02:47:06.160690+00:00,25
2,FKID000129,Non-corridor,0.714286,0.11985,0.000667,2026-06-20T02:47:06.160690+00:00,42
3,FKID000164,Non-corridor,0.938776,0.301867,0.009086,2026-06-20T02:47:06.160690+00:00,11
4,FKID000316,Non-corridor,0.918367,0.308487,0.004949,2026-06-20T02:47:06.160690+00:00,7
5,FKID000346,Non-corridor,0.285714,0.072848,0.000559,2026-06-20T02:47:06.160690+00:00,49
6,FKID000528,Non-corridor,0.714286,0.200527,0.000463,2026-06-20T02:47:06.160690+00:00,27
7,FKID000842,Non-corridor,0.897959,0.30259,0.004127,2026-06-20T02:47:06.160690+00:00,10
8,FKID000923,Non-corridor,0.877551,0.264745,0.003252,2026-06-20T02:47:06.160690+00:00,16
9,FKID000944,Non-corridor,0.877551,0.257151,0.003252,2026-06-20T02:47:06.160690+00:00,19
10,FKID000968,Non-corridor,0.897959,0.260291,0.004127,2026-06-20T02:47:06.160690+00:00,18
11,FKID001125,Non-corridor,0.918367,0.329916,0.004949,2026-06-20T02:47:06.160690+00:00,2
12,FKID001133,Non-corridor,0.918367,0.329783,0.004949,2026-06-20T02:47:06.160690+00:00,3
13,FKID001288,Non-corridor,0.571429,0.082265,0.000367,2026-06-20T02:47:06.160690+00:00,45
14,FKID001489,Non-corridor,0.918367,0.325434,0.004949,2026-06-20T02:47:06.160690+00:00,6
15,FKID001592,Non-corridor,0.795918,0.204983,0.012515,2026-06-20T02:47:06.160690+00:00,26
16,FKID001646,Non-corridor,0.938776,0.306944,0.009086,2026-06-20T02:47:06.160690+00:00,8
17,FKID001693,Non-corridor,0.836735,0.264498,0.002618,2026-06-20T02:47:06.160690+00:00,17
18,FKID001931,Non-corridor,0.918367,0.328163,0.004949,2026-06-20T02:47:06.160690+00:00,4
19,FKID001932,Non-corridor,0.918367,0.331479,0.004949,2026-06-20T02:47:06.160690+00:00,1
20,FKID003103,Non-corridor,0.591837,0.098276,0.005123,2026-06-20T02:47:06.160690+00:00,44
21,FKID003235,Non-corridor,0.918367,0.248279,0.004949,2026-06-20T02:47:06.160690+00:00,20
22,FKID003897,Non-corridor,0.857143,0.265381,0.002713,2026-06-20T02:47:06.160690+00:00,15
23,FKID003911,Non-corridor,0.897959,0.306298,0.004127,2026-06-20T02:47:06.160690+00:00,9
24,FKID004125,Non-corridor,0.897959,0.224973,0.01447,2026-06-20T02:47:06.160690+00:00,24
25,FKID004401,Non-corridor,0.244898,0.076475,0.002546,2026-06-20T02:47:06.160690+00:00,47
26,FKID004408,Non-corridor,0.816327,0.164815,0.002311,2026-06-20T02:47:06.160690+00:00,31
27,FKID004492,Non-corridor,0.897959,0.233491,0.014927,2026-06-20T02:47:06.160690+00:00,22
28,FKID004519,Non-corridor,0.795918,0.153794,0.009672,2026-06-20T02:47:06.160690+00:00,34
29,FKID004531,Non-corridor,0.714286,0.132862,0.003168,2026-06-20T02:47:06.160690+00:00,39
30,FKID004694,Non-corridor,0.734694,0.138101,0.007685,2026-06-20T02:47:06.160690+00:00,38
31,FKID004711,Non-corridor,0.653061,0.119046,0.000342,2026-06-20T02:47:06.160690+00:00,43
32,FKID004806,Non-corridor,0.673469,0.121624,0.000419,2026-06-20T02:47:06.160690+00:00,41
33,FKID004829,Non-corridor,0.816327,0.189102,0.002311,2026-06-20T02:47:06.160690+00:00,29
34,FKID004967,Non-corridor,0.755102,0.158424,0.001884,2026-06-20T02:47:06.160690+00:00,33
35,FKID005079,Non-corridor,0.836735,0.163776,0.011998,2026-06-20T02:47:06.160690+00:00,32
36,FKID005137,Non-corridor,0.102041,0.020065,0.000629,2026-06-20T02:47:06.160690+00:00,50
37,FKID005194,Non-corridor,0.77551,0.143744,0.002425,2026-06-20T02:47:06.160690+00:00,36
38,FKID005244,Non-corridor,0.244898,0.077156,0.002546,2026-06-20T02:47:06.160690+00:00,46
39,FKID005593,Non-corridor,0.755102,0.169466,0.001027,2026-06-20T02:47:06.160690+00:00,30
40,FKID005996,Non-corridor,0.77551,0.191214,0.011649,2026-06-20T02:47:06.160690+00:00,28
41,FKID006015,Non-corridor,0.918367,0.326849,0.004949,2026-06-20T02:47:06.160690+00:00,5
42,FKID006340,Non-corridor,0.755102,0.153324,0.001027,2026-06-20T02:47:06.160690+00:00,35
43,FKID006361,Non-corridor,0.653061,0.123618,0.006062,2026-06-20T02:47:06.160690+00:00,40
44,FKID006514,Non-corridor,0.816327,0.227415,0.002173,2026-06-20T02:47:06.160690+00:00,23
45,FKID006955,Non-corridor,0.897959,0.283603,0.004127,2026-06-20T02:47:06.160690+00:00,13
46,FKID007137,Non-corridor,0.918367,0.240954,0.016853,2026-06-20T02:47:06.160690+00:00,21
47,FKID007189,Non-corridor,0.489796,0.074616,0.000126,2026-06-20T02:47:06.160690+00:00,48
48,FKID007660,Non-corridor,0.897959,0.293595,0.004127,2026-06-20T02:47:06.160690+00:00,12
49,FKID008103,Non-corridor,0.714286,0.138798,0.007273,2026-06-20T02:47:06.160690+00:00,37
