event_id,corridor,node_degree,weighted_degree,corridor_connectivity,generated_at
FKID006340,Non-corridor,37,7.512891,37,2026-06-20T02:30:03.907125+00:00
FKID006955,Non-corridor,44,13.896538,44,2026-06-20T02:30:03.907125+00:00
FKID007660,Non-corridor,44,14.386154,44,2026-06-20T02:30:03.907125+00:00
FKID008103,Non-corridor,35,6.801121,35,2026-06-20T02:30:03.907125+00:00
FKID000022,Non-corridor,39,10.070281,39,2026-06-20T02:30:03.907125+00:00
FKID001288,Non-corridor,28,4.030997,28,2026-06-20T02:30:03.907125+00:00
FKID001125,Non-corridor,45,16.165886,45,2026-06-20T02:30:03.907125+00:00
FKID006361,Non-corridor,32,6.057302,32,2026-06-20T02:30:03.907125+00:00
FKID004125,Non-corridor,44,11.023683,44,2026-06-20T02:30:03.907125+00:00
FKID001693,Non-corridor,41,12.96038,41,2026-06-20T02:30:03.907125+00:00
FKID000944,Non-corridor,43,12.600407,43,2026-06-20T02:30:03.907125+00:00
FKID000316,Non-corridor,45,15.115866,45,2026-06-20T02:30:03.907125+00:00
FKID006514,Non-corridor,40,11.14334,40,2026-06-20T02:30:03.907125+00:00
FKID006015,Non-corridor,45,16.015625,45,2026-06-20T02:30:03.907125+00:00
FKID000842,Non-corridor,44,14.826889,44,2026-06-20T02:30:03.907125+00:00
FKID000129,Non-corridor,35,5.872658,35,2026-06-20T02:30:03.907125+00:00
FKID003911,Non-corridor,44,15.008589,44,2026-06-20T02:30:03.907125+00:00
FKID000528,Non-corridor,35,9.825844,35,2026-06-20T02:30:03.907125+00:00
FKID000923,Non-corridor,43,12.972507,43,2026-06-20T02:30:03.907125+00:00
FKID007189,Non-corridor,24,3.656197,24,2026-06-20T02:30:03.907125+00:00
FKID001133,Non-corridor,45,16.159382,45,2026-06-20T02:30:03.907125+00:00
FKID004711,Non-corridor,32,5.83326,32,2026-06-20T02:30:03.907125+00:00
FKID004806,Non-corridor,33,5.959561,33,2026-06-20T02:30:03.907125+00:00
FKID007137,Non-corridor,45,11.806769,45,2026-06-20T02:30:03.907125+00:00
FKID005996,Non-corridor,38,9.369478,38,2026-06-20T02:30:03.907125+00:00
FKID000968,Non-corridor,44,12.754279,44,2026-06-20T02:30:03.907125+00:00
FKID001931,Non-corridor,45,16.079966,45,2026-06-20T02:30:03.907125+00:00
FKID001932,Non-corridor,45,16.24248,45,2026-06-20T02:30:03.907125+00:00
FKID003103,Non-corridor,29,4.815519,29,2026-06-20T02:30:03.907125+00:00
FKID001646,Non-corridor,46,15.040267,46,2026-06-20T02:30:03.907125+00:00
FKID004531,Non-corridor,35,6.510235,35,2026-06-20T02:30:03.907125+00:00
FKID000164,Non-corridor,46,14.791474,46,2026-06-20T02:30:03.907125+00:00
FKID005593,Non-corridor,37,8.303852,37,2026-06-20T02:30:03.907125+00:00
FKID004694,Non-corridor,36,6.766938,36,2026-06-20T02:30:03.907125+00:00
FKID003235,Non-corridor,45,12.165664,45,2026-06-20T02:30:03.907125+00:00
FKID005137,Non-corridor,5,0.983199,5,2026-06-20T02:30:03.907125+00:00
FKID001489,Non-corridor,45,15.946256,45,2026-06-20T02:30:03.907125+00:00
FKID004408,Non-corridor,40,8.075944,40,2026-06-20T02:30:03.907125+00:00
FKID004829,Non-corridor,40,9.266009,40,2026-06-20T02:30:03.907125+00:00
FKID005079,Non-corridor,41,8.025029,41,2026-06-20T02:30:03.907125+00:00
FKID001592,Non-corridor,39,10.044168,39,2026-06-20T02:30:03.907125+00:00
FKID000346,Non-corridor,14,3.569575,14,2026-06-20T02:30:03.907125+00:00
FKID004519,Non-corridor,39,7.535916,39,2026-06-20T02:30:03.907125+00:00
FKID003897,Non-corridor,42,13.003658,42,2026-06-20T02:30:03.907125+00:00
FKID004967,Non-corridor,37,7.762788,37,2026-06-20T02:30:03.907125+00:00
FKID005194,Non-corridor,38,7.043469,38,2026-06-20T02:30:03.907125+00:00
FKID004492,Non-corridor,44,11.441061,44,2026-06-20T02:30:03.907125+00:00
FKID005244,Non-corridor,12,3.780662,12,2026-06-20T02:30:03.907125+00:00
FKID004401,Non-corridor,12,3.747257,12,2026-06-20T02:30:03.907125+00:00
FKID000002,Non-corridor,44,13.53541,44,2026-06-20T02:30:03.907125+00:00
