event_id,scenario_id,scenario_name,delay_delta,risk_delta,alert_delta,confidence_delta,delay_score,risk_score,alert_score,override_score,confidence_score,simulation_score,generated_at
FKID006340,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_1,No intervention,548133.0984,15.3253,0.0,-0.3,0.819925,0.576627,0.5,0.5,0.65,0.649962,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_2,Resource reduction,274066.5492,7.6626,0.0,-0.15,0.659963,0.538313,0.5,0.5,0.575,0.574981,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_3,Resource increase,-157663.5723,-7.1481,-0.0,0.1,0.407977,0.464259,0.5,0.5,0.45,0.45207,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_5,Operator override plan,-548133.0984,-5.3611,0.0,0.05,0.180075,0.473195,0.5,0.637352,0.475,0.39122,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_6,Worst-case drift escalation,274066.5492,35.7406,0.0,-0.4,0.659963,0.678703,0.5,0.5,0.7,0.629598,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_7,Best-case stabilized state,-274066.5492,-15.3253,-0.0,0.4,0.340037,0.423374,0.5,0.5,0.3,0.401025,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_1,No intervention,381293.0665,14.9997,0.4369,-0.3,0.722547,0.574998,0.896521,0.5,0.65,0.674869,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_2,Resource reduction,190646.5332,7.4998,0.2185,-0.15,0.611273,0.537499,0.698306,0.5,0.575,0.587441,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_3,Resource increase,-157663.5723,-6.9963,-0.1092,0.1,0.407977,0.465019,0.400892,0.5,0.45,0.437432,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_4,Diversion disabled,114387.9199,5.2472,0.0,-0.1,0.566764,0.526236,0.5,0.5,0.55,0.536238,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_5,Operator override plan,0.0,0.0,-0.2185,0.05,0.5,0.5,0.301724,0.549569,0.475,0.472716,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_6,Worst-case drift escalation,190646.5332,34.9813,0.4369,-0.4,0.611273,0.674907,0.896552,0.5,0.7,0.6709,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_7,Best-case stabilized state,-190646.5332,-14.9997,-0.4369,0.4,0.388727,0.425002,0.103448,0.5,0.3,0.359072,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_1,No intervention,43862.8826,24.8483,0.0,-0.3,0.525601,0.624242,0.5,0.5,0.65,0.561233,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_2,Resource reduction,21931.4413,12.4242,0.0,-0.15,0.512801,0.562121,0.5,0.5,0.575,0.530617,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_3,Resource increase,-157663.5723,-6.8573,-0.0,0.1,0.407977,0.465714,0.5,0.5,0.45,0.452506,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_4,Diversion disabled,13158.8648,5.143,0.0,-0.1,0.50768,0.525715,0.5,0.5,0.55,0.515403,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_5,Operator override plan,43862.8826,5.143,0.0,0.05,0.525601,0.525715,0.5,0.51924,0.475,0.516099,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_6,Worst-case drift escalation,21931.4413,34.2863,0.0,-0.4,0.512801,0.671432,0.5,0.5,0.7,0.57591,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_7,Best-case stabilized state,-21931.4413,-24.8483,-0.0,0.4,0.487199,0.375758,0.5,0.5,0.3,0.438247,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_1,No intervention,256837.4802,14.0551,0.0,-0.3,0.649907,0.570275,0.5,0.5,0.65,0.58855,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_2,Resource reduction,128418.7401,7.0275,0.0,-0.15,0.574953,0.535138,0.5,0.5,0.575,0.544275,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_3,Resource increase,-157663.5723,-6.5557,-0.0,0.1,0.407977,0.467222,0.5,0.5,0.45,0.452959,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_5,Operator override plan,-123732.8926,-6.5557,0.0,0.05,0.427782,0.467222,0.5,0.54036,0.475,0.466426,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_6,Worst-case drift escalation,128418.7401,32.7784,0.0,-0.4,0.574953,0.663892,0.5,0.5,0.7,0.595401,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_7,Best-case stabilized state,-128418.7401,-14.0551,-0.0,0.4,0.425047,0.429725,0.5,0.5,0.3,0.432684,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_1,No intervention,82558.334,23.5768,0.0,-0.3,0.548186,0.617884,0.5,0.5,0.65,0.56723,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_2,Resource reduction,41279.167,11.7884,0.0,-0.15,0.524093,0.558942,0.5,0.5,0.575,0.533615,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_3,Resource increase,-157663.5723,-6.5064,-0.0,0.1,0.407977,0.467468,0.5,0.5,0.45,0.453033,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_4,Diversion disabled,24767.5002,4.8798,0.0,-0.1,0.514456,0.524399,0.5,0.5,0.55,0.517379,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_5,Operator override plan,-95797.126,-6.5064,0.0,0.05,0.444087,0.467468,0.5,0.533752,0.475,0.471546,2026-06-20T01:47:22.890493+00:00
